美城常務,ふむ……全員、集まったようだな。ではこれより会議を始める
宮本フレデリカ,あ！じょーむ！じょーむ！
常務,どうした
フレデリカ,もー、じょーむったらあわてんぼうさんだねー？今日の会議の予定、いつもなら"9時～10時"なのに、今日は"9時～20時"ってなってたよー？
速水奏,ああ、私も見たわ
大槻唯,うっかりさーん♪
塩見周子,ま、そんなこともあるよねー
鷺沢文香,字も満足に書けないのですか……？
橘ありす,1人だけ辛辣すぎじゃないですか！？
神谷奈緒,おい、気づいてたか……？
北条加蓮,いや……見てなかったかな……
渋谷凛,どうせ1時間って思いこんでるもんね
奈緒,そもそもなんで朝からこんな会議に出なきゃいけないんだ……
フレデリカ,言いたかったのはそれだけ！じゃ、始めよっか！
常務,キミ達は一体何を言っているんだ……？
ありす,え？
常務,今日のタイムスケジュールに変更はない。9時～20時の予定だ
奈緒,はぁ！？
唯,ええ！？
奏,へぇ……
周子,へぇ……
フレデリカ,へぇ……
ありす,フレデリカさんは"へぇ……"ってキャラじゃないですよね
文香,ふえぇ……
加蓮,それはどうリアクションすればいいの
凛,え？ほ、本当に会議がそんなに長引くの？
常務,いや、流石にこの部屋に閉じこもるのは10時間が限界だろう。11時間はもたない
奈緒,基準どこだよ、1時間でもキツイからな
常務,今日、キミたちにしてもらうのはこれだ
みんな,！？
常務,そうだ、これが大人のタイトル回収だ
ありす,何の話ですか
周子,でもでも、急にどうしたんー？
常務,思えば、キミ達には迷惑ばかりかけてきたと思ってな
フレデリカ,そんなことないよー？
文香,ええ、いつも楽しませていただいています……
奈緒・加蓮・凛・ありす,……
奏,そう思えていない役割も存在する……ということね
唯,みんなでおでかけ！？ちょー楽しそう！
奏,ここはお言葉に甘えておきましょう？それで、どこへ行くのかしら？ロンドン？マドリード？メルボルン？テヘラン？バンクーバー？テキサス？
加蓮,バスって知ってる？
奏,台北？香港？釜山？群馬？群馬？群馬？群馬？
奈緒,怖えよ！群馬の何が奏の琴線に触れたんだよ！？
常務,というわけで、これからバスツアーに出発する
凛,こ、これからって……！
ありす,諦めましょう……、決めたら止まらない人です……
奈緒,それは上司として0点じゃないのか
フレデリカ,じゃ、早速いこーよ！
常務,馬鹿野郎！！！！！
奈緒,なぜここでキレたんだ！？
フレデリカ,……
加蓮,ほら凹んじゃった！
フレデリカ,ふっかーつ！
凛,どんなメンタルしてるの？
常務,うるさい
フレデリカ,……
奈緒,遊ぶな！！！
常務,旅の必需品と言えばなんだ？北条
加蓮,え？わ、私？
常務,そうだな、旅のしおりだ
加蓮,聞く気がないなら質問しないでよ！
常務,というわけで、今回の旅のためにしおりを作ってきた。目を通してくれ
ﾄﾞｰﾝ!!!!!!!!!,300ページ
奈緒,殺せんせーかよ！！！
常務,伝わりにくい。35点
奈緒,うわ腹立つ！！！
常務,まあ、9割が私のポエムだから、その部分は後で読んでおいてくれればいい
奈緒,絶対に読まないからな
文香,暖炉にくべる燃えやすいものを探していました……
ありす,よく本人目の前で言えますね！？
唯,ちなみに自信作はどれー？
凛,読むんだ……
常務,192ページ目の作品は森久保先生に褒められた傑作だ
奈緒,乃々を巻き込むのはやめてあげろ！
常務,では、最初のページを開いてくれ
ありす,……
常務,バスの座席表だ
奏,なるほど……、ツッコミ力の高いメンバーを後ろの見渡せる位置にまとめて、効率を上げる作戦ね
奈緒,何の効率が上がるんだよ
常務,ちなみに進行方向は右だ
奈緒,右ぃ！？！？！？！？
加蓮,気持ち悪っ！！！
凛,どんな形のバスなの！？
奏,それは困るわ
奈緒,奏は急に冷静になるなよ
常務,ジョークだ
ありす,的確に怒りのツボを突いてきますね
フレデリカ,まあまあ！ありすちゃんはフレちゃんの後ろだよ！おしゃべりしようね！
文香,いえ、ありすちゃんは隣の私と語り合うのです……
フレデリカ,ふーん……？
文香,ふふ……
ありす,ち、ちょっと！
周子,盛り上がってまいりました！
ありす,煽らない！！！
常務,まあ私がその場所なら神谷と話し続けるが
フレデリカ,……
文香,……
奈緒,何であたしが睨まれなきゃいけないんだ！？
常務,ちなみに、当初はもう少し大きいバスを借りる予定だった。その時の案がこれだ
凛,渋谷だよ！！！！！
常務,原点回帰ということだな
凛,そもそも"渋谷凛"の3文字でいいじゃん！！！
奈緒,それ以前に1人で3席ってのは何なんだよ
加蓮,凛、ずっと横になって寝てるのかな
常務,さて、ここからはツアーの内容に触れていくことにする
奈緒,もう好きにしてくれ……
常務,唐突だが、秋と言えば？
唯,唯はね！スポーツ！
フレデリカ,フレちゃんは食欲～！
文香,やはり読書でしょうか……
常務,ふむ、悪くない。だが、それだけではないだろう
ありす,……？
常務,芸術の秋
奏,まあ、よく聞くわね
常務,棒術の亜季
加蓮,いや上手そうだけどね？今は関係なくない？
常務,早実の敵
奈緒,やっぱり慶応か？慶応義塾のことなのか？
常務,前述のカニ
凛,いつ言ってた？いつカニについて触れてた？
常務,カルーセル麻紀
ありす,もはや個人名ですけど！？
常務,まあ、そんな感じのツアーとなる
奈緒,わっかんねぇ……！！！
常務,何か質問はあるか
フレデリカ,はーい！
常務,なんだ
フレデリカ,バナナはおやつに入りますか！？
奈緒,それ前も聞いてただろ！？
常務,良い質問だ
ありす,久々に出ましたね
常務,何度も言うが、飲食物の持ち込みは禁止だ
ありす,初耳中の初耳ですけど！？
奈緒,拷問かよ！？
唯,えー！アメちゃんもダメなのー？
周子,八つ橋もー？
フレデリカ,サムゲタンも！？
ありす,たとえOKでも持っていけないでしょうサムゲタン
常務,その代わり、1回250ジュエルで飲食物ガチャが引ける
加蓮,単位に既視感！！！
常務,初回は60ジュエルで引けるぞ
凛,既視感が増した！！
常務,10連ガチャでは爽健〇茶が確定だ
奈緒,普通に買わせてくれよ頼むから！
常務,さらに今なら！期間限定SSR"橘ありすの飲みかけアクエリ〇ス"が当たる
ありす,ちょっと！
フレ・文香・周子・奏・唯,ｶﾞﾁｬｶﾞﾁｬｶﾞﾁｬｶﾞﾁｬ
ありす,ちょっと！！！
常務,限定商品はこれだけではない
加蓮,普通に商品って言うのやめた方が
常務,なんと"神谷奈緒のつけ眉毛"も当たる
奈緒,つけまつ毛みたいに言うな！！！
凛,そもそも飲食物ですらないし
フレ・文香・周子・奏・唯,……
奈緒,これはこれで腹立つな！！！
ありす,ま、回しましょうか……？
奈緒,優しさが痛い
常務,では、説明は以上だ。早速出発しよう
唯,はーい！
フレデリカ,いえーい！
奈緒,行くしかないのか……
奏,諦めなさい……
奈緒,普通に思考に入ってくるな！
常務,……
加蓮,？
常務,……
凛,……？
常務,……よし、OKだ
奈緒,編集点作ったか今！？これ撮ってるのか！？
常務,えー……、こほん。ニューヨークへ行きたいか？
加蓮,そういうウルトラなバスツアーじゃないでしょ
常務,早速、このバスに乗って……と、言いたいところだが……
唯,？
フレデリカ,どーしたの？
常務,いや、最近は物騒な事件が多いからな、この金属探知機のゲートを通ってもらいたい
奈緒,うわ！空港とかでよく見るやつだ！
ありす,そんなに信頼度ないんですか私たち
常務,まあ、安全のためだ。従ってくれ……、死にたくないならな！！！
凛,怖っ
常務,ではまず大槻、通ってくれ
唯,はーい！
常務,む、警報音が鳴ったな
奈緒,警報音キモっ！
常務,大槻はそのブレスレットだな、それ以外は平気そうだから、乗ってくれ
唯,おっけー！
ありす,なんで音に関してはスルーなんですか
常務,次、塩見
周子,へーい。ありゃ、鳴っちゃった
常務,アクセサリーはつけていないようだが……
奏,何かポケットに入ってたりするの？
周子,あー、これかな？
ありす,？
周子,あずきバー
凛,確かに硬いけど！！！
常務,何、あずきバー！？これは立派な凶器だ、没収とする
周子,え～！？
ありす,いや、常務、さすがにそれは……
常務,橘が言うなら仕方ないな、むやみに人を傷つけるなよ
周子,わーい、ありすちゃん、ありがとねー
ありす,え？え？？？
奈緒,もうついて行けてないもんな
加蓮,誰があんなやり取りについて行けるのって話だけどね
奏,次は私かしら？
常務,ああ、通ってくれ
奏,恐らく平気だと思うけれど
凛,さっきと違くない？
奈緒,何種類ボイス録ったんだよ
常務,おめでとう、3人目のお客様だ
加蓮,その音だったの！？
ありす,というか記念の刻みが小さすぎるのでは！？
奏,ｲﾖｯｼｬ!!!!
奈緒,お前誰だ！？
常務,記念にこれをあげよう
奏,あら、何かしら
常務,あずきバーだ
奈緒,あずきバーはもういいよ！！！
周子,やっほー
唯,おー！しゅーこちゃん！……あれ？アイス？
周子,そー、せっかく出したから食べようかと思ったんだけど、これが硬くってさ
唯,へー！美味しそー！
周子,１口食べる？
唯,え！？いいの！？
周子,ま、１口食べれるものなら、だけど
唯,ありがとー！
周子,Oh……
常務,次だ、宮本
フレデリカ,あいあいさー！
常務,む
フレデリカ,あー、鳴っちゃったかー！フレちゃんの髪の毛が金色だからかなー？？？それともキラキラしたこの瞳のせいかなー？？？なんでかなー！！！
常務,誤作動のようだな、乗っていいぞ
フレデリカ,……あ、はい
加蓮,仲悪いの？
常務,鷺沢
文香,はい……
奈緒,もう鳴るのが普通に思えてきたな
常務,見た感じではアクセサリー系ではないようだ
文香,陰キャラですから……
ありす,なんて返せばいいんですか
凛,そのカバンじゃないの？
常務,ふむ、中身は？
文香,おかしなものは何も……。せいぜいネオジオポケットとセガサターンとワンダースワンとドリームキャストしか
奈緒,なぜそのチョイスに！？
文香,皆で楽しめればと……
ありす,全部初めて見ましたよ……
常務,今どきこんなもので喜ぶのは安部菜々くらいのものだ
凛,個人名を出す必要はあった！？
常務,では橘、通ってくれ
ありす,はいはい……。あ、あれ？心当たりがないんですが……
加蓮,荷物も軽めだし……
常務,いや、確かに反応している
ありす,え？な、なににですか？
常務,キミのその、どんな時にも挫けず、諦めない、""鋼""の意志に……な
ありす,大丈夫なら乗りますね
凛,あ、そこ段差あるから気をつけてね
ありす,ありがとうございます
奈緒,すぐ乗るから待っててな
ありす,はい
常務,次、渋谷
加蓮,よっぽど鋼メンタルでしょ
凛,……。よかった……
常務,面白味の欠片もない問題ないな、乗ってくれ
凛,隠せ！！！
常務,北条
加蓮,はいはい。セーフでしょ？
常務,その髪はチョココロネではなかったのか
加蓮,仮にそうでもチョココロネは金属探知機には引っかからないから
常務,さて……
奈緒,……
常務,今の気持ちは？
奈緒,"早くしてくれ"一択だよ！
常務,ふ……、そこまで楽しみにしてくれていたとは
奈緒,うるさいな！通るぞ！。うわ鳴った！
常務,さて……
奈緒,わかってるんだよ！どうせ"その眉毛が……"とか言うんだろ！？
常務,いや、また故障だな、乗って構わない
奈緒,……
常務,どうした？先に乗るぞ
奈緒,なんなんだよもー！！！！！
凛,奈緒、遅いな……
奏,またなにか、いじられてるのかしら？
周子,奏ちゃんは冷静だよねー
奏,あら、そんなことないわ。そうあろうと努めてるだけ……。そう、このあずきバーのように、冷たくあろうと努めて……。……硬っ！えっ、このあずきバー……えっ硬い……なにこれ、え、ちょっと、なにこれ硬い……硬い！！！
周子,前言撤回かなー
常務,さて、全員乗ったようだな、これからの予定だが、まずは昼食だ
奈緒,ここまでに時間かけすぎて、もういい時間だもんな
加蓮,無駄なやり取りが多すぎるのよ
常務,私の行きつけの料亭に向かう。秋の味覚を堪能しよう
フレデリカ,おー！
ありす,それは楽しみですね
常務,大丈夫だ、味は私が保証しよう
加蓮,その発言で一抹の不安が芽生えたけどね
常務,その後、果物狩りや紅葉狩りも予定している。楽しみにしてくれ
凛,わりとプランはまとも……
唯,あ！じょーむ！
常務,……
唯,あれ？おーい！じょーむ！
常務,常務ではない……
奈緒,え？
常務,バスガイドの美城だ
ありす,めんどくさっ！
常務,ガイドが
奈緒,とうとうただの自画自賛じゃねーか！！！
文香,〇スガイド……
加蓮,何でそこ伏せたの
バスガイド常務,アテンションプリーズ！！！
奈緒,バスガイド知らないだろ！？
常務,まず、シートベルトは忘れずにつけてくれ……、死にたくないならな！！！
凛,ちょくちょく脅すのは何？
常務,さて、右を見てくれ
周子,？
常務,川だ
加蓮,下手か！
常務,左を見てくれ
唯,？
常務,山だ
凛,学んでよ！
常務,前を見てくれ
ありす,今度はなんですか……
常務,私だ
奈緒,やめちまえ！！！！！
常務,しばらくは移動時間となる。各々、楽しい時間を過ごしてくれ
奈緒,ようやく休める……
フレデリカ,しりとりー！！！！！
文香,理論
加蓮,始まったと思ったら終わった！！！
フレデリカ,……
奈緒,厄日かよ
ありす,ふ、フレデリカさん、アメなめますか……？
フレデリカ,！。ありがと！！！
文香,……
凛,いや、もとはといえば原因は文香だから
常務,北条の体調は大丈夫か？調子が悪くなったら言ってくれ
加蓮,ありがたいけど平気かな
常務,頭痛、酔い、腹痛、生理、発熱、なんでも言ってくれ。薬は裏ルートで用意してある
加蓮,表ルートで手に入れてよ！
奈緒,薬とか一番裏通しちゃダメなやつだろ！
常務,それでも辛い時は……
フレデリカ,はーい！ドクターフレデリカの参上だよ！
文香,惨状の間違いでは……？
周子,前科何犯？
奏,自首するなら付き合うわ
ありす,ツッコミが辛辣すぎませんか！？
フレデリカ,はーい！服役囚フレデリカだよ……
奈緒,ジョブチェンジが劇的だな！？
常務,そろそろ目的地が近づいてきたようだ
奈緒,ようやくか……
常務,皆、窓の外を見てほしい
ありす,！
加蓮,わぁ……
凛,綺麗な紅葉……
周子,この赤と黄色、京都を思い出すねぇ
奏,都心から少し走っただけでも、こんなにキレイな紅葉が見れるのね
常務,これから昼食だ、期待してくれ。……
加蓮,？
常務,……
凛,……？
常務,……よし、OKだ
奈緒,また編集点！？やっぱりこれ撮ってるのか！？
常務,皆、席には着いたな
唯・フレ,はーい！
常務,ここは、天ぷらが非常に美味だ。"山菜と川魚の天ぷら御膳"がおすすめのようだな
唯,じゃあ唯はそれで！
フレデリカ,フレちゃんも！
奏,私もそれにしておくわ
周子,あたしもー
ありす,私もそれでいいです
凛,私もそれにしておこうかな。奈緒と加蓮もいいよね？
奈緒,ああ
加蓮,うん
文香,カレーライスで
奈緒,空気読め！！！
ありす,フレデリカさんですら空気読んでたのに！
フレデリカ,ですらー？
常務,出来上がったようだな
唯,もーお腹ペコペコだよー！
ありす,わ……、美味しそう……
凛,ありすがかわいい……
奏,じゃあ、いただこうかしら
常務,待て
奈緒,？
常務,ただ食べるだけではつまらないだろう
加蓮,いや、面白さ求めてないし
常務,そこでキミ達には、食レポをしてもらいたい
ありす,ええ……！？
常務,ちょうど9品目ある。私が食べるモノと人を指定するから、何か感想を言ってくれ
凛,め、めんどくさい……
常務,くれぐれもおー↓いー↑しー↑いぃぃー！！！↑↑↑のような感想にならないように
ありす,常務が言うとなかなかキツイというか
文香,ご乱心ですか
ありす,たまには我慢しません？
常務,ではまず、ヤマメの天ぷらを、宮本
フレデリカ,はいはーい！。……。！。素晴らしいですね。サクサクの衣はもちろんですが、それによってヤマメの身の柔らかさが引き立っている。"素材の味を活かす"という文言は、ともすれば単に淡白な味を指すことになりかねませんが、コレは明確に違う。恐らく、衣をつける前に塩を揉みこんで下味をつけているのでしょう。さらに衣からも柑橘系の香り……。ヤマメを活かすために、最大限の技術を集めている。感服いたしました
りんなおかれんありす,！？！？！？
常務,悪くないな
奈緒,あれでその評価！？
加蓮,ハードルどうなってるの！？
凛,ちょっと見直したけど
常務,次、タラの芽の天ぷらを、橘
ありす,え、ええ！？
常務,頼んだ
ありす,ええ……、し、食レポ……
奏,大丈夫よ、食べて、感じた、そのままを言えばいいの
唯,うんうん！なんでもいいんだよ！
周子,がんばー
奈緒,が、頑張れ！
凛,この集まり、基本的にありすに優しいよね
ありす,……。……
みんな,……
ありす,！。お、おいしい……！。あ、あの、山菜なのにジューシーというか、しっかりと噛みごたえがあって。少し苦みもあるんですけど、風味が口いっぱいに広がって……！。えっと、えっと、と、とっても美味しいですっ！。ど、どうでしょうか……
へんじがないただのしかばねのようだ,死因ありすかわいい
ありす,みなさん！？！？！？
常務,死ぬかと思ったな
加蓮,今回は同意
凛,わかる
奈緒,な
周子,わかるけど、トラプリが語彙を失ったらマズいから帰ってきて？
奏,会話が回らなくなるわ
奈緒,そっちで回せよ
奏,まって奈緒、怖い
常務,では次、ゼンマイの天ぷらを、塩見
