モバＰ,以降Ｐ表記でごぜーますよ
幸子,
Ｐ,…
幸子,
Ｐ,…
幸子,
Ｐ,…あっ。幸子、次のライブお前人間大砲で登場する事になったからな
幸子,ぎゃふんっ！？。なんて事があったんですよ！
輝子,お、おう…
小梅,あ、荒ぶってるね…
幸子,何なんですかあのプロデューサーさんは！いつもいつもリアクション目当ての体当たりロケばっかりやらせて…お陰でカワイイカワイイボクが最近ではイモトの後継者
輝子,お、落ち着け…どうどう、さっちー
小梅,…あ、え、えびせんあるけど…食べる？
幸子,いただきます。……ようふるにふぇふね、ふぉふふぁふぃふぃふぁいふぉふぁ
輝子,な、何言ってるのか全然わかんねえ…フヒヒッ
小梅,お口の中、空っぽにしてからお話し…ね？
幸子,…んぐっ。これは失礼しました。…要するに、ボクが言いたいのは。どうにかしてあの残念なプロデューサーさんにギャフンと言わせてやりたい！。と、いう訳です。あ、えびせんもう少し貰いますね
小梅,で、でも…ギャフンって、言ってくれたんだよね？
幸子,言ってくれたじゃダメです！言わせたいんです！思いがけず口から出させたいんです！
輝子,で、でも…ギャフンって、実際声に出して言う人…いるか？
小梅,うん…下手したら、一生口にしない言葉かもよ…？
幸子,うぅ～……！そんなことありません！こうなったら絶対言わせてみせます！。待っていてください、すぐにあの偏屈陰険性悪敏腕盆暗プロデューサーに吠え面かかせてきますから！
小梅,えっ、あっ……も、もういっちゃった…
輝子,な、何気に悪口の中に褒め言葉が混ざってなかったか…？
あの子,せわしねぇや
小梅,…ね、ねぇ
輝子,フヒ？
小梅,さ、さっちゃん…何時間ぐらいで、な、泣きながら戻ってくるか賭ける？
輝子,そ、そうだな……じゃあ、2時間ぐらいに、2千ペリカ
小梅,私は…1時間に、あの子の魂を賭けよう
輝子,グッド
あの子,え？
幸子,さーて、正面からいってもあのプロデューサーさんの事だから好き勝手に人の事おちょくって弄り倒して弄んだ挙句美味しいオヤツ食べさせてくれてオシマイでしょうからね。ここは一つ、どう仕掛けるかよく考えないといけませんね……
凛,何してるの？
幸子,ぎゃふんっ！？
凛,わっ、そんなビックリしないでも
幸子,い、いきなり気配も無く後ろから肩を叩かれたらビックリですよ！
凛,別に気配隠したりしてないよ。幸子がそれだけ夢中でプロデューサーのこと見つめてたんでしょ
幸子,ひ、人聞きの悪いことを言わないでください！
凛,違うの？こんな物陰からコソコソと……乙女か
幸子,乙女ですよ！ボクも凛さんも！この事務所の娘はほとんど！
凛,で、何してるの？ストーキングなら千枝ちゃんに聞くといいよ
幸子,違いますし誰をどんな理由で紹介しようとしてるんですか！。ツッコミしか出来ないから話が進みません！！
ちひろ,何やら賑やかですねぇ。全部聞こえてるのに
Ｐ,若いうちはあれぐらい元気なほうが健全ですよ
ちひろ,達観してますねえ。あ、この資料お願いします
Ｐ,ちょっと待って、今バルバトス作ってるから
ちひろ,それじゃしょうがないですね。ってバカぁ！
幸子,かくかくしかじか
凛,りんりんしぶりん。うん、大体わかった
幸子,世界の破壊者並みの理解力ですね
凛,幸子はプロデューサーにギャバンって言わせたいんだね
幸子,話聞いてました？
凛,とりあえず若さってなんだ
幸子,凛さん、お願いだから一旦ボクに振り向いて下さい。そして少しは躊躇ってください
凛,って言うか、あのプロデューサーをギャフンと言わせるなんて無理じゃない？
幸子,よかった、一応話は通じていたんですね。やっぱりそうですかね…あの人ノリは良い癖に妙に隙が無いと言うか時々チートと言うか…
凛,ふふ、幸子には荷が重そうだね。いいよ、私に任せて
幸子,えっ？いやボクが言わせたいんですけど…
凛,付き合いの長い私ならプロデューサーの口からギャフンと言わせたり愛してるとか結婚してくれとか言わせたりなんて朝飯前だよ
幸子,いやいや付き合いの長さならボクも凛さんと割と変わらないんですけど…って何する気ですか一体！
凛,まぁ、そこで見ててよ。…ねぇプロデューサー
幸子,あっ、ちょ、ちょっ待っ…！フットワーク早っ！
凛,プロデューサー、今ちょっといいかな
Ｐ,悪い、見ての通り今忙しいんだ
凛,プラモ作ってるのに？
Ｐ,プラモじゃない、グシオンリベイクだ
ちひろ,プラモじゃねーか
Ｐ,ちょっと待っててくれな。あ、ちひろさん接着剤乾くまでコレ持ってて下さい
ちひろ,ちょっ、おま
Ｐ,んで、どうした？凛
凛,うん、大した事じゃないんだけどさ
幸子,ボクが自分の力でギャフン言わせたかったところですが、凛さんのあの自信に満ちた態度、３代目様の実力をそこでしっかり見てな。お手並み拝見させてもらいますよ、凛さん。あ、ずっと覗き見してたから喉乾きましたね…ちょっと伊右衛門でも買ってきましょう
凛,…
Ｐ,何だ？言いにくいんだったらちひろさんに席外してもらうか？
ちひろ,扱い悪くないですか？誰かさんが仕事中に作ってるプラモ持ってあげてる天使ですよ？
凛,ううん、それはいいんだけど…いざとなるとちょっと勇気がいるね…
Ｐ,…？
凛,…うん、あの、さ…
Ｐ,うん？
凛,今、付き合ってる人がいるんだ
Ｐ,
ちひろ,
幸子,。ぺぺっ！折角買ってきたお茶ぶちまけちゃいましたよ！何をほざいてるんですかあの３代目アホデレラガールは！。…はっ！ま、まさかコレが凛さんの作戦…？
ちひろ,ちょっ、ちょちょちょ！今何て？
凛,今付き合ってる人がいるんだ、って
Ｐ,えっ、島村何とかさん？それとも本田さん？神谷何某さん？はたまた北条加蓮？
凛,何で加蓮だけバッチリ言うのさ。同性じゃないよ。私そういう趣味無いよ？
Ｐ,えっ
ちひろ,えっ
凛,えっ？
ちひろ,いやいやいやいや、それはそれで問題ですけどそうじゃなくてもそれはそれで大問題ですよ！？
Ｐ,マジかぁ…マジかぁ…
凛,…
幸子,あ、あれが３代目シンデレラガールの演技力…。プロデューサーさんとちひろさんが俯いた隙に何てあくどい笑顔を浮かべてるんですかあの人は…
Ｐ,…本気、なのか？
凛,…うん
Ｐ,そうか…
凛,…
ちひろ,り、凛ちゃん？まがりなりにもあなた達はアイドルなんですよ？
凛,…ゴメン
Ｐ,そっか…
凛,…。さぁさぁどうするのプロデューサー？大事なアイドルがどこの馬の骨とも知らない男に取られちゃうよ？私のこと心配？落ち込んでくれた？嫉妬なんてしてくれるのかな凛は俺のものだ誰にも渡さん！
幸子,プロデューサーさん達が俯いてるからって何ちゅう顔してるんですかあの人は…。ああもう、涎！涎垂れてます！
Ｐ,…なぁ、凛
凛,。…なに？
Ｐ,…相手は、どんな奴なんだ？
凛,ふへっ？
Ｐ,いや、凛みたいな娘を射止めた男は、どんな男なのかなって、さ。よかったら教えてくれないか？
凛,えっ、えっ…？は、反対しないの？。アイドルだよ、私。ファンを裏切ってるんだよ？
Ｐ,凛ぐらいの年頃で恋愛感情を持つななんて無茶な事は言わないさ。実際恋愛を全面禁止したりしてないだろ？
凛,あ、いやそうだけど…
幸子,助けを求めるような視線が来ましたーーー！でもごめんなさい、ボクは何も出来ません！
Ｐ,同じ業界の関係者か？
凛,えっ、いや違…
Ｐ,じゃあ同じ学校の人か？
凛,うん？あー、えっと…うーん……同級生…？
Ｐ,凛の同級生か…
凛,ふぅ、危ない…何とか乗り越えた…さすが私アドリブも完璧だね。ごめんね、プロデューサー…
Ｐ,いや、謝られるような事じゃない。恋愛感情なんて誰に何を言われたって止められるものじゃないしな。それに、俺には凛の事をとやかく言える資格は無い
凛,…？プロデューサー、それは？
ちひろ,薬指に………指輪っ！？
Ｐ,……うん。結婚しました
凛,…。……。ぎゃふん！
幸子,見事なまでに返り討ちにされましたね３代目さん…
凛,
幸子,もしもーし、意識はありますか凛さーん？プロデューサーさんの結婚って嘘ですよ？あの指輪もハムスターの首輪ですって
凛,
