若干精神がアレなＰ(以降Ｐ表記),どうした芳乃。俺ペブシじゃなくてコカ派なんだが
芳乃,う～…、お鼻がむずむずするのでしてー
Ｐ,ほらティッシュ。なんだ、風邪か？
芳乃,わかりませんー。頭がくらくらしましてー、なにやら悪寒がしますー。関節がー、ズキズキと痛みましてー…お鼻と目がしょぼしょぼしているだけですー
Ｐ,１２０％風邪ですわそれ
芳乃,デシテッ！
Ｐ,あぁティッシュティッシュ。ほれ、ちーん
芳乃,ちーん
Ｐ,とりあえず熱測るか。えーっと体温計、体温計…どこだっけかな
芳乃,うう…くらくらしますー…
Ｐ,大人しくしてなさい。えーっと、どこに置いたっけかなぁ。普段スタドリ飲めばインフルも一瞬で治るから全然使ってねぇや
芳乃,視界がー、ふらふらと揺れてりますー。おやー、そなたー、そなたー…いつの間にそなたは４人になりましてー？
Ｐ,おおう、割りと重症だわこれ
芳乃,体がー、熱いのですー…それなのにー、悪寒がぞくぞくしますー…
Ｐ,布団ちゃんと被ってなさい。ああどこ行った体温計！…あった！いや違うこれリボルケインだ！
芳乃,ほー…
Ｐ,あった！何でゲームソフトの箱に入ってんだよ…おーい芳乃ー。熱測るぞー
芳乃,ほほー…
Ｐ,ほれ口開けなさい。あーん
芳乃,ビスコでしてー？
Ｐ,体温計です。ビスコは後で買ってくるから、ほら
芳乃,んあー
Ｐ,あふん。よしのん、それ俺の指
芳乃,ふぉー？
Ｐ,やめぃ。しゃぶるな舐めるな
芳乃,…ふぉー？
Ｐ,咥えるのはコッチ。はいっ
芳乃,ふぇひふぇー
体温計,３９度。それが絶望までの温度だ
Ｐ,結構あるな。流石にこれじゃ仕事は無理だな…ほれ、もういいぞ
体温計,振り切るぜ
芳乃,しかしー…お仕事が入っておりますー…けほっ、けほっ
Ｐ,無理だろそれじゃ。仕方ないから代役頼むか……幸子か輿水かさっちゃんか謎の横ハネ娘の誰かに頼むとしよう
芳乃,うぅ～……申し訳ありませんー…
Ｐ,んじゃ、ちょっとちひろさんに電話してくるから
芳乃,ぐすっ…そなたー、そなたはー、お仕事にいかれるのですかー？。むむぅ～…
Ｐ,……あ、もしもしＰです。すいません芳乃が風邪を引いてしまって……え？いやいや芳乃だって風邪ぐらい引きますよ！？
芳乃,…致し方ない事とはいえー…
Ｐ,はい…はい。ええ、看病したいのは山々なんですけど俺も途中のままの仕事がいくつかありますし…
芳乃,…ひとりは、心細いのですー…
Ｐ,は？５００００００モバコインで代わりますって？ハハッ生きていけない
芳乃,…そいやーっ
Ｐ,…はい？タダでいいから今日は休んでいい？突然何言ってるんですか。…あ、いや確かに有給はアホみたいに溜まってますけど…。どうしたんですかちひろさんイチゴパスタでも拾い食いした？。…まあ、ありがたいですけど。…じゃあ、今度埋め合わせしますね。…いやモバコイン以外で。いやいやスタドリとかも無しで！
芳乃,…むふぅ
Ｐ,はい、じゃあ…お願いしますね？では…。…何だろ、突然あの緑のカネゴンが仕事やっておきますから休んで良いですよ
芳乃,そなたー、お家にいてくださるのでー？
Ｐ,ああ。これで芳乃の看病出来るな
芳乃,わーい。ではではー、何をして遊びましょうー？
Ｐ,芳乃さんアナタ病人。とりあえず、暖かくしてもう少し寝てなさい
芳乃,うぅー…寂しいのでー
Ｐ,袖を掴まない。俺動けないだろこれだと
芳乃,ここにいてくださいー
Ｐ,ご飯作りたいんだけど
芳乃,後ででよろしいのでー
Ｐ,休みになったし洗濯物とかさ、ほら
芳乃,あーとーでーでー
Ｐ,トイレいきたい
芳乃,あーーとーーでーー
Ｐ,ま、マジすか…
芳乃,すぴぃ…
Ｐ,良かった…ひたすら撫で続けたらようやく寝てくれた…。この歳でトイレに間に合わなかったとか悲惨すぎて生きて行けないもんな。んじゃ、芳乃が寝てるうちに掃除に洗濯に飯の準備に…
芳乃,むにゃぁ…
Ｐ,あっこら。布団蹴るな。ちゃんとかけてなさい
芳乃,むにゅぅ～…？
Ｐ,また捕まったし！？
芳乃,でしてぇ～…
Ｐ,ふぅ…掃除洗濯完了…。さて、芳乃の様子はっと…
芳乃,ふにゃあ…？
Ｐ,ん、起きたか？どれどれ熱は下がったかな
芳乃,うぅ～…、喉がからからですー…
Ｐ,熱測ったら水持ってくるから。えーっと体温計、体温計…違うこれはリボルケインだ。あーもう面倒くさい
芳乃,あひゃん
Ｐ,んー………38.7度？
芳乃,そなたー、お手が冷たいのですー
Ｐ,洗い物してたからなあ。まだ熱あるな。そろそろ着替えるか
芳乃,ほー…
Ｐ,はいはいこの場で脱がない。リビングにお湯で温めた濡れタオルと着替えあるから、体拭いて着替えてきなさい
芳乃,そなたがー、してくれないのですかー？
Ｐ,埼玉県民がアダマンチウムの理性を持っているとしても限度があるのですよ。お腹も空いてるだろうし、着替えてる間にご飯用意するから、ほらほら
芳乃,むむぅー…。あーうー…ふらふらして、まっすぐ歩けないのでしてー
Ｐ,はいはい。芳乃は軽いなー。アッキー３匹分ぐらいじゃないか？
芳乃,ほー、らくちんなのですー
Ｐ,芳乃はもっと肉つけないとなぁ
芳乃,ふむー、雫殿ぐらいにですー？
Ｐ,全く想像できねぇ。着替え終わったかー？
芳乃,さっぱりしましたー
Ｐ,はい偉い偉い。じゃあご飯にするぞー
芳乃,ほー
Ｐ,ありきたりだけどお粥にしたわ。お腹大丈夫か？芳乃
芳乃,平気ですー
Ｐ,なら良かった。じゃ、お椀に盛るぞー
芳乃,ほぉー…良い匂いがしますー
Ｐ,夕べ作った鶏ガラをちょっと入れてあるからかな。ほら、あとこっちに叩いた梅肉と刻んだ沢庵と葱があるから、好きなように入れな。あ、麦茶ここに置いとくからな
芳乃,そなたはー、時々母様のようですー
Ｐ,せめてお父さんって言って欲しいんですけど
芳乃,いただきますのでー
Ｐ,いただきなさい
芳乃,はふっ…。あふいのれひて！！
Ｐ,ふーふーしなさい！ふーふー！
芳乃,はふー、はふー
Ｐ,口に入れたままふーふーしてどうするよ
芳乃,ふぉーっ、ふぉおー！。はふふ、ほふっ、はふっ
