光の勇者,以下、勇者
地の四天王,以下、地王
勇者,やめろ！それでも魔王軍の幹部か！
地王,お前しか！お前しか居ないのだ！。酔って、朝起きたら闇の魔王様がベッドに居たのだ！。薄らぼんやりと、ヤっちゃった記憶があるのだ！
勇者,だから俺に言うのはやめろってえええええ！！
地王,ええい、お前はそれでも勇者か！？
勇者,それでもって、どれでもだ！
地王,救いを求める手を振り払うつもりか！？
勇者,俺に助けを求めるな！
地王,ああ……俺は、おしまいだ！。魔王様は……初めてだった……！
勇者,そういう事言うなってえええええ！！。というか、何故お前がここに居る！？
地王,今日は非番なのだ！
勇者,そうじゃなくて！俺に助けを求めるな！
地王,ええい、わからんやつだ！。勇者よ、敵ながらお前は天晴なやつ！。その力を見込んで、助けを求めているのだ！
勇者,こういう助けの求められ方ははじめてだよ！。そもそも！どうしてそうなった！？
地王,よくぞ聞いてくれた！
勇者,聞きたくて聞いてるんじゃねえ！
地王,勇者よ！心して聞くが良い！。実は、酔ってあまり記憶が無いのだ。何となく、一緒に飲んでたなぁ、程度にしか覚えていない
勇者,最悪だな！お前、ほんと最悪だな！。しかし、その……なんだ……
地王,ん？何か、気になることでもあったか？
勇者,……魔王が初めてだったとかは、覚えてるんだな
地王,ああ。シーツに、血の痕が残っていてだな。歩き方に違和感があり、これはもう、となったわけだ
勇者,これはもう、じゃねえよ！！
地王,加えて、会議の時の魔王様の行いだ
勇者,……様子でも違ったのか
地王,いや、そこはいつもとは変わらなかった
勇者,じゃあ、行いって何だよ
地王,こう、闇の魔力で影を操ってだな？。それを伸ばし、コッソリ俺の指に絡めてきたのだ
勇者,なんだそれ、可愛いな！？
地王,魔王様は美しい！
勇者,……まあ、そうだな
地王,そして、可愛らしい面もあると知った！
勇者,……まあ、そうだな
地王,だが……このままでは、まずい！。水の四天王の怒りを買ってしまう！
勇者,……ん？。水の四天王は、女だったはずだが？
地王,ああ、水の大精霊で、ボン・キュッ・ボンだ
勇者,……そういう言い方やめろ？
地王,……穏やかで、いつも微笑みを絶やさぬ美しい女だ。だが！私以外に手を出したら許さない、と！。そう言った時の目は、笑っていなかったのだ！
勇者,待て待て待て待て！！。お前！今のって……お前！？
地王,護岸工事等で、奴とは行動を共にする機会が多くてな
勇者,やめろ！それ以上聞かせるんじゃない！
地王,まあ、時に酒宴もあるのだ。酒宴の翌朝、いつも隣で寝ているのだ。こう……幸せそうな寝顔でな？
勇者,だから言うなってえええええ！！。お前！水の四天王と良い仲だったのか！？
地王,悪い仲ならば、そうはならんだろう
勇者,なのに、魔王に手を出したと！？
地王,その通りだ！。右の指に影、左の指に水が絡んできた！。もし、その二つが重なったらどうなるか……わかるな？
勇者,やめろ！他人事だが怖い！
地王,しかし、考えてもみろ勇者よ！
勇者,何をだ！？
地王,どちらも、酔った勢いなのだ！
勇者,かも知れんが、お前最低だな！？
地王,だから、な？。こう……何とかならないか？
勇者,俺に、その状況をどうしろと！？
地王,無論、決まっているだろう！
勇者,……一応だが、聞いてやる
地王,俺が死なず！
勇者,まあ、そう言うだろうな
地王,何事も無かったように！。二人との関係が、自然消滅する様にだ！
勇者,難易度高すぎるだろうが！！
地王,水の四天王だけならば、まだ何とかなったのだ！
勇者,闇の魔王も加わり、複雑化した……と
地王,光の勇者よ、助けてくれ！
勇者,いや……そう言われてもだな
地王,早急に、何とかしなくてはならんのだ！。婚約者――火の四天王にバレる前に！
勇者,待て！待て待て待て待て！待て！。婚約者！？火の四天王が！？
地王,幼き頃に決められたものだがな？
勇者,お前、婚約者が居たのに……何だお前！？
地王,バレたら、魔王領は終わり……。……いや、案外平気かも知れん。奴は、こういう時は怒らずにションボリする性格だ
勇者,やめろ！心が痛い！
地王,奴の怒りの炎が魔王領を包むと思っていたが……
勇者,……それこそ、炎のような性格をしているしな
地王,うむ、火龍王の娘にして、最高の武人だ
勇者,それが婚約者だとは……
地王,あ、やはり駄目だな。父である火龍王が全てを焼き尽くす程怒り狂うだろう
勇者,そりゃそうだろうな！！。しかし、火の四天王にはまだ手を出してないんだな！？
地王,無論！そうであれば、既にバレているだろう！
勇者,！婚約の解消をすれば良いんじゃないか！？
地王,！その手があったか！。では、今度口づけを求められた時。その時に、婚約の解消を申し出ることにする
勇者,お前それ最悪のタイミングだろう！？。っていうか、キスしてるじゃねえか！
地王,こう、軽くな？チュッとな？
勇者,度合いは聞いてねえよ！
地王,照れているのか、これ以上は結婚してから、と言ってな。……そんな女との婚約の解消を提案するとは！。勇者よ！お前は、やはり俺が見込んだ奴だ！
勇者,やめろ！お前に見込まれたくない！
地王,迷いは晴れた！なんと清々しい気分よ！
勇者,お前、本当に婚約解消する気か！？
地王,何と言えば、納得して貰えるだろうか？
勇者,俺に聞くな！頼むから！
地王,……ふっ、まあ良い。お前には、勇気を授けられたからな
勇者,俺のせいみたいな言い方をするな！
地王,まず、火の四天王との婚約を解消！
勇者,待て待て！まとめに入るな！
地王,そして、うまく誤魔化しつつ！
勇者,……闇の魔王、水の四天王との関係の自然消滅を狙うと？
地王,その通りだ！。……光の勇者よ。その時は……敵であるが、頼りにしているぞ
勇者,……地の四天王。お前のことは、忘れな……いや、早く忘れるよ
地王,――久しぶりだな、勇者よ！
勇者,昨日会ったばかりだろうが！……何か進展したのか？
地王,いいや、まだだ！だが、助けてもらいたい！
勇者,！？やめろ、言うな！俺に助けを求めるな！
地王,酔って、朝起きたら風の四天王がベッドに居たのだ！。薄らぼんやりと、ヤっちゃった記憶があるのだ！
勇者,だから俺に言うのはやめろってえええええ！！
