モバP(以下P表記にゃあ),ただいま戻りましたー……って誰もいないな
P,ちひろさんも…外回りか。アイドルもみんな撮影とかレッスンでいないのか…。なんかいつもは賑やかな事務所も誰もいないと寂しいな…ん？。ソファーの上になんか脱ぎ捨てられてるな…。これ凛の制服の上着か…。……………少しぐらい…嗅いでもバレへんか。ん……。まだ凛は…。スケジュール通りならまだレッスン中だな…しばらくは事務所には帰ってこない…。……………着てみるか…凛の上着。ｽｩｩｩｩｩｩｩ.......ﾊｧｧｧｧｧｧ.....。凛……凛…。あぁ…….凛…凛…
凛,プロデューサー…………何してるの？
P,！！！！？！？！？
凛,プロデューサーが着てるそれ…私の上着だよね？
P,り、凛！？い、いつのまに！？
凛,答えてよ。私の上着着て何してたの？
P,いや…あの…その…いつから……事務所に？
凛,私の質問に答えて。何してたの？
P,はい……凛の上着がソファーにあったから…着て…嗅いでました…
凛,……そうなんだ。私の上着着て匂い嗅いでたんだ…。どうだったの？
P,……はい？
凛,上着。いい匂いだったの？
P,最高だった…願う事ならずっと嗅いでたいです
凛,へぇ…プロデューサーって匂い嗅いで悦ぶんだ…
P,ごめんな凛…俺はプロデューサー失格だよな
凛,……ねぇプロデューサー？この事黙ってて欲しい？
P,はい。すいません許してくださいなんでもしますから
凛,じゃあさ……直接嗅いでみない？
P,へ？
凛,私の身体から直接嗅いでみないって事。嗅ぎたいんでしょプロデューサー？
P,え？え？い、いいの？
凛,私がいいって言ってるんだよ？嗅ぎたくないの？
P,嗅ぎたいです！嗅がせてください！
凛,なら…どこから嗅ぎたい？私はどこでもいいよ？
P,じゃ、じゃあ…頭！髪の匂い嗅がせて！
凛,フフッ。プロデューサー？髪でいいの？
P,うん！
凛,………じゃあ好きなだけ嗅いで。プロデューサー？嗅がないの？
P,凛の髪が綺麗で見惚れてた…
凛,もうプロデューサー…///
P,じゃあ…嗅ぐよ
凛,うん…///
P,…ｽｩｩｩｩｩ…
凛,い、息が強くなってきたね…
P,ﾊｱﾊｱﾊｱﾊｱﾊｱ……
凛,ぷ、プロデューサー？
P,凛…凛…！
凛,！？(お、押し倒してきた！？)
P,凛…凛…いい匂い…凛の匂いしゅごい…
凛,プロデューサー！？(い、犬みたいに私の身体嗅いでる…)///
P,ﾊｧﾊｧﾊｧﾊｧ.....。……たい
凛,え？何？
P,凛の…凛のヘソの匂い嗅ぎたい…
凛,…い、いいよ…(おヘソの匂い嗅ぎたいなんて…)///
P,ありがとう凛。凄く堪能できたよ
凛,プロデューサー…もういいの？まだ嗅いでてもいいのに…
P,これ以上やると理性が持たないよ…
凛,まぁ…プロデューサーがいいならそれでいいけどね
P,それに加蓮と奈緒迎えなきゃならんし
凛,わかった。じゃあ続きは…また後だね
P,…マジで？
凛,うん。加蓮と奈緒迎えに行った後でね
P,よし。じゃあ行ってくる
凛,にしてもプロデューサーがクンカーだったなんてなぁ…。匂いを嗅ぐ気持ちは理解できるけど…なんか以外だな…。あれ？そういえは私の上着は？
加蓮,お疲れプロデュー…え？
奈緒,おつか……え！？
P,どうしたの二人とも？
加蓮,ねぇプロデューサー…
奈緒,なんで凛の制服の上着着てるんだよぉ！
P,………あ
