浅利七海,肉れす。肉を持ってくるのれす
芽衣子,七海ちゃんご乱心っ！？
森久保乃々,……なぜか最近はこんな感じなんですけど
芽衣子,そうなの？
七海,お魚アイドルだからといって、いつもお魚ばかり食べてるわけではないのれす！
芽衣子,な、なるほど
乃々,……あ。ファミレスなのに海鮮丼なんてものもあるんですね
七海,…………
乃々,今日は芽衣子さんの奢りなので遠慮はいらないんですけど……
七海,…………。いえ……七海は今お魚絶ちをしているのれ……
芽衣子,お魚絶ち？
乃々,……何かあったんですか？
七海,願掛けのようなものれす。個人的に来週くらいまではお魚を我慢しようと思っているのれす
芽衣子,おおー
乃々,……よく分かりませんが、強い意志を感じます
芽衣子,そうだね。何か目標があるなら応援するよ！頑張って！
乃々,ふぁいおー……。ぼりゅーみぃー……
芽衣子,大丈夫？食べきれる？
七海,ご飯大盛りでも軽いれす！
芽衣子・乃々,おおーっ！
芽衣子,あっ！だからまだ決めてないんだって！
七海,芽衣子さんも結構がっつり頼んだのれすね～
芽衣子,男子禁制の女子会だし、人の目を気にせずガンガンいくよー！
七海,人の目というよりはＰさんの目なのれは
芽衣子,シャラップ！
乃々,もりくぼもパスタにサラダを付けました……
七海,特に理由もなくご馳走してくれる芽衣子お姉さん、ありがたやーありがたやー、なのれす
乃々,太っ腹なんですけど……
七海,…………
乃々,…………
芽衣子,…………
乃々,反応が鈍いんですけど……
七海,上手くやれば奢らせるだけ奢らせて、そのまま帰れそうれしたね～
芽衣子,ひどくないっ！？
七海,沖縄の蛇みたいれす～。ちなみに七海も過去二回に心当たりはないのれす～
乃々,……ほっ
七海,素直れす～。じゃあ、過去２回は誰とやったんれすか～？
芽衣子,…………。……も、黙秘します
七海,白状しなかったらＰさんに、芽衣子さんがスタミナ定食ご飯大盛りに食後のスイーツ２つもあわせて注文してた事を報告するれす～
芽衣子,ちょっと！それは待って！。ぐ……だ、第１回は……Ｐさんとの仲がまったく進展しないから、頼りになりそうな大人の人を……
七海,具体的には？
芽衣子,志乃さんと楓さんと瑞樹さんと千奈美さん……
乃々,…………
七海,…………
芽衣子,……イジられるだけイジられて、気がついたら酒盛りだった……。……第２回は手玉に取られないよう少し歳下で……優しそうな娘を呼んでみたんだ……
乃々,……具体的には？
芽衣子,まゆちゃんと響子ちゃんとゆかりちゃんと智絵里ちゃん
乃々・七海,……あっ
芽衣子,な、何っ！？何を察したのっ！？
乃々,いえいえ、なんでもないんですけど……本題に入りましょうか
七海,芽衣子さんも大変れすね～。えーっと、Ｐさんについての情報交換れしたか～？。完全に敵性認定されたれすね～
乃々,今後、夜道や本道から逸れた道は歩かない方がいいと思うんですけど……
芽衣子,なにそれっ！？怖い！
七海,次は美優さん留美さん瞳子さんに相談するといいれすよ～
乃々,おにちくです……
芽衣子,何？二人共何の話してるの！？
七海,そうれした。Ｐの話れした～！
乃々,……そうですね。Ｐさんは……
芽衣子,う、うん？
七海,…………
乃々,…………
七海,…………
乃々,…………
七海・乃々,……ロリコンで(れ)すね
芽衣子,バッサリ！
乃々,ど真ん中ストライクは中学生くらいだと思います……
七海,れすねー
芽衣子,それ個人的な願望入ってないっ！？
乃々,な、なんのことでしょう……
七海,多少それがあるにしても、ぶっちゃけハタチ過ぎてる女性は対象外だと思うのれす
芽衣子,そんな身も蓋もない……
乃々,芽衣子さんがＰさんの所に転がり込んで何ヶ月も経つのに何もないのが証拠だと思うんですけど……
芽衣子,ううっ…！
七海,そもそも転がり込んでること自体が意味不明れすけどね～
