モバP,以下P表記
ちひろ,突然なんですか、こっちは次の限定SSRのためにせっせと白封筒作ってるんですけど
P,うちのアイドルって軽すぎると思いません？
ちひろ,まあそりゃアイドルなんですから皆頑張ってレッスンしてますから……
P,と言う訳で手始めにこの机の下にいる森久保にもっと食わせようと思います
乃々,なんかいきなりとんでもないこと言いだしたんですけど、何考えてるんですかこの人
ちひろ,は、はあ……まあほどほどにしてあげてくださいね
P,と言う訳で行くぞ、森久保ォ！
乃々,む、むーりぃー……
夏樹,お、プロデューサーじゃん、どうしたんだ乃々を引きづって？
P,森久保が軽すぎるからもっと飯を食わせようと思って。せっかくだしお前も来るか？勿論奢るぞ
夏樹,お、マジでか。今月欲しい楽譜とCDが多かったから正直金欠なんだよね。じゃ、行くわ
P,せっかくだし何が食いたい？何でもいいぞ
夏樹,へえ、そうだね。やっぱこの前拓海と一緒に行った焼肉かな。金欠だと肉が物足りなくてね
乃々,あうぅ……森久保の意思は無視ですか……
P,よし、焼肉行くぞ！。焼肉といえば最初はタンだよなやっぱり
夏樹,わかる。まずタンを食べてから他の肉で行くよな
乃々,ハムハム……こうなったら食べるんですけど……
夏樹,レモン汁でさっぱり食べられるし、個人的にはタレでも行けると思うぜ
P,個人的にはおろしポン酢タレみたいなのがあればそれだけで行ける
乃々,あ、すいません。次はカルビでお願いします
P,ほうほう、森久保は脂物から行く派だったか
夏樹,アタシもやっぱり焼肉って言えば肉だしカルビかロースだな。プロデューサーは違うのか？
P,歳を取ってくるとだんだん脂身がきつくなってきてな……俺は赤身系の塩でさっぱり食べる方が多い
森久保,あ、すいません。次は鶏肉ください。塩で
P,……思ったよりよく食うね。まあいいけど
夏樹,焼肉屋で牛肉以外も結構旨いんだよな。アタシはそうでもないが鳥皮とか好きな奴が知り合いにいたぜ
P,カリッカリになるまで焼いて脂を落とした鳥皮は結構好きだぞ。タレと搦めてもいいし、ごはんや酒のつまみにもなる
乃々,豚バラもいいと思うんですけど……あとキャベツとか
P,豚バラなー、しっかり焼いて脂落とせばまあ好きだ。キャベツは軽く焦げ目をつけてタレで食うのが好きだな
夏樹,さて、そろそろホルモンも行かないか、プロデューサー？
乃々,ここは定番のハラミですね、はい
P,ハラミはしっかり火が通るまでが長いがきちんと焼くとしっかりした歯ごたえで美味しいんだよな
夏樹,あとはやっぱり胃になるミノかな
P,牛には胃が4つあるって言うけど厳密な胃ってのは第4番目の胃だけらしいな。この前雫から教えてもらった
乃々,あとはちゃんと栄養も考えてレバーもいただきます
夏樹,レバーなー、好き嫌いしちゃいけないんだけど苦手なんだよな、どうも
P,きちんと下処理や臭み取りしてあるレバーは美味しいんだけどな
乃々,とはいえ栄養が豊富ですから食べるのをおすすめするんですけど
P,さて、肉ばっかりじゃなくて焼肉と言えばやっぱりこれだよな。バターコーン
夏樹,ホイルだったらイカや海老もいいよな
乃々,ピーマンや玉ねぎも捨てがたいんですけど
P,ふう……なんだかんだでだいぶ食べた気がする。そろそろいいか？
夏樹,なんだかんだで一番食べたの乃々じゃないか？キムチとかまで食べてたし
乃々,もうお腹いっぱいなんですけど……満足なんですけど
P,じゃ、会計してと。俺は森久保を送っていくけど夏樹はどうすんだ？
夏樹,アタシはバイクで帰るよ。じゃあな、プロデューサーさん、ごちそうさま
P,さて、今日も今日とて森久保にいっぱい飯を食わせようと思う
乃々,あうう……まさかオフの日にまで来るとは思わなかったんですけど
P,今日はせっかくだから美味しいお米を用意してもらったので美味しく食べようと思う
肇,ちょうど早田の新米が収穫できたので実家から送ってもらいました。せっかくなのでプロデューサーにおすそ分けと思ったら
乃々,ああ、もう新米の時期なんですね……早いものです
P,そんなわけで先ほど炊かせてもらった。やっぱり新米はいいな、研いでてもツヤが違う
肇,炊きたてのご飯、おいしいそうですね
乃々,この銀色に光る米、まさに銀シャリなんですけど
P,さて、どうやって食べるかな。シンプルに卵かけご飯にして食べるのも悪くなさそうだが
肇,せっかくですので今日は釣ってきた魚を食べようかと思って釣ってきました
乃々,東京湾って汚いイメージがあるんですけどこの魚は綺麗です
P,まあ東京湾って世界でも屈指の魚がいっぱい住んでる海でもあるしな。そこに居ついてる奴だと汚いのは事実だが
肇,幸い今日連れたシーバスは綺麗な銀色だったのですぐ神経締めして血抜きしてきました。このまま刺身で食べられます
P,きちんと神経締めできるなんて偉いなあ。俺は苦手だから活け締めしかしたことねえや
肇,今はそういう道具もあるから便利ですよ。私も横着ですがそうさせてもらっています
乃々,よくわからないですけどそういえばどうして生きたまま持って帰らないんです？
P,一度に大量に大きな水槽にぶち込むならともかく、個人で釣ってクーラーボックス程度で持ち替えるのだと魚が暴れて逆に不味くなるんだ
肇,だったら素早く締めて血を抜いて持ち帰ってからきちんと処理して食べた方が結果として美味しくなるんです
乃々,なるほど……それでさっきからプロデューサーと肇さんがせっせと捌いてるんですね
P,これだけ新鮮なら洗いで十分だろうが、やはりいろいろ楽しみたいから漬け丼も作るか
肇,これは新鮮でいいシーバスでしたけど臭う奴とかでしたら漬けにしてもいいかもしれませんね
乃々,既に漬け用のタレが冷蔵庫にあるんですけど、手際良すぎませんか
P,ああ、この事務所七海とかも釣りでよく持ってくるから漬けタレは常備してあるんだ。ついでにその茶碗は肇謹製だしな
乃々,よく見たら冷蔵庫に叉焼があったりバウムクーヘンがあったり、イチゴパスタがあったりカオスなんですけど……
肇,漬け丼はシンプルですが臭みも消せるのでいいですよね。私はタレにあらかじめすりごまを混ぜてゴマの風味を利かせるのもいいです
P,まあこれは一晩寝かせて明日ゆっくり皆で食うとしよう。とりあえずはこの刺身だな
乃々,ハムハム……柔らかくておいしいです
P,やっぱりきちんと締めた奴は違うな。俺が昔釣った頃はこんな柔らかいの持ち帰るのは無理だったぞ
肇,神経締めですと死後硬直がより遅れるので一番いいとされてます。今回のは特に大当たりだったようです
P,やっぱり今度釣りロケ企画してみるか。七海と一緒でアングラーだな。初回はみくでもゲストにして
乃々,ああ……またみくさんが騙されたにゃと怒るのが容易に想像できます……けど森久保は無力ですのでこのまま黙っています
芳乃,そなたー、そなたー
P,なんだ、芳乃。そんなもの欲しそうな顔で
芳乃,聞いたところによると乃々殿と色んなものを食べ回っているとか。わたくしも一緒に行きたいのですー
P,なんだ、芳乃も行きたいのか。この前は魚を食べたし、その前は肉だし今度は何がいいかね？
芳乃,最近事務所の近くに新しいラーメンとやらを食べたいのでしてー
乃々,ああ、そういえば最近できましたね。なんだか芳乃さんからラーメンという単語を聞くのが意外ですけど……
P,ふむ、それなら今から行くか。この時間なら空いてるだろ
乃々,じゃあ行きましょうかですけど
芳乃,いつの間にか一緒になるの前提になっておりますー
乃々,はっ……これは身体が勝手になんですけど……
P,所謂家系ラーメンだったかー、このラーメンは
芳乃,家系ラーメンとはなんでしてー？
乃々,元々は横浜の吉村屋というラーメン屋が始めたラーメンですけど……
P,そのスタイルを踏襲したラーメンを吉村屋から取って家系ラーメンと呼んでるんだ
芳乃,ほー……そういえば最初に麺の好みを聞かれましたー
P,まあ最初は全部普通でいいと思う。俺は油がきついのでいつも油は少なめにしてるけど
乃々,豚骨醤油ベースで太い麺、そして他のラーメンと違うといえばライスを食べるのも前提なのが多いことでしょうか
P,まあラーメンライス自体は別に昔からある定番だったと思うけどな。一緒に食べるようにスープ作ってるのは家系の特徴でもあるが
芳乃,ほー、それはそれは楽しみでしてー
乃々,個人的には海苔をスープに絡めながらライスを食べるのがお気に入りですけど
P,最後に残ったスープと叉焼をライスに混ぜてかっ喰らうのも品はないが俺は好きだぞ
芳乃,とりあえず食べるのでしてー
P,餃子もある店とかあるよな。餃子と最後に一緒に食べるのもまた……
乃々,ほうれん草もお気に入りなんですけど
芳乃,そなたー、ご飯おかわりでしてー
P,それ俺じゃなくて店員さんに言ってよ
乃々,あ、ラーメン大盛りでお願いします
P,焼肉屋でも思ったけど森久保意外と食うね……？
芳乃,叉焼とご飯がおいしいのでしてー
ちひろ,で、結局乃々ちゃんはしっかり食べてたんですか？
P,はい、しっかり俺以上に食べてたと思います
乃々,おかげさまでおいしい思いをしたんですけど……
P,夏樹や肇、芳乃も結構食べてた気がするんですけど、何故か俺だけ太ったんだよなあ……
ちひろ,ほら、なんだかんだで皆レッスンして動いてますから
P,あんだけ食って太らないとか普段どんだけきついレッスンしてるんだよ、お前ら
マストレ,なんなら一緒にやってみるか？太ったそうじゃないか、プロデューサー
P,え、あの……
マストレ,何、遠慮するな。一カ月で理想のムキムキボディに仕立て上げよう
P,あーれー……の、乃々！助けて！
ちひろ,行ってしまいました……いいんですか、助けてあげなくて？
乃々,少しは痩せてもらう方が幸せだと思うんですけど……
