毛利克人,４４
ナレーション,1995年――
テロップ,アイドルグループMAPYマッピィ
中内雅彦,リーダー
ナレーション,翌1996年――
スポーツ紙,毛利克人２２
毛利,本当に8年間、MAPYでやってこれたのは……。ファンのおかげだと思います――
ナレーション,2017年――
テロップ,毛利克人４３
スポーツ紙,元MAPY・毛利克人４３
テロップ,毛利明子克人の妻
毛利,医者は、俺はオートレーサーとして再起不能だと言った。だが、俺は必ずレースに復帰し……
明子,もうやめて！！！オートレースなんて、もうこりごりよ！！！
毛利,くっ……。俺は必ず……、オートレーサーとして復帰を果たすんだ……
ナレーション,2018年――
テロップ,毛利克人４４
毛利,誰が何と言おうと……、俺は諦めないぞ！！
喪黒,毛利克人さん……、ですね！？
毛利,い、今の俺は……。あなたの相手をしている場合じゃないんです！！何しろ俺は……
喪黒,私なら、あなたの身体を元通りにできるんですがねぇ……
毛利,えっ！？い、今何とおっしゃったんですか！？
喪黒,事故で傷ついたあなたの身体、私なら治せますよ
毛利,じょ……、冗談ですよね！？
喪黒,私は本気です。私ならあなたを治せます
毛利,あ、あなた……。もしかして医者なんですか！？
喪黒,私は医者ではないですが……。まあ、一応こういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
毛利,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
毛利,セールスマンだって……！？まさか、俺が弱っていることに付け込んで……
喪黒,そうではありません。私なら、もう一度、毛利さんを五体満足な肉体にできると言っているのですよ！
毛利,そ、その話は本当なんですか！？
喪黒,本当ですよ
毛利,い、一体どんなリハビリ方法で俺の肉体の全快は可能なんですか！？
喪黒,リハビリというよりはむしろ……。特殊なやり方による治療法と言った方がいいでしょう……
毛利,じゃあ、その治療法とやらに俺は賭けてみますよ！！それで俺の肉体が元通りになるのなら本望ですから！！
喪黒,どうも……。とはいえ、あなたの肉体を治す代わりに……。私とある約束をしていただきたいのですよ
毛利,ええ、守れますよ！！一体、どんな約束なんですか！？
喪黒,それは、あなたの肉体が治ってから言いますから……
毛利,いいでしょう！！俺の肉体が元通りになるためなら、どんな言うことでも聞きますよ！！
喪黒,分かりました……。では、毛利さん……。私の手をよーく見ててください……。ドーーーーーーーーーーーン！！！
毛利,ギャアアアアアアアアア！！！。くっ……。いきなり何をするんだ……。病人に向かって……
喪黒,おや、毛利さん。あなた、杖を持っていませんねぇ
毛利,えっ……！？言われてみれば、そうだ……！！
喪黒,いつものような、両足への鈍い痛みやしびれもなくなっているでしょう
毛利,そういえば、今の俺は……！！
喪黒,さあ……、歩いてみなさい！！毛利さん！！
毛利,歩ける……！！俺は……！！杖なしで……、歩けるんだ！！
喪黒,今のあなたは、走ることも可能ですよ。さあ、走ってみなさい！！
毛利,おおっ……、走れる……！！
喪黒,その調子ですよ、毛利さん！！
毛利,自分の足で走ることが……、こんなに気持ち良かったなんて！！。まるで魔法のようです！！信じられません！！
喪黒,いえいえ、これは現実ですよ
毛利,あ……、ありがとうございます！！喪黒さん！！このご恩は、一生忘れません！！
喪黒,いやぁ……。私はあくまでも、ボランティアとしてやったまでですから……
毛利,あなたと出会っていなかったら……。俺は……！！俺は……！！
喪黒,そうそう、あなたには私との約束がありましたなぁ。肉体を治す代わりの……
毛利,ええ、承知していますよ。一体、どんな約束なんですか！？
喪黒,肉体を元のように治す代わりに……。毛利さんはオートレースの世界からきっぱり身を引く……
毛利,何ですって！？
喪黒,つまり、毛利さんはオートレーサーを引退するのですよ！
毛利,そんな……！！あまりにもひどすぎる……！！少年時代のころからオートレースに憧れてきた俺にとっては……
喪黒,毛利さん……。オートレーサーをやめるのと……、事故で身体に重い後遺症を負うのと……
毛利,ぐっ……！！
喪黒,毛利さんがまたオートレースの世界に関わって、万一事故でも起こしたならば……。それは……
毛利,言われてみれば、そうですよねぇ……
喪黒,あなたがオートレースの事故で命を落としたら……、奥様も息子さんも悲しい思いをしますよ！
毛利,ごもっともです……
喪黒,元に戻った肉体を大切にするために、危険なオートレースの世界とは2度と関わらないでください
毛利,わ、分かりました……。喪黒さん
スポーツ紙,元MAPY・毛利４４
毛利,ハァッ、ハァッ、ハァッ、ハァッ
スポーツ紙,高校野球の入場行進曲MAPYの頑張りキッズ採用
毛利,俺はオートレーサーになりたい
木野,ハハハ。まぁた、いつものお前の癖が始まったよ
毛利,いや、今の俺は至って本気だ
中内,じゃあ、お前……。芸能界を辞めるというのか！？
