鷺沢文香,突然ですが、この文芸部、問題が生じました
二宮飛鳥,ほんと、突然だね
文香,なんと・・・
飛鳥,なんと？
文香,部費が底をつきました
飛鳥,そっか。待ってくれ、文香さん
文香,はい
飛鳥,今仕事中のメンバーを入れて４人しかいない上に、勝手に名乗っている文芸部に部費が出ていたのかい？
文香,文芸部･･･ですから
飛鳥,文芸部は別に万能言語じゃないからね
文香,・・・
飛鳥,ちなみに、文芸部の予算って何に使っていたんだい？事務所の僻地にある不便極まりない会議室の使用料を実は払っていたとか？
文香,ここは実効支配してるので問題ありません
飛鳥,不法占拠とも言うね
文香,その理由とは
飛鳥,理由とは
文香,私の間食の費用です。詳しく言えば昨日頼んだケンタッキーのデリバリーです
飛鳥,わりとがっつり食べたんだね
文香,仕事の後に茜さんに自主トレに誘われまして、その我慢できず
飛鳥,よく無事だったね
文香,他には別の日ですが、ラーメン、そば、ピザ、お寿司
飛鳥,文香さんの胸が明らかにプロフィールよりも２０ｃｍくらい大きくなった気がしたのはそれが原因か
文香,お腹や顔にはあんまりつかないんですよね・・・
飛鳥,まぁそれだけデリバリー頼んでいたら、部費も尽きるだろう？
文香,忙しさ、忙しさが悪いんです
飛鳥,というか、こう言うのもあれだけど文香さんはかなり稼いでいるだろう？わざわざ部費なんか使わなくても
文香,わかっていませんね・・・部費という半ば公的なお金で食べるからこそより美味しく食べることが出来ます
飛鳥,どっちかと言うと罪悪感を感じてほしいけど
文香,プロデューサーさんや、ありすちゃんの呼びかけにまったく気づかなかったのが続いたせいか麻痺してる気がします
飛鳥,んー、じゃあ他人のお金とはちょっと違うけど、事務所の食堂でいいじゃないか。文香さんはVIP待遇で全メニュー無料だろう？
文香,確かに食堂のメニューは美味しいです。ボリュームも問題ありませんが、問題があります
飛鳥,ちなみに金銭を払うという大事さを学ばせるために高校生以下は、好きなメニューを頼む場合は有料だったりするよ
文香,ヘルシー！健康的！爽やか！
飛鳥,・・・あぁ、ジャンクフードとまではいかないけど、ちょっとは身体に悪そうなものを食べたいんだ
文香,そうなんです。あと、不健康イメージがあるのか、それとなくとても身体に良いメニューを勧められることが多いです
飛鳥,一応ジャンクフードを食べたい、ストレス対策ってことで、天かす丼とか、スパムにぎりとかもあるけど
文香,それとなく、遠ざけられますね。まぁ私はその２つは苦手なので別に良いのですが
飛鳥,変なところで贅沢なこだわりを見せるね
文香,ということで、私の要求を満たすためにどうにかして部費を確保する必要があります
飛鳥,これもある意味労働と対価な気がするけど、黙っておこうか
文香,・・・あ。部費は別に事務所からもらうだけに拘らなくてもいいのでは
飛鳥,と言うと？
文香,部員からも徴収しましょう。私も自腹を払いますが、部費というフィルターを通すと、何か満足します
飛鳥,文香さんらしからぬ語彙力の低下を味わったよ。貴重な経験だね。じゃあ今はこれで
文香,・・・罪悪感がすごくて受け取れません
飛鳥,ボクが言うのもあれだけど、文香さんってこんなに面倒くさい人だったんだね
文香,私欲のために年下からお金を回収とか、パワハラとカツアゲの二重苦じゃないですか
飛鳥,変なところで良心の呵責を感じないでほしいんだけど
文香,とにかく飛鳥さんからは受け取れませんね・・・
飛鳥,ふむ、でもそうなると部員からの予算の徴収は不可能じゃないかな
文香,・・・飛鳥さん、ありすちゃん、乃々さん。・・・見事に全員年下です
飛鳥,年上なら良心が傷まなかったのだろうか、面倒なことになりそうだから言わないけど
文香,仕方ありません
飛鳥,間食の我慢かい？それとも自腹かな？もしくは食堂かい？
文香,部室に備蓄してあるご○盛りを食べることにしましょう。あ、飛鳥さんも召し上がりますか？
飛鳥,・・・
文香,スマートフォンで写真なんて撮って一体何を
飛鳥,文香さん事務所の僻地でサバイバルツイートっと
文香,フミッ！？
