的場梨沙,お邪魔しまーす
P,おう。いらっしゃーい
梨沙,…ふーん。結構きれいにしてるのね
Ｐ,まぁ、最低限なー
梨沙,荷物、どこ置けばいい？
Ｐ,何もしねーよ
梨沙,男の人の何もしないは信じちゃダメだって、パパが言ってたわ
Ｐ,…まぁ、一日だけだしなぁ
梨沙,否定しないのね…
Ｐ,そういやこの家に引っ越してから、梨沙が俺のところに遊びに来るのは初めてか
梨沙,……。朝はパパたちと食べてきたわ
Ｐ,…あ。居間のテーブルは好きに座ってくれ。無駄に５つも椅子があるからな
梨沙,ていうか、棚の中…カップ麺や缶詰ばかりじゃない。普段の生活が目に浮かぶようだわ
Ｐ,…えっ。…り、梨沙って料理できたっけ？
梨沙,できるようになったのよ！パパのお嫁さんになるには料理くらいできないとね
Ｐ,あー…。的場さんの…。花嫁修業ってところか
梨沙,そう！今日の料理もパパに食べさせる前の練習の一環だから！勘違いしないでよね！
Ｐ,わかってる。わかってる
梨沙,……なんでそんなに嬉しそうなのよ！。…今日は二人の結婚記念日だからね。たまにはママにもパパを貸してあげないと
Ｐ,お、おう…
梨沙,なに？
Ｐ,何でもないぞ。ただ、普段ママさんも気が気じゃないだろうなぁと
梨沙,普通に仲良くやってるわよ？。何よそれ。ふつう逆じゃない？
Ｐ,あー。逆かー…。へ？勘違いって…？
梨沙,…！う、うるさい！ロリコン！ヘンタイ！
Ｐ,ええ…。解せぬ…。おお…。お昼にホットケーキ３枚重ねか。美味そうだけど
梨沙,パンケーキよ。アイスと蜂蜜かけるから、まだお預けっ！
Ｐ,わん！…ってか、冷凍庫もちゃんとチェックしてるのな。手際も良かったし
梨沙,まーねっ。これはよく作るから
Ｐ,けど多くね？フライパンサイズ３枚重ね…
梨沙,二人で切り分けて食べるのよ。普通じゃない？
Ｐ,あ、なる。それなら問題なさそうだ。…いや多いけど
梨沙,晩御飯はちゃんと家庭料理に挑戦するから安心しなさい。…その時は一緒に買いに行くわよ。それも将来の練習になるし！
Ｐ,おー。勉強熱心だなぁ
梨沙,はい完成！喜び、むせび泣きながら食べなさい！。ん…崩れそう。上手く切れな…
Ｐ,あー。そのナイフちょっと切れ味悪いんだ。もうちょっとこう角度を水平に…
梨沙,！！
Ｐ,…ん？どした？
梨沙,べ、別にっ！
Ｐ,こうやって力を均等に…よし。きれいに切れた
梨沙,……
Ｐ,なんだ急に大人しくな
梨沙,っ！
Ｐ,肘打ちっ！？
梨沙,もう終わったんだから離れなさいっ！いつまでも背中にまとわりつかないでっ！
Ｐ,お…おう。すまんかった…。いえすまむ！
梨沙,マムじゃない！
Ｐ,……てか、今日はもしかして俺のこと心配して
梨沙,あーあーあーあーあーっ！ヘンタイの声で耳が痒いっ！
Ｐ,……罵倒が心にくるわぁ
梨沙,フーッ！フーッ！
Ｐ,どうどう…。美味かったよ～。あらためてごちそうさま～
梨沙,そう
Ｐ,…………。食器くらい俺が洗うぞ～？。ぶひぃ
梨沙,…………
Ｐ,…………
梨沙,はい。おしまい
Ｐ,おつかれ～
梨沙,少しのんびりしたら近所のスーパーに行くわよ
Ｐ,うい～。でもコンビニの方が近いぞ？ブキィッ！？
梨沙,経済的じゃないでしょ！。それにスーパーの方が…夫婦っぽいし…
Ｐ,ん？いや…それはともかく…なんで俺の尻に座ったん？
梨沙,アンタが寝そべってソファ占拠してるからでしょ
Ｐ,えええ…。自分が寝転がっとけゆーたやん…
梨沙,うるさい。ロリコンにはご褒美でしょ？
Ｐ,まあな
梨沙,即答っ！？
Ｐ,職場で担当アイドルのヒールに踏まれるのも悪くないが、ローティーンの尻にしかれるのも
