藤居朋,ふぅ……、今日のレッスンもハードだったわね～
白菊ほたる,最近ではイベントへの出演なども増えていますからね……。でも、忙しいことは良いことだと思います
緒方智絵里,うんっ、ほたるちゃんは、大ケガで引退する前にお金をたくさん稼がないとだもんねっ
朋,アイドルを金儲けの手段として考えるのやめよう？
ほたる,朋さんの胃のために、智絵里さんも早く辞めた方がいいのでは……？
朋,ほたるちゃん。引退かー……、あたしはふたりより早くそうなるのかなー……？
ほたる,私たち3人は、アイドルになった時や場所は違っても、辞める時は同じですよ
朋,桃園で誓った覚えはまるでないからね？
智絵里,朋さんは引退しても、ずっと私たちのアイドルですよ？
朋,もう完全に目線がファンよね。……嬉しいけど
ほたる,いつかは来るものですが、考えても仕方ありません。目の前のお仕事を頑張りましょう
朋,考えが1番オトナ……
智絵里,ちなみにほたるちゃんの次のお仕事は？
ほたる,火葬場のイメージガールです
朋,えっぐい！！！。ま、まあ、暗い話はナシよね！
智絵里,そうですねっ。明日のオフの話をしましょう！
朋,そうそう、明日って、予定は空けてあるけど、結局どこに……
智絵里,ふふふ……
ほたる,ふふふ……
朋,あまり言いたくないけど嫌な予感すごいわ
智絵里,楽しみにしていてくださいね
朋,平和に1日が終わることを楽しみにしておくね？
ほたる,では、私たちはこれで……。お疲れ様でした
智絵里,お疲れ様でしたっ
朋,……。……不安だ。で、でも、明日ってことは、多分あたしの……だし、そういうことよね？。……うん、流石にあのふたりにも常識は多分恐らくきっともしかしたらあるだろうし……
神谷奈緒,疑いすぎだろ
朋,わあ！？な、奈緒ちゃん！
本田未央,ともとも、すっかり用心深くなっちゃって～
朋,み、未央ちゃんも……
未央,ちえりんとほたるん、明日のために色々考えてたみたいなんだからさ？
朋,……そうなんだ
奈緒,そうそう、素直に楽しみにしとけばいいんだって
朋,……うん
未央,それでよし！
朋,でも、例えば凛ちゃんと卯月ちゃんが未央ちゃんを祝おうと策を練ってたら、ちょっと怖くない？
未央,……
朋,……
奈緒,……
未央,……お疲れっ！！！
朋＆奈緒,逃げた！！！！！
朋,ん～～～、いい天気！。気持ちがいいわね！……あ、メッセージいっぱい届いてる！。昨日は日付が変わる前に寝ちゃったから……、どれどれ……。1番早かったのは……あ、やっぱり智絵里ちゃんだ。……あれ？ほたるちゃんから来てない……？。ほたるちゃんも早く寝ちゃったのかな？まあいっか、智絵里ちゃんのメッセージは……。ふふっ……。ありがと、智絵里ちゃん。ほたるちゃん……。ほたるちゃん！！！。緒方ァ！！！！！。はっ！朝からなんで叫んでるのよあたしは！。とりあえず、いつもの占いは……。あ、ちょうどね！……あれ、こんな口調だったっけ？。おお！やったわ！。すでにこの結果が忘れられないインパクトだけど！？！？。あんたも誕生日でしょ！！！！！。びっくりした！このコーナー、別に奏ちゃんのとかじゃないのに……！。ほたるちゃん……。もうスマホ爆発してるもんね……遅いわよ……。あたしに言ってるよね？。ある意味人気が出そうなコーナーではあるけど……。……。……。……。プロだ！！！。……さて、準備も終わったし、あとは2人を待つだけね。お昼前だから、まずはご飯かな？楽しみだわ……！。あ！噂をすれば……。って、違ったわね。はいはーい。はいっ、これで大丈夫ですか？。お疲れ様でーす。えっと……なんだろ？とりあえず開けて……。うわぁ！？！？。もー！ビックリ箱！？ってか朝からビックリしすぎじゃないのあたし！。あれ？箱の中に……手紙？。はい？。1文で犯人がわかる。その言い回しを使うためだけにほたるちゃんを殺さないで。地図……？あ、ホントだ、入ってるわね。……。てっきり迎えに来るのかなーって思ってたけど、こう来るとは思わなかったわ……！。追伸多くない？。未央ちゃんナイス！！！！！。書き方変えてるけどそれも追伸だからね！？。ピンクチェックスクールは関係ないでしょ！？。なんで草を生やしてるの！！！。誰のせいだと思ってるのよ！！！。えっと……、この辺だと思うんだけど……。！？。い、いつの間に後ろに……！？。命令がコミカルね！？ってか普通に智絵里ちゃんの声じゃないの！！！
智絵里,ふふっ、こんにちは
朋,もー、朝から振り回されっぱなしよ……
智絵里,追伸
朋,目の前なのに！？
智絵里,お誕生日、おめでとうございますっ！
ほたる,おめでとうございます！
朋,あ、ほたるちゃんも。ま、まあ、ありがとね。いつになっても祝ってもらえるのは嬉しいわ
ほたる,ちなみに当初は振り向いた瞬間にクラッカーを10連発してフラッシュモブが勃発する予定でしたが、奈緒さんに止められてしまいました
朋,奈緒ちゃんナイス！！！！！。えっと、それで、どこへ行くの？
智絵里,はいっ、こちらのお店でランチです！
朋,こちら……って、え！？ここ！？た、確か、フレンチのすごい人気店じゃないの！？
智絵里,はい、偶然、無料招待券が3人分あるんです
朋,す、すごい……！でも、どうやって……？ま、まさか悪いことしたんじゃ
智絵里,し、してませんよっ。そんなことするように見えますか？
朋,うん
智絵里,即答
朋,まあ冗談だけど……
ほたる,実は、私、ここで食事をしたことがあるんです。出演したテレビで特集されてて、その縁で
朋,あ、そうなのね
ほたる,その時に、運悪く、スープに虫が入ってたんです……
朋,え！
ほたる,ヘラクレスオオカブトが
朋,どの過程で！？相場はハエとかじゃないの！？
ほたる,そのお詫びとして、招待券をいただいたんですよ
朋,不幸を使いこなしてる……
智絵里,では、早速入りましょうか
朋,ち、ちょっと緊張するわね、マナーとか
ほたる,大丈夫ですよ、店員さんに睨まれても、死ぬわけではありませんし
朋,ほたるちゃん、トラブルを全部そのメンタルで乗り切ってるの？
智絵里,ナイフ両手持ちはマナー違反でしたっけ？
朋,シザーハンズかな。……えっと、と、とりあえず、待ってればいいのかな？
智絵里,はい、コースですから
ほたる,フォークやナイフは外側から使うのがマナーのようですよ
朋,なんでこんなに落ち着いてるの……？
智絵里,ふぅ……、マスター、いつものっ！
朋,ダメだ智絵里ちゃんもちょっとテンパってる！。あ、スープが運ばれてきたわね
智絵里,美味しそうですね……！
朋,じゃ、いただきましょっか？
智絵里,はいっ
ほたる,あ！
朋,え？ど、どうかした？
ほたる,オオクワガタが入ってます……
朋,だからどの過程で入るのよ！！！！！
ほたる,持って帰って10000ベルで売らなきゃ……
朋,なんでどうぶつの森基準で値段が決まるの！？。ああっ、注目されてる……！
智絵里,1曲歌いますか？
朋,それで何が解決するの！？
ほたる,まあ、事を荒げるのもイヤですから、お手洗いに行くふりをして逃がしてきますね
朋,つ、強い……
智絵里,来るたび虫を入れて店員さんに見せれば、ずっとタダで食べれますねっ
朋,智絵里ちゃん。お、美味しかった……！
智絵里,想像以上でしたね……！
ほたる,また、腕を上げましたね
朋,ほたるちゃんは誰なの？
智絵里,じゃあ……
ほたる,……
朋,？
智絵里＆ほたる,ヘイ！
朋,わ！な、なに？。え！？も、もしかして、ふたりが……！？
智絵里,もちろんですっ
ほたる,びっくりしましたか……？
朋,もちろんよ！わぁ……美味しそう……！。これは流石にお金を払ってるとは思うけど、そこは聞くだけ野暮よね
智絵里,20000円です
朋,智絵里ちゃん。あ～、幸せ！
智絵里,喜んでもらえてよかったですっ
ほたる,準備した甲斐がありましたね
朋,びっくりしちゃったわよ～
智絵里,では、ここで……
朋,？
智絵里,はいっ！
ほたる,私たちからのプレゼントです！
朋,え！いいの！？ありがと～！
智絵里,本当は、2人でどっちが良いプレゼントをあげられるか勝負するつもりだったんですけど
朋,え
ほたる,私が"人生"智絵里さんが"命"を挙げたところでありすちゃんに止められてしまいました
朋,ありすちゃんナイス！！！！！
智絵里,冗談でしたけどね？
朋,そう聞こえないから止められたのよ
智絵里,それで、一緒に贈ろうかってなって……
朋,うんうん
ほたる,ネックレスかイヤリングかですっごく悩んで……
朋,うんうん
智絵里,メリケンサックになりました
朋,バカなの！？
ほたる,もちろんウソで、本当は……
智絵里,開けてみてくださいっ
朋,ちょっと怖いけど……。！。これは……、口紅？
智絵里,スティックのりじゃないですよ
朋,このタイミングでスティックのり渡してきたら流石におかしいでしょ
ほたる,朋さんは、大人の女性ですから。お洒落なものをと思って
智絵里,でも、優しさも忘れないような、そんな、淡くピンクのかかった口紅です
ほたる,売り場で、智絵里さんと、話していたんです。……って
智絵里,楽しかったよねっ
ほたる,はいっ
朋,……
智絵里,ぜひ、使ってくださいねっ
朋,うん……。大事に……するね、絶対に
智絵里,ふふっ、柄でもなく、いい雰囲気にしちゃいましたね
朋,いやいや、別にいいでしょ
ほたる,ここらで1つくらい笑いを取らなきゃ……
朋,なんでちょっと追い詰められてるの
智絵里,あ！ちょうどよくトラックが！
朋,ちょうどよくない！！！
ほたる,骨は拾ってください……！
朋,それ笑えないやつ！！！。この後はどうするの？
智絵里,私たち、買い物や食事はよく行きますけど、アレにまだ、行ってないですよね？
朋,アレ？
ほたる,都議会議員選挙……？
朋,それは今後も一緒に行く予定はないわ
ほたる,パチンコ屋……？
朋,よりによって誕生日に！？
ほたる,火葬場……？
朋,そのネタ引っ張るね！！！
智絵里,ヒントは、カ・ラ・オ・ケ
朋,答え言っちゃった
ほたる,カ・ン・オ・ケ？
朋,ほたるちゃん！！！
智絵里,ほたるちゃんは、カラオケに行ったことないんだよねっ
朋,え！そうなの！？
ほたる,はい、行こうとしたことはあるんですが……
朋,ま、マイクが爆発したとか……？
智絵里,カラオケマシンが爆発したとか？
ほたる,カラオケが入ってるビルが倒壊しました
朋,軽々と予想を超えてくるよね。ねえ、ここ以外になかった？ねえ
智絵里,3人、フリータイムで。PS4で
朋,そういう機種ではなくてね
ほたる,武豊で
朋,それ騎手でしょ。ホントにそういう機種の話だったの！？
智絵里,じゃあ、朋さん、1曲目どうぞっ
朋,ありがとー、じゃあ……これ！
ほたる,ふふっ、定番ですね
智絵里,JAS〇AC的なアレで、描写可能なのは冒頭だけですっ
朋,ええ！？。ふう……、はい、次、どっちが歌う？
智絵里,うーん……何シマムザホルモンにしようかな……
朋,この日本においてその条件ならもう一択でしょ
ほたる,うーん……何ものがかりにしましょう……？
朋,その一択クイズ流行ってるの？いきものがかりしかなくない？
智絵里,うーん……何ライブ！にしようかな……
朋,智絵里ちゃんはちょっと攻めすぎじゃない？
ほたる,じゃあ、加蓮さんの薄荷を……
朋,この流れで泣かせにくるのありえなくない！？
智絵里,じゃあ、無難にアメリカ国歌を……
朋,難おおアリだけど！？！？
