光の勇者,以下、勇者
勇者,……。顔も見たくない、ってのは正直ある。……。地の四天王、本当に頼むぞ。……お前が戻って来たら――。――地獄が始まる
祝福の聖女,以下、聖女
聖女,……ふふっ！。突然居なくなっちゃって……悲しかったけど。でも――帰って、来るんだよね。大地の魔女の……お姉ちゃん。戻って来るの……楽しみだなぁ。お姉ちゃん……闇の魔王さんとは、もう知り合いだから――。――水の四天王さんも紹介したいな！。それで、光の勇者様と、剣の乙女さんと……。……私達の赤ちゃんと、皆で……えへへ///
闇の魔王,以下、魔王
魔王,地の四天王よ……まさか、余をも欺くとは。隠れ潜む間、余の側近として傍に置こうとしていたのだが。計画が露見せぬ様、念には念を……という訳か。ふっ……余は、きっと引き止めてしまっただろうな。……地の四天王よ。――其方は、今何処に居る？。嗚呼、何故……余は、こんなにも苦しい思いをせねばならん。……戻ったら、この苦しみの代償を支払って貰わねば。ふふっ……地の四天王――其方自身で、な
水の四天王,以下、水王
水王,地の四天王は……貴方は、まだ戻らないのね。けれど――待っていてくれ、必ず戻る。貴方がそう言ったらしいと……魔王様にお聞きしましたわ。皆の前では、戻ってこなくても良いと……虚勢を張るのが精一杯。けれど……次に貴方の顔を見た途端、涙が溢れてしまうでしょうね。――早く、戻ってきてくださいな。地の領地の民も、妹君も……祝福してくれますわ。……戻ったら、皆に二人で言いましょうね。私達が――愛し合っている、と
剣の乙女,以下、乙女
乙女,……少し、休むか。お姉様……あんまりよ。恋人である私と、顔も合わせず行ってしまうなんて。……けれど、もし面と向かって言われたら。……私は、無理にでも貴女に着いて行ってしまったでしょうね。……大地の魔女のお姉様。貴女の思惑通り――戻るまで、私が聖女を守るわ。その役目が終わったら……きっと。私達にも――愛の奇跡が起きるわよね
火の四天王,以下、火王
火王,地の四天王……私の、愛しい人。パパは……ママと二人で叱り倒しておいたぞ。――言ってみたかった。……なんて、そんな理由だったんだからな。そもそも……婚約の話も、パパが最初に言い出したのに！。お前は……私を奪いに、単身乗り込んできてくれた。あの時の喜びが、今でも私に力を与えてくれる。……戻ったら皆に……剣の乙女に二人で言おう。地の四天王――大地の魔女は……火の四天王と結婚する、と
風の四天王,以下、風王
風王,……少し薄いけど、その方が良いかな。――お前は、良い嫁になりそうだな！。地の四天王……君は、恐ろしい男だよ。まさか、この僕が……料理の練習をするだなんて、ね。それもこれも……全部、君が悪いんだ。君を逃さないための風の結界に気づいていながら……。僕にあんな言葉をかけた意味が……わからない筈、ないだろ？。ははっ！エプロン姿は……気に入ってくれるかな？。君が戻ったら……誰を犠牲にしてでも、二人で居ようね
勇者,……お前がきっかけで、結ばれた友情もあった。……。それが無ければ、俺と聖女も……ただの仲間のままだった。……ああ、驚いたよ。――勇者様が浮気しても、私は怒りませんよ。――全身の毛穴から血が吹き出し、激痛で発狂しますから。……感謝はしてるさ！ああ、凄くしてる！。だけど……何か……！何かなぁ！？。……だけど、地の四天王。……。お前が戻ってきたら……全部、終わるんだ。……。地の四天王よ。頼むから……帰って来ないでくれ……！。それが……俺の望みだ……！
地の四天王,以下、地王
地王,ええい、何なのだこの島は！。何故、溢れんばかりの聖なる力に包まれている！。おかげで、思念波も全く使えん！。伝説の、妖精達の楽園でもあるまいに！。泳いで離れようとしても、島の反対側についてしまう！。これでは、島から離れることすら出来ぬではないか！！。何が楽園だ、図に乗るな！。まあ、確かに？素晴らしい場所ではあるが？。俺は――。――肉が食いたい！。それに何より――酒が飲みたい！。どちらも無い島でなど、バカンスにならんわ！。……ええい！。魔法で、島を海の底に沈めてやろうか！。そのためには……島の中央に行く必要があるな。あのでかい樹が……恐らく、島の中央か。……何とも見事な。もしもこの島が妖精達の楽園ならば……あれは世界樹か。まあ、だからどうしたという事も無いな！。俺は、一刻も早く酒が飲みたいのだ！。酒よ、待っていろ！。この地の四天王、すぐにでも舞い戻るぞ！
