デレマス側の世界観は、アニメ、A20、U149、WWGをゆるく合わせたようなものとなっています,WWG率多め
きらり,飛び込みセーフー！。あっ！ちょっと前にお掃除したのに杏ちゃんまたこんなに散らかしてるにぃ！
杏,いや、別にいいんだけどさ……
きらり,でもお掃除はあとっ！杏ちゃんテレビ借りるにぃ！！
杏,うん、まあどうぞご自由に
きらり,はー、あと3分で始まるところだった……
杏,録画してるんでしょ？
きらり,うん、してゆよぉ？☆
杏,じゃあいいじゃん……とは思わないな、杏も確かに
きらり,杏ちゃんならわかってくれると思ったにぃ！
杏,それにしても、いくらきらりの家より杏の家のほうが事務所から近いからって、テレビ見るのにきらりがここまで情熱を傾けるとはね
きらり,えへへ……DVDも最初から買ってるし、本放送を見ないと落ち着かなくて
杏,の、割には、番組出てる人に事務所で会ってもがっつり絡みに行かないよね？
きらり,それは……あくまできらりはこの番組のいちファンだから///
杏,わかるようなわからないような……
きらり,始まったにぃ！！
杏,ま、杏も見てみるか
書いた賢い言葉を発表して、隣の人に,正解！
早苗……正解,驚
瑞樹,中二
早苗,ちゃらんぽらん
里奈,バカ
＊両利きのアイドルを出すと革命,強いカードが弱いカードに
杏,バカだなこの番組ｗｗｗｗ
きらり,きらりこれ好きなんだぁー
杏,初めてしっかり見たけどくだらないねー、いやいい意味で
きらり,ほんとにぃー？きらりDVD全部持ってるよぉ？
杏,今度貸してｗｗ
きらり,うんｗｗ
美優,ふぅ……。あら？。……。スマホつけたら電話の履歴画面になってて……たまたま一番上が心さんだったんです。それで。そうなんですか？。はい。あ、たまに見てますあの番組。そうなんですか！？。はい！いまから見ます。はい？。心さん……私がいなかったらどうするつもりだったんですか？。ダメですよ心さんは人気アイドルなんですから……
心,おっす☆酒はあるからなんかおつまみ作って?
美優,もう……
2.,モテそうな芸能人
5巡目,最終解答
3回目で全員の答えを合わせる,最後に合わせまショー
美優,フフフ……ｗｗ
心,どうだったはぁとの勇姿は？
美優,おもしろかったです……あいさんの罰ゲーム、後で角立たなかったんですか？
心,打ち上げで朝まで飲んで、わだかまりなんてゼロだぞ☆
美優,男らしい付き合い方ですね……ｗ
美波,えー、来月海外ロケなんですか？すごいですね
早苗,まあね、あたしの番組での活躍が認められたっていうか～
美波,瑞樹さんの罰ゲームが、じゃないんですかｗ
早苗,美波ちゃん見てるわね？ｗ
アーニャ,海外ロケは……どこに行くんですか？シベリア？
早苗,いや、冬のシベリアなんてそれこそ罰ゲームじゃないんだからｗ……グアムよ！
美波,えーいいなー！
アーニャ,あたたかそうで、いいですね
早苗,心配しなくてもマカダミアナッツ買ってきてあげるわよ！
美波,それハワイのお土産じゃないんですか？ｗ。そろそろ行く？
アーニャ,あ、そうですね
早苗,イベント駅前のお店でやるんだっけ？
美波,そうですね、インストアで
早苗,わざわざありがとうね、意外と距離あるじゃない？ここまで
美波,いえいえ
アーニャ,このあたりでご飯も食べる予定だったので
美波,本当は里奈ちゃんと瑞樹さんにも挨拶したかったんですけどね
早苗,そういえばアイツら遅いわねぇ……
LOVELAIKA,
