・細かいミス等あると思います,なくすように努力はします
未央,みくにゃーん……
みく,……どうしたの？朝から元気ないみたいだにゃ
未央,バトスピで勝てないよー！
みく,にゃっ！？ちょ、いきなり抱きつかないでほしいにゃっ
未央,みりあちゃんにもしぶりんにもしまむーにも、誰にもほとんど勝てない！容赦なさすぎ！。勝てないからデッキを改良しようとしても、ますます弱くなってきてる気がするよー
みく,うーん……まあ、始めたばかりのころは負けて学んでいくものなのにゃ。みんなも、未央チャンに強くなってほしいから、手を抜かずに全力で戦ってくれるんだよ？
未央,みくにゃん……そうだね。でも、この前しぶりんが1ターンで私のデッキを30枚消し飛ばしたのはさすがにひどいと思う
みく,青のデッキ破壊はそんなもんだにゃ。諦めるにゃ。とりあえず、デッキ見せて？
未央,ほい。これが今のデッキだよ
みく,ちょっと借りるね。………。なぁにこれぇ
未央,辛辣っ！？
みく,あ、ごめんつい……でもこれ、色もバラバラだしコストも重いし、まともにまわるとは思えないにゃ
未央,あー、やっぱそうなのかー。いろんなカードの効果を読んで、あれもいいな、これもいいな、と思って。それで片っ端からいろいろ入れたらそんな感じに
みく,確実に改造する前の構築済みデッキのほうが強いと思うにゃ
未央,ですよね。どうしたらいいのかな？
みく,しょうがないにゃあ。今日は特別に、みくがデッキ構築のイロハを教えてあげるにゃ
未央,本当！？ありがとうみくにゃん！
みく,シンデレラプロジェクトのみんなは仲間でありライバル。だから強くなってもらわないと困るにゃ
未央,おー、かっこいいライバルキャラみたいなセリフだ
ちひろ,あら？未央ちゃんとみくちゃん、なにしてるの？
みく,あ、ちひろさん
未央,今、みくにゃんにバトスピのこと教えてもらってるんだ
ちひろ,バトスピ……ああ、最近流行っているカードゲームのこと？アイドルの子達も楽しんでいるみたいだし、私も興味あるかな
未央,じゃあさ、ちひろさんも私と一緒に教わろうよ！
ちひろ,そうねえ……うん、今は少し時間があるから、みく先生にご教授願いましょうか
みく,ご、ご教授って……そう言われるとなんか緊張してくるにゃ。バトスピ未経験のちひろさんもいるから、本当に基本の基本から改めて説明するにゃ
未央,お願いしまーす
ちひろ,お願いします♪
みく,悪くない気分にゃ。バトルスピリッツには、それぞれ特徴を持った6つの属性が存在します。属性は色でわけられています。はい未央チャン、6つ答えて
未央,え、えーっと。赤、白、緑、紫、黄、青、だよね
みく,正解にゃ。これがそれぞれの色のカードね
未央,さすがにそのくらいは覚えてるよ
ちひろ,色によって、結構カードの絵の雰囲気が違うのね
みく,違うのは絵だけじゃないよ。効果も違うにゃ。たとえば、赤属性はパワーを押し出したカードが多くて、バトルを全面に押し出しす色。スピリットはドラゴンが中心。白属性は、守りを固める機械達が中心。緑属性は、コアを増やすのが得意な自然の力が特徴だにゃ。紫属性は、逆に相手のコアを減らすダークな雰囲気。黄属性は、マジック……とかなんとか、いろいろやってるにゃ
未央,なんで黄色だけ曖昧？
みく,一言で説明するのは難しいトリッキーなカードが多いから……最後に青属性。相手のデッキを破壊したり、同じスピリットで何度もアタックを繰り返したりするのが得意な色
ちひろ,いろいろあるのね……ところで、コアってなにかしら
みく,コアっていうのは、この小さな6角形の粒で、バトスピ一番の特徴だよ。スピリットを召喚したり、マジックを使ったり。基本的にコアがたくさんあるだけできることも増えるんだにゃ。スピリットとかの説明はあとでするね。バトスピでは、最初にライフってところにコアを5個置くにゃ。相手の攻撃でどんどん減っていって、ゼロになったら負け
ちひろ,なるほど。つまりコアはとても大事なものってことね
未央,赤属性はコアを全然増やせないからしんどいよ……
みく,じゃあ次に、カードの種類について説明するね。まずはスピリット。相手に攻撃したり、逆に相手の攻撃を防御したり、バトスピでのバトルのメインになるカードだにゃ。たとえば、これ
ちひろ,わあ、かわいい
未央,ブレイドラってなんか人気だけど、どうして？
