高垣楓,戻りました
喜多見柚,お仕事終わったよー
Ｐ,お。二人ともお疲れ
柚,Ｐサンこそー。朝からそこ、座ってない？大丈夫？運動不足で死んじゃうよっ？
Ｐ,お前の中の俺はどれだけ貧弱なイメージなんだ
楓,ふふ。けど、柚ちゃんの言う通りですよ？運動は、うんとー大事です
柚,そうだよねー
Ｐ,そ、そうだな
楓,はい
ちひろ,柚ちゃんさらっとスルーしたわね…。二人ともお疲れさまです
楓,はい
柚,うん！
Ｐ,スケジュールだけ確認しておいてな。そのために事務所に戻って来たんだろ？
柚,むー。Ｐサンってば分かってないなー
Ｐ,頭を叩くな
楓,ふふ。分かってませんねー♪
Ｐ,ぐっ。柚だけならともかく、楓さんにまで…
柚,へへ♪
楓,ふふ
ちひろ,楽しそうだなー
柚,ね。休憩だと思って、ちょっと柚たちとお喋りでもしようよー♪
Ｐ,…そうは言ってもなあ
ちひろ,いいんじゃないですか？ちょっと遅めのお昼ごはんがてら、ということで
柚,おっ。それはいいカモ！アタシもお腹空いてるしー、楓さんもだよね
楓,ええ
ちひろ,少しくらいなら、私は事務所にいますので
Ｐ,…
柚,へへ
楓,ふふ
Ｐ,…。分かりました。ありがとうございます、ちひろさん
ちひろ,いえいえ
柚,わーい
楓,わーい
市原仁奈,でごぜーますよー
Ｐ,一人増えたぞおい
楓,あら、仁奈ちゃん。こんにちは
柚,もふもふー♪
仁奈,はい。お二人とも、お仕事お疲れさまでやがります
Ｐ,…仁奈も行きたいの？
仁奈,そういうことです
Ｐ,仕方ないな
柚,ン？Ｐサンちょっと仁奈ちゃんには甘い気が…
楓,ずるいです
Ｐ,子ども相手になに言ってるんです
仁奈,♪
柚,ＰサンＰサン！アタシは撫でてくれないの？
Ｐ,はいはい
楓,あの、私は…
Ｐ,俺の腕は二本しかないので順番で
ちひろ,あ、そうだ。プロデューサーさん。よかったら、ついでに比奈ちゃんも誘ってあげてくれませんか？
Ｐ,え？ええ、別に構いませんが…
ちひろ,そこそこ
Ｐ,？
荒木比奈,…
