プロデューサー,以下Ｐ
千川ちひろ,以下ちひろ
Ｐ,ちっひ。逆逆
ちひろ,逆でもないんですが
Ｐ,え
ちひろ,まぁどうしてもというなら手はありますよ
Ｐ,ありがとうございます！ありがとうございます！天使！女神！ちひろ！
ちひろ,お助け料１００億モバコインローンも可
Ｐ,鬼！悪魔！ちひろォ！
監督,ッァイ、カーット！！
スタッフ,本日の撮影以上となりまーす。お疲れ様でーす
Ｐ,お疲れ様です
ちひろ,お疲れ様です
アイドル多数,お疲れ様です！！！
Ｐ,ふぅ……
ちひろ,あら、本当にお疲れみたいですね
Ｐ,はい、ちひろさん……って、あっ
ちひろ,ふふふ。もうすっかりプロデューサーさんですね
Ｐ,すみません。つい
ちひろ,アイドル役の子たちみたいに、私も役名で呼んでもらってかまわないんですよ？
Ｐ,いやぁ、元々演技に不慣れな子が役に馴染めるように、と始めた呼び方なんで失礼かなと
ちひろ,でも今では全員役名呼びじゃないですか。むしろ除け者にされてるみたいで傷ついちゃいます
Ｐ,うーん……でも
ちひろ,呼んでくれないとちっひにさせますよ？
Ｐ,えぇ！？
ちひろ,さぁ選んでください！ちひろさんかちっひか！
Ｐ,じゃあ……ちひろさんで
ちひろ,はい！よろしい！
渋谷凛,以下凛
ちひろ,あら凛ちゃん。お疲れ様です
Ｐ,お疲れ様です
ちひろ,凛ちゃんもすっかり凛ちゃんですねぇ
Ｐ,そうですねぇ
凛,えっ、なんの話ですか？
ちひろ,役名で呼ぶって話をしててね
Ｐ,凛もすっかり渋谷凛になったなぁって。最初に会った時なんかふーん。アンタがプロデューサー？
凛,む、昔の話は忘れて下さい！オーディションに受かった素人が浮かれてただけですから！
ちひろ,でもそれを聞いた監督さんが拾って渋谷凛の台詞にしたんですよね
Ｐ,でしたねー。今となってはあれこそが渋谷凛となった訳だし、忘れる事はできないな
凛,うぅ……過去に戻って自分に説教したい……
本田未央,以下未央
凛,未央
未央,役に決まって一人で舞い上がってた調子乗ってたくせにいざ撮影が始まると全然上手くいかなくって監督さんにもスタッフさんにも皆にも迷惑かけまくった挙句自暴自棄になってスタジオ飛び出す時に言った私アイドル辞める！
凛,み、未央……
未央,その節は誠に誠に御迷惑を……
凛,もう良いって！あの時散々謝ってくれたじゃん！
島村卯月,以下卯月
凛,卯月！
卯月,私の何にもない事件の時はここだけじゃなくて事務所の方にも養成所の方にも迷惑をかけましたから……
凛,卯月ぃ……
Ｐ,まぁまぁ。色々あったけど、それが今に繋がってるんだからさ
未央,そうそう！プロデューサー、お疲れ様です！
卯月,お疲れ様です！
Ｐ,はいお疲れ様です
ちひろ,お疲れ様です
凛,えぇぇ……
未央,ほらほらしぶりん。挨拶はしっかりしないと！
卯月,芸能界は挨拶に始まって挨拶に終わるんです！
凛,え？お、お疲れ様です……って、私さっきしたから！
Ｐ,ハハハ。もうすっかり仲良しだな
未央,そりゃあもう！なんたってＮＧニュージェネレーション
凛,それ自分で言う？
ちひろ,それにしても、このドラマも随分規模が大きくなりましたねぇ
Ｐ,そうですね。最初は外伝みたいな感じでスタートしましたから
卯月,最近じゃあドラマの中でやったお仕事から実際にオファーが来ることもありますからね
Ｐ,その度にオレに企業さんから連絡が来るんだよなぁ。そんでもってそれぞれの事務所からもスケジュール送られてくるんだよなぁ
凛,よく撮影の合間に書類と格闘してますもんね
卯月,ただのセットだった事務所の書類がいつの間にか殆ど本物の書類になってます
