サターニャ,とは言ったもののどうすればあいつらに勝てるのかしら……。ガヴリールはともかくラフィエルは強敵ね。そうだ！のり巻きとヌンチャクを入れ替
グラサン,お前達に残念な知らせがある。昨日の放課後、胡桃沢が事故で亡くなった
ガヴリール,えっ
ヴィーネ,嘘……
グラサン,急な出来事で受け入れるには時間がかかると思う。後日詳しい事がわかったら全校集会が開かれる予定だ
ガヴリール,ねえ、ヴィーネ
ヴィーネ,嘘……嘘……
ガヴリール,ヴィーネ……
ラフィエル,さて今日もサターニャさんはおもしろおかしく暴走……もとい悪魔的活動を行っているでしょうか。おかしいですね……今日はサターニャさんレーダーが作動しません。ヴィーネさんのように風邪でお休みでもしたのでしょうか。ひとまずサターニャさんたちの教室へ行きましょうか。なんだかお通夜ムードですね……
ヴィーネ,……
ラフィエル,ヴィーネさんもなんだか元気が無いようです
ガヴリール,……
ラフィエル,ガヴちゃんはいつも通り？いやなんだかヴィーネさんの方をチラチラ確認していますね。サターニャさんは……いらっしゃらないようですね。お2人……というか教室自体がなんだかおもしろさの気配を感じないので一旦教室に戻りましょう。サターニャさんは学校に来ていらっしゃらない様ですし帰りに風邪で寝込んでいるであろうサターニャさんを導……お見舞いに行きましょう。サターニャさーん。反応がありませんね。そんなに寝込んでいるのでしょうか。まあ合鍵があるので問題ありませんね。あまり調子が悪そうならメロンだけ置いて帰りましょう。おじゃましまーす。サターニャさーん、お見舞いに来ましたよー。サターニャさーん？。いない……？。病院……でしょうか。しばらく待ってみましょう。あ、洗い物が溜まっていますね。折角ですし洗っておきましょう。ただ洗うのもつまらないので食器棚の配置を地味に変えておきますかね。お茶碗を一番上の一番奥に。サターニャさんがお茶碗を取るのに苦労する姿……どうなるか楽しみです。結局帰ってきませんでしたね……。まさかサターニャさんの身に何か！？。なんて流石にいくらおもしろおかしくても悪魔ですもんね。図太さはゴキブリをも遥かに凌駕するはずです。入院とか……ですかね。明日ヴィーネさんに聞いたら何かわかるかもしれませんね
ガヴリール,なあヴィーネ……
ヴィーネ,どうしたの？
ガヴリール,あれ？普通に戻ってる
ヴィーネ,うん……あんまり引きずりすぎるのも良くないのかなって。サターニャは暗いのより楽しい方が好きそうだから
ガヴリール,そうだな
ラフィエル,あのー
ヴィーネ,あ、ラフィ
ラフィエル,今日も昨日に引き続きサターニャさんのお姿が見えないようですが……
ヴィーネ,そっか……ラフィはまだ聞いてないんだ……
ラフィエル,？
