※タイムマシンが出来た,タイムマシンが出来たとは言っていない
モバＰ,以下Ｐ
晶葉,あぁ！着想から１週間…ここまで早く出来たのも助手、キミの力添えがあってこそだ
Ｐ,ちひろさんから許可を取るのは骨が折れたが…タイムマシンはSFファンの…いや、人類の夢だからな！
晶葉,その通りだ！早速使ってみたいだろう！？
Ｐ,みたーい！！！！
晶葉,良い気概だ！このマシンは時間移動者が２人必要だ、ということを言っておいたが…
Ｐ,あぁ、大丈夫だ博士！さっきそこに美優さんがいた！
美優,あの…これは一体どういうことでしょうか…？
Ｐ,ちょっとタイムマシン使いたいんで、美優さんお願いします
美優,お願いしますってどういうことですか！？
Ｐ,だいじょぶだいじょぶ、ちょっとだけだから、ちょっとタイムマシン入ってもらうだけだから、ちょっとタイムスリップするだけだから
美優,タイムスリップ！？
晶葉,さぁ助手よ！未来と過去、どちらへ行きたい！
Ｐ,もちろん取り逃した期間限定カードを求めて過去へ！！！！
晶葉,よし！ならば美優は未来へ行ってもらう！
美優,未来へ！？
晶葉,助手はそっちの過去と書いてある部屋の中へ入ってくれ
Ｐ,よっしゃあ！
晶葉,美優はこっちの未来と書かれた部屋へ入ってくれ
美優,ちょ、ちょっと待って晶葉ちゃん、プロデューサーさん…私っ
Ｐ,美優さん早く！！時間が無いんだ！！
美優,いえ、タイムマシンを目の前に言うセリフじゃないと思うんですけど…
晶葉,このマシンは２人共扉に入らなければ意味が無い！
美優,えぇ…
Ｐ,レッツタイムスリップ！！
美優,あぁ！プロデューサーさん！
晶葉,さぁ美優も早く未来へ
美優,えぇ…もう…
晶葉,よし、２人共入ったな…
卯月,おはようございま…ってあれ？なんですかこの大きな２つの部屋…？
凛,なんでこんなものが事務所に…？またプロデューサーが何か変なことしようとしてるの？
晶葉,おぉ２人共良い所に…いや、良い"時"に来たな！
卯月,晶葉ちゃん！おはようございます♪これは…？
晶葉,タイムマシンだ！！
卯月,えぇ！？タイムマシン…これがですか！？
凛,胡散臭い…
卯月,タイムマシンって…２つの部屋があるだけみたいに見えるんですけど…どういう仕組みになってるんですか？
晶葉,うむ！説明しよう！！。まずこっちの未来の部屋には高森藍子、相葉夕美、成宮由愛なるみやゆめ
卯月,えぇ！？
凛,部品扱いなんだ…
晶葉,そしてこっちの過去の部屋には酔った高垣楓、酔った川島瑞樹、酔った姫川友紀、酔った佐藤心、酔った片桐早苗が入れてある！以上だ！！
卯月,ええぇぇ！？
凛,全員酔ってるんだ…
卯月,なんでそれでタイムマシンになるんですか！？
晶葉,それはもう少し時間が経てば分かるさ
凛,分からなさそう…
晶葉,そろそろいいだろう、２人共出てきてくれ！
美優,あ…もういいんですか…？
Ｐ,…………
卯月,プロデューサーさん！？何があったんですか！？
凛,目が死んでる…
晶葉,さぁ、タイムスリップに成功したか確かめてみよう！。２人共、部屋に入ってから何分くらい経ったと思う？
美優,えぇと…５分くらいですか？
Ｐ,……２時間くらい…？
晶葉,うむ！成功だ！
卯月,えっ！？これで成功なんですか…！？
晶葉,うむ、実際部屋には３０分入ってもらっていたのだが、２人の体感時間には115分の差が出ている…つまり、美優は助手よりも115分未来へ！助手は美優より115分過去に行ったことになる！！
卯月,な、なるほど──！！
凛,卯月…ここ納得するところじゃないと思う
晶葉,時間旅行はどうだったかね、美優
美優,えっと…よく分からないですけど…とりあえず楽しい時間でした
晶葉,過去へ来た気分はどうだ、助手よ！
Ｐ,……………。……なんか、思ってたんとちゃう
凛,関西弁になってる…
