渋谷凛,お疲れさ……あれ、誰もいないね
神谷奈緒,へえ、なんか珍しいな
北条加蓮,そうかな？わりとあると思うけど
奈緒,ま、いいや。よいしょ
凛,……
加蓮,凛？
奈緒,どうした？そんなキョロキョロして
凛,机の下……うん、いない
加蓮,乃々ちゃん？輝子ちゃん？
凛,ううん、いないことの確認だから
奈緒,？
加蓮,あー、なるほど。乃々ちゃんね
奈緒,な、なんだよ、あたしだけ置いてけぼりかよ
凛,ごめんごめん。乃々の誕生日が近いって話
奈緒,え？……あ、そっか、もう今週末だったっけ
凛,そうそう。で、2人はプレゼントに何を渡すか、決めた？
加蓮,プレゼント？うーん……、実はまだ決めてないんだよね……
奈緒,あたしもだ……。あれ？パーティーの時に渡すんだよな？
凛,そうだよ。パーティー自体は乃々も知ってるから隠さなくていいんだけど、プレゼントの中身は流石にね
奈緒,みんな、サプライズパーティーなんて乃々の心臓に悪い！って満場一致だったもんな
凛,ふふ、まぁ、そうでなくても乃々は鋭いからね、気がつくよ
加蓮,先にバレてどどどどどんなリアクションをすれば……！みたいになるのも悪いもんね
奈緒,似てないな
凛,ね
加蓮,うるさいってば
奈緒,よ、よし、じゃあ、レッスンの後にプレゼント、買いに行こうか？
凛,うん、それもいいんだけど……
加蓮,何か考えがあるの？
凛,えっと……
奈緒,？
凛,3人で、ケーキ、作らない？
奈緒,け、ケーキ？
加蓮,手作りケーキ……。うん、いいんじゃない？
奈緒,で、でもあたし、お菓子作りなんてやったこと
凛,そのために3人いるんでしょ？
加蓮,そうだよ。レシピ見ながらなら平気だって
奈緒,そ、そうかな……
加蓮,で、凛のことだから、作るケーキも目星をつけてるんでしょ？
凛,うん、もちろん
奈緒,おお、流石だな……
凛,今回作ろうと思うのは、このケーキ！
奈緒,今このフリップどっから出した
凛,ブッシュ・ド・ノエルの語源は、木とか丸太から来てるんだって
加蓮,へえ、そうなんだ
凛,乃々もよく、森をモチーフにした撮影してるでしょ？ピッタリじゃないかな？
奈緒,あれ？でもブッシュ・ド・ノエルって冬のケーキじゃなかったっけ？
加蓮,クリスマスシーズンにはよく見るけど……
凛,逆に、今なら手作りでしか食べれないってことでしょ？もちろん、そんなクリスマスみたいな飾りはつけないし
奈緒,なるほどなー
加蓮,私は乗った♪
凛,ありがと、加蓮
奈緒,あ、あたしも乗るぞ！トライアドの力、見せてやる！
凛,ふふっ、奈緒もありがと。でも、そんな気合いを入れなくてもケーキは作れるよ？
奈緒,い、いいんだよ！こういうのは気持ち！
加蓮,じゃ、決まりね
凛,じゃあ材料は買っておくから、前日の……
奈緒,っておい！もうレッスン始まるぞ！
加蓮,うそ！
凛,ご、ごめん、ゆっくり話しすぎたかな
加蓮,詳しくはまたレッスン後に話そっか
奈緒,ほら！行くぞ！
加蓮,はいはーい
森久保乃々,……
