橘ありす,おはようございます
宮本フレデリカ,おはようございます。本日のニュースを、私、宮本フレデリカがお伝えします
ありす,誰
フレデリカ,もー！“誰”なんてひどいよありすちゃんー！
ありす,あ、口調はいつも通りになるんですね
フレデリカ,今日はフレちゃんが、ニュースをお伝えしちゃうよ！
ありす,ニュースですか……、大丈夫なんですか？
フレデリカ,速報！ウサミン、脱臼！
ありす,トップニュースがそれ！？。な、なんでそんなことになってしまったんですか！？
フレデリカ,調べに対し、ウサミン星人17±n歳
ありす,なぜそんな容疑者みたいな扱いに！？
フレデリカ,※nは任意の整数
ありす,その注釈はいらないでしょう！？
フレデリカ,nを18以上に設定してマイナスを選択すると、オーバーフローして千葉県の経済が潤うよ！
ありす,何の話をしてるんですか！？
フレデリカ,１日も早く治るといいね！
ありす,１日でも多く休ませてあげてください……
フレデリカ,あれ？でも明後日はバンジージャンプのお仕事らしいよ？
ありす,菜々さんに恨みでもあるんですか！？
フレデリカ,無理そうなら代役を立てなきゃねー？何水何子ちゃんがいいかな？
ありす,キャスティングの幅狭さ
フレデリカ,続いてのニュースです！東名高速道路、一時的に通行止めに
ありす,へぇ、事故でもあったんですか？
フレデリカ,関係者への取材によると、謎の女性が“ﾎﾞﾝﾊﾞｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰ!!!!!!!!!!!!!!!!!!!!!!”と叫びながら高速道路をランニングしていたためだって！
ありす,茜さん！！！！！
フレデリカ,警察は危険運転致死傷罪も視野に入れてるみたい！
ありす,致死！？被害者いるんですか！？
フレデリカ,次のニュースです！
ありす,最後まで伝えてくださいよ！！
フレデリカ,クマ出没注意！市街地でも目撃報告あり！だって！怖いねー……
ありす,ああ、最近、よく聞く話題ですね……
フレデリカ,この件について、地方に10回お仕事に行くと20回はクマに遭遇すると話題の白菊ほたるちゃんに対処法を取材したところ
ありす,当たり前のようにダブルヘッダーなの意味わからないんですが
フレデリカ,眉間とのこと
ありす,眉間
フレデリカ,気をつけなきゃね！
ありす,クマに？ほたるさんに？
フレデリカ,事務所は、もしクマに出会ってしまったら、慌てずに中野有香を呼びましょうとコメントしてるよ！
ありす,この事務所はアイドルをなんだと思ってるんですか！？
フレデリカ,ここで天気予報！
ありす,唐突ですね……
フレデリカ,こんにちはー！お天気キャスターフレデリカだよ♪
ありす,あ、全部１人で
フレデリカ,まずはドバイのお天気から！
ありす,そんなの誰が知りたいんですか！？
ライラ,ライラさんですよー
ありす,うわぁ！？！？！？。お、驚かせないでください！
ライラ,これはこれは申し訳ないのでございますねー
フレデリカ,あ、ライラちゃん！今日の天気、何がいい？
ありす,決め方
ライラ,やはりよい天気になってほしいですねー
フレデリカ,雨です無慈悲
ありす,鬼か！！！
ライラ,雨の後には、きっとキレイな虹が見えますですよー
ありす,もうなんか根本的にいい人ですね
フレデリカ,今度アイス食べに行こーね！
ライラ,おー、すばらしきお誘いでございますねー
フレデリカ,もちろんありすちゃんも一緒にね！
ありす,うぇ！？ま、まあいいですけど……。ライラさんとはあまり接点がなかったですから、これを機にお話ししましょうか？
フレデリカ,ライラちゃんなら帰ったよ！
ありす,このタイミングで！？
フレデリカ,続きまして全国のお天気！
ありす,そういえば天気予報の最中でしたね
フレデリカ,最中食べたい！
