校長,卒業おめでとう！人間界での修行も頑張ってくれたまえ！
ハニエル,いよいよ人間界！楽しみだなー！
サラ,人間界……！
ハニエル,ここがガヴお姉ちゃんが通ってた学校か～♪人間界の勉強も頑張るぞ～！。……あれ？あの子は確か、天使学校で見た子だよね？
サラ,……
ハニエル,こんにちわ！
サラ,……誰？
ハニエル,私は天真＝ハニエル＝ホワイト！天使なんだ！あなたも天使だよね？
サラ,……！
ハニエル,？
サラ,私は白羽＝サラエル＝エインズワース……あなた、ガヴリールさんの妹ね？
ハニエル,ガヴお姉ちゃんのこと知ってるの⁉︎というか白羽って、あの白羽家の⁉︎ラフィエルさんの妹さん⁉︎
胡桃沢,おい、お前らうるせーぞ
ハニエル,あっ、ご、ごめんなさい！
サラ,……なんで私まで
胡桃沢,つーかお前ら、さっきから聞いてりゃ人間界だの天使だの大声で話してたけどさ、隠す気ないのかよ？
ハニエル,え⁉︎
サラ,もしかして、あなたも？
胡桃沢,はぁ、俺は胡桃沢……サターニャの弟って言えば、お前らなら分かるか？
ハニエル,えぇ⁉︎サターニャさんの弟さんなの⁉︎
サラ,……悪魔！
胡桃沢,いやいや、そんな睨むなよ白羽
サラ,悪魔と会話するつもりはない
ハニエル,えぇー、でもサターニャさんの弟さんだよ？仲良くしようよサラちゃん！
サラ,あなたも馴れ馴れしいわ、天真さん
ハニエル,そんなぁ……
胡桃沢,俺はどっちでもいいけどな……ま、迷惑かけんなよ、天真
ハニエル,胡桃沢くんまでぇー！。人間界の勉強も楽しいな～！。でも、サラちゃんや胡桃沢くんと友達になれたら、もっと楽しいだろうな……。……あれ、あの喫茶店って、確かガヴお姉ちゃんが働いてたお店！。うーん、入ってみたいけど、学校の帰りに寄り道なんて……。……あれ？。お、お邪魔しまーす……！
マスター,いらっしゃいませ、空いてる席に案内するね
ハニエル,あ、いえ、あの子と同じ席に
マスター,おや？お友達かい？
サラ,……違います
ハニエル,よく来るの？
サラ,……来たのは3回目
ハニエル,常連さんだね！
サラ,……
ハニエル,……ガヴお姉ちゃんがね、昔ここで働いてたんだ！
サラ,……知ってる
ハニエル,ホント⁉︎あ、そうか、ラフィエルさんもよく来てたってお姉ちゃんが言ってたよ！
サラ,！。……私は、ラフィ姉さんみたいに
ハニエル,白羽さん？
サラ,……なんでもない
ハニエル,……？
サラ,着いて来ないで
ハニエル,えー、いいでしょー？ね、お友達になろっ！
サラ,……神足通！
ハニエル,え⁉︎
サラ,……
ハニエル,あれ？
サラ,！
ハニエル,白羽さん？
サラ,～！/////
ハニエル,あっ、行っちゃった、早歩きで。仕方ないなぁ、私も帰ろっと。……。ここどこ⁉︎迷った！
胡桃沢,お、天真じゃん
ハニエル,胡桃沢くん！
胡桃沢,なんだお前、まーた道に迷ったのか？
ハニエル,うぅ、白羽さんを追いかけてたら……って、また？
胡桃沢,しまった
ハニエル,……？……！。もしかして、あの時の⁉︎。あれ～？私のアパート、この辺りのはずなんだけどなぁ
胡桃沢,なぁあんた、さっきから同じとこ歩いてるけど迷ったのか？
ハニエル,はいぃ⁉︎あ、あの、私
胡桃沢,その紙、住所と地図か？ちょっと見せてみ
ハニエル,え、あの
胡桃沢,この近くだな……こっち
ハニエル,あ、ありがとうございます！。あの時の親切な人！
胡桃沢,お、おう
ハニエル,まさかあの時の親切な人と同じクラスになってるなんてね～！全然気づかなかったよ～
胡桃沢,俺はすぐ気づいたけどな
ハニエル,うん？
胡桃沢,なんでもねーよ……ほら、ここまで来りゃあとは帰れるな？
