練習でのミスなんかも叱責されることなく,どんまいどんまい！
背後で誰かが言った,ナイスリバン！
やっぱり突っ込まれるかー、と笑いものにされることを覚悟して,あー、うん
一通りの説明が済んで、プロデューサーは,ちょっと待っていてくださいね
随分と低姿勢な電話を経て、何かの了承を得たらしいプロデューサーは,少し覗いていきましょうか
そんなレッスン風景をしばらく眺めたあと、プロデューサーが,そろそろ行きましょうか
続けて,あれくらい本気でやって、日の目を見ない子が、たくさんいます
体は動かしていないはずなのに、リビングの方へ,ただいま
タイミング悪いなぁ、なんて思いながら,はーい
リビングに到着して、あたしが用事を尋ねるより先に母が,じゃーん
あたしが聞くと、母はより一層にこーっとして,当たり！
そのすぐ後で、キッチンから,こら！
だから最初のうちは,バイトでも始めたの？
アップで額に浮かんだ汗を腕で拭って、トレーナーさんに,よろしくお願いします！
受け取って中身を確認するより先に、,神谷の曲だ
そこでトレーナーさんはこの曲を渡されて、,知らせる時期については、お任せします
トレーナーさんが頬をかきながら,もう渡しても問題ないと判断した、と言った方がよかったか
トレーナーさんの,今日はここまで。次回まで、復習を怠るなよ
理由はよくわからないけど,毎度、調子はどうですか
そして、あたしの返事を待たずに,見せてもらってもいいですか
そんな状態のダンスを見せていいのだろうかと思ったけれど、,無理
ビジュアルレッスンの成果である下手くそな作り笑いを浮かべて,おう
あたしが尋ねると、プロデューサーは,すごい。……すごいですね
そう言って,それじゃ
あたしの,ええっ！？
話をしている中で,デビューを祝してご飯でもどう？
そのままあたしに差し出して,デビューのお祝い
いつまでも遠慮していても話が進まないし,開けてもいい？
