小室保馬,４０
深夜。東京、港区。日の出テレビ。討論番組,朝まで激論テレビ
小室,今の日本経済に不可欠なのは、将来、発展する可能性がある分野を育てることです！
テロップ,小室保馬４０
田村,小室先生。あなたが執筆した新著、読ませていただきましたよ
テロップ,田村恭一朗８４
小室,ああ。新・経済原論のことですか……
田村,そうです。僕とは考えが若干違うものの、なかなか興味深い内容でした
出演者A,あれが、新進気鋭のエコノミストと呼ばれる小室保馬か……
出演者B,小室は一匹狼で変わり者らしいけど、どうやら噂通りの男のようだな
小室,一匹狼で変わり者……か。それで大いに結構だ
葉月,あら、あなた食事は？
テロップ,小室葉月３８
小室,外で済ませてきた。こんなこと、言わなくても分かるだろう
葉月,まあね。私たちは夫婦なのに、家で顔を合わせる機会さえも少ないんだから……
小室,俺はこれからゆっくり寝る。君は今から仕事に行くんだろ。そろそろ俺は、妻と別れるべきなのかもしれないな……。これが来週分の週刊ビジネスマンの原稿です
編集者,ありがとうございます。先生の過去の連載分、書籍化してはいかがでしょうか
小室,まあ……。原稿のストックが貯まっていますから、ちょうどいいでしょうね
喪黒,あのぅ、もしかしてあなた……。小室保馬先生ですね？
小室,ええ。そうですよ。私が小室保馬ですよ
喪黒,ならば、ちょうどいいところです。サインをお願いしますよ
小室,ああ……。あなた、私の読者ですか。そりゃあ、どうも……
喪黒,ありがとうございます。それにしても、著名なエコノミストにこんな所で出会えるとは……。まさに奇遇ですなぁ
小室,まあ、偶然というよりはある意味必然でしょう。というか、世の中で起きていることは全て必然なのです
喪黒,それはどういうことです？
小室,私が、さっきの編集者と会う場所に選んでいたのがこの店であり……。このファミレスは有名な店……
喪黒,ほぅ……。物事には原因と結果があり、何事も法則性で動いているということですか
小室,はい。しかも、その法則性を理性や論理によって解明するのが学問なのです
喪黒,いやはや……。エコノミストらしく、ずいぶん理詰めで合理的なお方ですね……
小室,一体何ですか、それは？まさか、神やあの世の存在だとか……そんな非科学的な話はよしてくださいよ
喪黒,それは、人間の心です。なぜなら、誰もが心にスキマを抱えているわけですから……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
小室,ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
小室,人生相談とか、カウンセリングのお仕事ですか？
喪黒,どちらかというと、ボランティアみたいなものですよ。ほら、小室先生も心にスキマがおありのはずでしょう？
小室,そんなことはありません。私は仕事ではうまくいっていますから……
喪黒,確かに、先生はお仕事ではうまくいっているでしょう。しかし、家庭の方はどうでしょうか？
小室,そういえば……。私も妻も仕事に明け暮れたせいで、今はお互いにすれ違いが目立っていて……
喪黒,小室先生。よろしかったら、私があなたの相談に乗りましょうか？
BAR,魔の巣
小室,シンクタンクを辞め、アカデミズムの世界に転身した私は葉月と出会いました
喪黒,確か、当時の葉月さんは大学准教授だったはずですよねぇ
小室,はい。私は彼女と意気投合し、結婚にまで至ったんですが……
喪黒,でも、結婚当初はまだ……。先生と葉月さんは夫婦仲が冷え切っていなかったでしょう？
小室,ええ。私も妻もあのころは、子供ができることを夢見ていました……
喪黒,それはお気の毒ですなぁ……
小室,子供の死産にショックを受けたせいか……。あれ以来……
喪黒,そのおかげもあってか、小室先生はエコノミストとして頭角を現しましたし……
小室,とはいえ……。私と妻は社会的地位が上がるにつれ、夫婦仲が冷え切ってしまいました
喪黒,奥様との仲を修復したいとか、子供が欲しいとか、そういうお気持ちはないのですか？
小室,そんな気持ちは全くないですね。そろそろ別れようとかとも思っているくらいです
喪黒,そうですか……。それは悪いことを聞きました
小室,妻と別れたいんですけどね……。離婚を切り出すタイミングが、なかなか見出せないんですよ
喪黒,なるほど……。奥様と円満な形で離婚するのが、あなたのお望みなんですね？
小室,その通りです
喪黒,分かりました。小室先生、いいものをあげましょう
小室,何ですか、これ？
喪黒,座敷わらしの人形ですよ
小室,座敷わらし……。ああ、東北地方で伝えられている家の神のあれですか？
喪黒,そうです。この人形があれば、先生のご家庭には何かしらの幸福がもたらされるはずです
小室,ハハハ、バカバカしい話ですね。そういった迷信の類は信じないのが、私の主義ですから……
喪黒,まあまあ……。これは、お守り代わりだと思えばいいんですよ
小室,そうですか。あなたのお気持ちを無視するのは悪いですから……。この人形、貰っておきましょう
喪黒,どうもどうも……。その代わり、先生には約束していただきたいことがあります
小室,約束！？
喪黒,はい。座敷わらしの人形は、1か月以内に私の元へ必ず返却してください
小室,変わった約束ですけど、まあいいでしょう……。1か月以内に返せばいいんですね？
喪黒,そうです。約束はちゃーんと守ってくださいよ
小室,わ、分かりました……
葉月,あなた、ご飯よーー
小室,こうやって、2人で夕食を食べるのも珍しいな
葉月,ええ。お互いに仕事、仕事で別行動が当たり前だったんだから……
小室,ああ。そのことなんだが……
葉月,何！？
小室,実はな……。俺、そろそろ君と別れようかと思っているんだが……
葉月,うん。私も前から、あなたと別れることを言おうと思ってた。でも、なかなか言い出せなくてね……
小室,そうなのか。君も、俺と似たようなことを考えていたんだな……
小室のモノローグ,妻との離婚を切り出すことができて、俺の胸の中はかなり楽になった……。おそらく、その気持ちは葉月も同じはずだ
小室,それにしても……。今になって、お互いに心を開くことができるとは……
葉月,ホントにねぇ。私たちの夫婦生活って一体何だったのかなぁ
小室,俺も君も仕事人間だから、家庭を持つことに向いていなかったんだよ
葉月,結局、そういうことなんだろうねぇ
小室,でも、俺は君のことが嫌いになったわけじゃない
葉月,私もそうよ。私とあなたは似た者同士なんだから
小室,別れるまでの残りの結婚生活は、お互いに仲良く過ごそう
葉月,ええ、そうしましょ。このまま円満に離婚できれば、どちらも悔いはないから……
小室のモノローグ,皮肉なことに、離婚が決まったおかげで俺と妻は良好な関係になった
ベートーベンの交響曲第5番,運命
小室,さっきの運命の曲が、今も俺の頭の中で響いている
葉月,私もよ。この曲は、現在の私たちの心境に合っているかもしれないよねぇ
小室,ああ。厳しい宿命に立ち向かい、困難や危機を克服するってのが……
