藤居朋,～♪
朋,今朝の占い、けっこうよかったわ……！。今日はなにかいいことありそうね！。わ！ど、どうかしましたか？。そ、そうですけど……。え！？ふ、ふぁん！？。ホントに！？あ、あたしの！？。あ、ありがとうございます……！。割と直近で洗う予定があるわね！？。は、はい！ありがとうございます！。それ死んでませんー！？。……。……。……嬉しいな。あたしも、アイドルとして、少しは……。……アイドル……よね……？。え、今の娘、アイドルとして見てたわよね？芸人枠じゃないよね？。……あまり考えないでおこう。え！？ま、また！？
緒方智絵里,前からファンだったんです！この連帯保証人の欄にサインしてもらってもいいですかっ！？
朋,智絵里ちゃん！！！。……もしかして、見てたの？
智絵里,はいっ"今朝の占い、けっこうよかったわ……！
朋,そこ、口に出してないんだけど！？
智絵里,でも、ファンの方が声をかけてくれるのはとっても嬉しいですよねっ
朋,そうなのよね……、今、すっごい嬉しいもの！
智絵里,信頼って、積み上げるのには時間がかかるのに、崩れる時は一瞬ですよ
朋,どうしてそういうこと言うのかな！？
智絵里,私も、朝から朋さんに会えてすごく嬉しいですっ
朋,二重人格か何か？
智絵里,というわけで、はいっ
朋,……？その手は？
智絵里,握手です！
朋,え？ど、どうして？
智絵里,どうしてって……、私も朋さんのファンだからですよ？
朋,そ、そう？
智絵里,……。……特権ですっ
朋,？何か言った？
智絵里,いいえ！早く事務所に行かないと、ほたるちゃんが怒っちゃいますよっ♪
朋,あ、ま、待って智絵里ちゃんー！
智絵里,ほたるちゃん、怒らせたら階段の上からタルを転がしてきますからね
朋,ドンキーコ〇グ！？。おはよー
智絵里,おはようございます
白菊ほたる,あ、朋さん、智絵里さん、おはようございます
智絵里,ほたるちゃん、さっきね、朋さん、ファンの人に声を掛けられて嬉しそうにしてたんだよっ
朋,ち、智絵里ちゃん、別に言わなくても……
ほたる,そうなんですか……、ふふっ、朋さんも、どんどん人気アイド……アイドルになっていきますね
朋,なんで言い淀んだの
智絵里,ほたるちゃんはそういうこと、あるの？
ほたる,たまにありますね……
朋,おお……、さすが……
ほたる,でも、だいたい2メートルくらい離れて"応援してまーす！"って言ってどこかへ……
朋,酷い
智絵里,まあ、巻き込まれて植木鉢デビューしたら、ファンの人の生存本能が秘密のトワレしちゃうもんねっ！
朋,言い回しが独特ね！？言いたいことがちょっと伝わるのがイヤだけど！
ほたる,なので、握手とか、そういうのはないですね……
朋,そうなんだ……、あ、そうだ、あたしは平気だし、握手、しよっか？
ほたる,え……
朋,なんの気休めにもならないかもだけど……
智絵里,だ、だめですっ！
朋,え？智絵里ちゃん？ダメって、さっき智絵里ちゃんとも握手したじゃない
智絵里,だ、だからで……いや、そういうわけじゃ……と、とにかくダメっ！
朋,？
ほたる,ふふっ……
朋,えっと、ご、ごめんね？ほたるちゃん
ほたる,大丈夫ですよ。智絵里さん、発言こそゲスの極みですけど、本当は乙女ですもんね
朋,ほたるちゃん！？
智絵里,はい、この話は終わりですっ！
ほたる,ふふふ……
智絵里,ほたるちゃんは夜道以外も気をつけてね
朋,ついに昼夜関係なく！？
ほたる,無駄な足掻きを……
朋,そういう言葉はどこで覚えてきちゃうの！？。えっと、さっきから気になってたんだけどほたるちゃん、その大きな段ボールは？
ほたる,あ、はい、これ、私たちに届いたファンレターなんです……！
朋,え！？ホント！？
智絵里,わぁ……、すごい……！
ほたる,今回はこれを、誰に宛てたものか分けながら、ちょっと読んでいきましょう
朋,おお～！ワクワクするわねっ！
智絵里,じゃあ早速、適当に一通取ってみますね。えっと……
朋,ほらもうアイドルに対する書き出しじゃないもん！。それだけ！？！？！？。なんでその内容で出そうと思ったのかな！？
ほたる,次にいってみましょう……
朋,なんで別枠なの！？あたしもメンバー！！！。リッチな企画ね！？やってないし！。根本的に間違ってる！！！
智絵里,次ですっ。あ、これはほたるちゃんへのお手紙ですね
ほたる,嬉しいです……！こんな私でも、誰かに勇気を与えられているんですね……
朋,ほたるちゃん……。オチがひどい！！！
智絵里,あっはっはっはっ！
朋,智絵里ちゃん！！！。あ、あたしも読みたい！。これは……、智絵里ちゃんへの手紙ね
智絵里,頭が高い
朋,最後まで聞こう！？
智絵里,モノ好きもいるものですねっ
朋,それ智絵里ちゃんが言う？。すごいなこの人！
智絵里,ﾁｯ
朋,智絵里ちゃん。一言余計なのよね
智絵里,あとで燃やしておきますね
朋,ええ！？
ほたる,そんなこと言って、取っておくんですよね？
智絵里,……
朋,とうとう言葉にすら出さなく！
ほたる,ひゅーっ！
朋,ほたるちゃんのメンタルはどうなってるの！？。ふ、ふたりとも！もうちょっと仲良くできないのかな！？
智絵里,ほたるちゃんはライバルですからっ！仲良くなんてまっぴらです！
朋,えええ
ほたる,そうですね……、せいぜい襲われたついでに一緒にご飯を食べてお風呂に入って、遅くまで語り合っていつの間にか寝ちゃってるくらいですもんね……
朋,うわぁめっちゃ仲良し！！！
智絵里,ほたるちゃん！！！"同じお布団で"が抜けてるよ！
朋,それを仲良しと呼ばずになんと呼べばいいの！？
ほたる,もう少し待っててくださいね、智絵里さんと一緒に、朋さんに振る舞う至高のフルコース料理を考えてますから
朋,そういうのいいからあたしも呼んでほしかった！！！
智絵里,ほたるちゃんが圧力鍋を使うと、180％爆発するんですよっ
朋,なんで100を越えちゃうの！？
ほたる,80％の確率で、衝撃で上の棚から食器が降ってきます
朋,ほたるちゃん！！！
ほたる,では、ファンレターに戻りましょうか
朋,あたしの知らないことだらけね……
ほたる,あ！朋さん宛てです！
朋,え！ホント！？。大ファンなら字は間違えないでほしかった。1週間は7日だから！。思考を読むな！！！あと普通に腹立つわね！？。相方じゃなくてユニットメンバーね
智絵里,えへへ……
ほたる,ふふ……
朋,2人はそれでいいの！？。最後飽きたでしょ絶対！！！
ほたる,心に響く手紙でしたね……
朋,どこが！？
智絵里,意味がわからない手紙でしたね……、せいぜい100点といったとこでしょうか
朋,辛辣な口調からの最高評価再び！？
智絵里,次のお手紙です。これは、3人への手紙ですね
朋,ファンレターですらなくなった！！！！！
ほたる,あ、これ、さっき響子さんが置いていったメモ用紙ですね
朋,紛らわしいなあ！
ほたる,次は、手紙だけじゃなくてプレゼントもついてますね
朋,え、そういうのもあるんだ！
智絵里,あの、部屋の隅にあるたくさんの箱も……？
ほたる,ああ、あれは私に届いた植木鉢ですね
朋,それはもう嫌がらせじゃないの！？
智絵里,よかったらぶつけてあげるよ？
朋,何が"よかったら"なの！
ほたる,あれは事務所に寄付します……、私が通る度に屋上の植木鉢が落ちちゃって、足りなくなってるらしいので
朋,ごめん、リアクションできない
ほたる,これは、朋さんへの手紙とプレゼントですね
朋,あたしに！？なんだろ！。喜びそうなモノ……？なにかしら……！。このやろう！！！！！
ほたる,と、朋さん！
智絵里,お、落ち着いてくださいっ！
朋,だって、アイドルへのプレゼントに胃薬って！！！
ほたる,では、いらないですか？
朋,……
智絵里,……
ほたる,……
朋,……もらっておくわ
ほたる,あ、はい
朋,くれた人、ごめんね
智絵里,あ、はい。気を取り直して、次ですっ。これは、3人へのプレゼントみたいですね……
朋,これがその湯呑み……って、すごい！3つとも、柄が違うわ！
ほたる,わぁ……、私のは、スズランの鉢とホタルです……
智絵里,わたしのはクローバーとサクランボ！
朋,あたしの湯呑みには月とタロットカード！これは嬉しいわね！事務所で使おう？
智絵里,はいっ！
ほたる,はいっ……あっ！
朋,あっ
智絵里,あっ
朋,あ……
ほたる,ああ……
朋,ほ、ほたるちゃん……
ほたる,私って……いつも……
朋,か、かける言葉が見つからない……
智絵里,あれ？この手紙、続きが……
朋,有能！！！！！。さて！もうひと踏ん張りね！
智絵里,あ、でも、そろそろレッスンの時間が……
朋,え、ウソ！もうこんな時間！？じゃあ、続きはレッスンの後ね……
ほたる,あ、でしたらその前に、あの植木鉢を屋上に持っていくお手伝いをしてもらってもいいですか？
朋,あ、いいわよ
智絵里,頑張ってくださいねっ
朋,智絵里ちゃんもね
智絵里,けっこう多いですね……
朋,何回かに分けよっか？
智絵里,下でケンカしてる人がいれば、窓から投げられるのに……
朋,アーバンチャンピオンみたいな消費方法やめて。……というかアレね、箱から出して、重ねて持って行こっか？
智絵里,天才
ほたる,それな
朋,語彙力が急に死んだわね。しかし、ホントに植木鉢が入ってるわ……
智絵里,はい……、公式ロゴマークに使いましょうか？
朋,また芸人に近づいちゃう……
ほたる,これが最後の箱ですね……あれ？
朋,どうかしたの？
ほたる,他の箱より重いような……あ、これは……
智絵里,あ！圧力鍋！！！
朋,ええ！？なんでそんな。ほたるちゃん！！！！！！！！
