塩見周子,おつかれさまー
日野茜,むかぁしむかし！！あるところに！！！
周子,うわっ！
鷺沢文香,あ、茜さん……、もう少し小さな声で……
茜,は、はい！むかしむかし……
文香,き、聞こえません……
周子,……なにしてんの？
茜,あっ！周子さん！
文香,お疲れ様です……
周子,えっと……、絵本？
文香,はい、今度、茜さんに……
茜,はい！！！今度、私に読み聞かせのお仕事がありまして！！！
文香,そこで、私の本を……
茜,そこで！！文香ちゃんの本を借りてトレーニングしてるんです！！！
文香,……
周子,しゃべらせたげて
文香,周子さんも、よろしければ聞きませんか……？
周子,あー、そうだね、じゃあちょっとだけ聞いていこうかな？
茜,おおっ！ありがとうございます！
文香,なんでも茜さんは、私から借りたこの絵本たちを、記憶してきたそうなんです
周子,え？この本って今貸したんじゃなくて？
茜,はい！！ずっと絵本を見ながら話すわけにはいきません！
周子,おー、いい心がけ
茜,しかも、その上で、"日野茜アレンジ"を加えてきました！
周子,……え？
茜,もっと興味を持ってもらえるためです！お楽しみに！
周子,そ、そうなんだ……
文香,え……？
周子,なんで文香ちゃんも驚いてるん
文香,い、いえ、きっと大丈夫……です……？
周子,もう自分で疑問符打ってるじゃん
茜,まずは、昔話の定番からですね！
周子,桃太郎かな……？ちょっと不安だけど。待って待って待って！！！
文香,……続けてください
周子,見守る姿勢に入るな！！！
文香,……周子さん
周子,え？
文香,名作の予感がします
周子,どこから！？
茜,つ、続けてもいいですか？
周子,う、うん……
茜,では……
文香,100点です
周子,採点が早いし甘い。展開早っや！！！
文香,100点です
周子,ちょっと黙っててくれない？。名前付けてなかったの！？
文香,……茜さん
茜,は、はいっ！
文香,それは流石によくないです
周子,う、うんうん
文香,もしお客さんの中に、実際に"桃から出てきたヤツ"と呼ばれている子がいたらどうするのですか？
周子,いないわ！！！！！
茜,た、確かに！！！
文香,ここは、ちゃんと"桃野郎"と呼んであげましょう……
周子,ぬぐえない悪口感。ってかこの話、確か"斧太郎"だったような……。雑に出てきたよ斧！！なんでおばあさんの標準装備が斧！！！。絵面が怖すぎるでしょ絶対子ども泣くよ。あ、いちおう来るんだ……。違くない？
文香,1匹で得られる戦力のコスパがいいですね
周子,どの目線からの感想なの？。……あれ？。待ってこれ桃太郎じゃなくて金太郎じゃない！？
文香,聞いていなかったのですか……？
周子,この流れであたしが責められるの理不尽すぎない！？。ワードチョイス怖っ。鬼より容赦ないな。これをめでたいと形容するの、完全にサイコでしょ
文香,すばらしい……お話でした……ｸﾞｽｯ……
周子,泣いてるん！？
茜,どうでしたかっ！
周子,えぇ……、なんで自信満々なのさ……
文香,今まで出会ったことのない、前衛的な作品でした……
周子,褒めてる？
茜,ありがとうございます！！！この調子で、次にいってもいいですか！
文香,その姿勢、100点です
周子,100以外の数字を知らないの？
茜,では、次のお話です
周子,ストップ
茜,え？ど、どうかしましたか！
周子,え？かちかちやま？
茜,いえ！
周子,だからストップ！
文香,どうかしたのですか……？
周子,むしろよく聞く姿勢に入れるよね！？。は、話す前に、あらすじだけ聞かせてもらえる？
茜,はい！このお話は、12歳の女の子が、豊富な資金力を駆使して、様々な勝負を勝ちに導くお話です！
周子,もうかちかちやまの片鱗すらないじゃん！
文香,全米が泣いた
周子,そのキャッチコピーはだいたいこっちの胸に響かないからね！？
茜,し、しかし、終盤の勝ちよりも……価値があると思えたのですわ……！というセリフとともに桃華ちゃ……主人公が自らを犠牲に仲間を助けるシーンは涙なしでは……
周子,もう"桃華"って言ってるし！
文香,……ｸﾞｽｯ
周子,さっきから感受性が豊かすぎるって！！！
茜,でも、ラスボスの貴様も負け犬の気持ちになるですよ……！というセリフは本当に絶望感が
周子,人選どうにかならなかった？
文香,映画化決定ですね……
周子,そこの親バカはそろそろ反省して？
茜,では、別のお話を……！
周子,レパートリーはあるんだね。やめたげて
茜,カメとレースをしていたウサギが、ゴール直前になって腰を痛めてしまい、残念ながらカメに負けてしまうお話です！
周子,そのお話からあたしは何を教訓にすればいいのさ
文香,"永遠"など存在しないということでしょうか
周子,刺しにいくよね。お話だけで致命傷だかんね
茜,続きまして！
周子,もうショートコントをする芸人のノリで発表してるもん
文香,顔と名前と暗証番号だけでも覚えて帰ってくださいね
周子,さらりととんでもない情報を開示したね。バッドエンドの気配しかしない
茜,スタート！
周子,え？
鷹富士茄子,ああ、私はなんと美しいのでしょう……！
周子,！？
茄子,鏡よ鏡、世界で一番美しいのはだあれ？
鏡,鷺沢文香
周子,何しとるん文香ちゃん
茄子,まあ！なんてこと！もう一度だけ聞くわ。鏡よ鏡、世界で一番美しいのはだあれ？
鏡,鷺沢文香
周子,
茄子,ああ……、うん……、そう……
周子,色々言いたいけどHAPPYではないでしょ！？
茄子,では、私はここで失礼しますね～
周子,茄子さんこのために呼んだの！？
茜,どうでしたかっ！
周子,ってかもはや茜ちゃんの読み聞かせとか関係ないじゃん！
文香,助演女優賞の手ごたえ……！
周子,ポジティブどころかもはや恐怖なんだけど？。しかも表題になってるほたるちゃん、出番なく勝手に殺されてるし……
茜,ノってきました！
周子,どのタイミングで？
文香,戦いの中で進化している……！？
周子,いつ戦いに身を投じたの
茜,では、次はこれです！
周子,この数分で期待値がこんなにも低くなるとは思ってなかったね。登場人物もストーリーもバレバレじゃない！？
茜,コツコツとやらないからこうなるんです！
周子,とうとう物語を端折って教訓から話し始めた
文香,例えば締め切りが10日長かったとしても、作業開始が10日遅れるだけなので無駄かと
周子,作家という生き物に恨みでもあるの？
茜,次ぃ！
文香,良いテンポです
周子,中身を伴ってほしい。1回怒られた方がいいよ
茜,大丈夫です！志希さんです！
周子,だから不安なんだって！
茜,ご本人は月ってどんな匂いがするんだろうね～？嗅ぎに行くのもまたごいっきょー？ああ、この場合、"嗅ぎに帰る"かな～？と！
周子,上手く切り抜けてる……
文香,空気がないから匂いもないのでは……？
周子,人の心がないの？
茜,あと、赤ずきんちゃまというのもありますが……
周子,桃華ちゃんの酷使やめたげて
文香,どのようなお話なのですか？
茜,豊富な資金力を持つ赤ずきんちゃまが、オオカミをボコボコに
周子,さっきとちょっと被ってない！？桃華ちゃんそんな金にモノを言わせる娘じゃないよ！？
文香,"宝くじで7億円が当たったらアイドルを辞める"という人は何人いるんでしょうね……？
周子,急に
文香,私は辞めます
周子,言わなくていいから
茜,えっ！？ふ、文香ちゃん、アイドル辞めちゃうんですか！？
周子,いや、例え話だからさ
茜,イヤです！私は文香ちゃんと一緒にアイドルしたいです！
周子,だから……
文香,茜さん……ｸﾞｽｯ……
周子,泣くの3回目だけど！？
茜,文香ちゃん！
文香,茜さん……！
周子,ええー……、ついていけへん……
文香,さて、めでたしめでたしですね……
周子,あたしは単純に疲れたけどね
茜,お仕事、頑張ります！
周子,……あ、そういう話だったっけ
文香,茜さんなら、大丈夫です……！
周子,無責任に放り投げるのやめない？
茜,ちなみに文香ちゃん！どのお話が1番よかったですか！
文香,そういえば、近くに素敵な喫茶店を見つけたのです
周子,さらりと逃げるな！
文香,茜さんのお話なら、全てヤバいくらいに……その……ヤバいですから……！
周子,肝心なとこで語彙力が死ぬ
茜,文香ちゃん！
文香,茜さん……！
周子,もう帰っていい！？
