アナスタシア,みなさん、プリヴェート……こんにちは。アーニャです♪
アーニャ,今日は、特別放送、教えてミナミィを聞いてくださって、とっても嬉しいです。この番組は、まさに名前からわかるように、ミナミに色々なわからないことを質問する番組です。アーニャも日本に来て少しは経ちましたが、まだまだ、わからないことばかりです……。では、早速呼んでいいですね……？事務所で一番の大人気アイドル、地上に舞い降りた女神、日本に生まれた奇跡と呼ばれるミナミを……！。あっ、忘れていました。この世の天使で1000年に1人の美女とも言われてますね？。ではミナミ、どうぞ！
新田美波,……
アーニャ,……
美波,……
アーニャ,……？
美波,話しづらい……。あの……アーニャちゃん？
アーニャ,はい♪
美波,その……褒めてもらえるのは嬉しいんだけど……ハードルが……
アーニャ,アーニャ、ウソ言いましたか……？
美波,そ、それを私が判断するのも……えっと……
アーニャ,大丈夫です！ミナミはちゃんとヤバいです！
美波,褒めてる……のよね？
アーニャ,それではミナミ、あいさつをお願いします
美波,あっ、ええと、新田美波です。今日はよろしくお願いします。力になれるかはわからないけど、頑張って答えるね？
アーニャ,問題ありませんミナミ
美波,え？
アーニャ,この番組は生放送ではなく収録です。だからミナミがとても放送できないようなことを言っても、スタッフさんがバッサリ……ですね？
美波,放送できないことを言いそうって思われてるならよほど問題なんだけど……
アーニャ,生じゃないから安全ですミナミ、生じゃないから安全です
美波,アーニャちゃん
アーニャ,？
美波,まさかこんなに早く収録の恩恵を受けるとは思わなかったわアーニャちゃん
アーニャ,スパシーバ！
美波,ありがとうじゃないわよアーニャちゃん
アーニャ,では、1つ目の質問を聞いても大丈夫ですか？
美波,ちょっと不安だけど……変なことを聞いちゃダメよ？
アーニャ,ダー♪
美波,じゃあ……どうぞ！
アーニャ,日本はどうして北方領土を返還しませんか？
美波,アーニャちゃん！！！
アーニャ,ふふ……冗談、です♪
美波,もうすこし話題を選べなかったのかな
アーニャ,緊張してる時は、アイスブレークが大切。アーニャ、聞きました
美波,収録じゃなかったら明日から無職になっててもおかしくないからね？
アーニャ,今度こそ、アーニャ、マジメになります
美波,お、お願いね……
アーニャ,アーニャ、ロシア、北海道と寒いところからやって来ました。ですが、東京の冬、いちばん寒いです。……どうしてですか？
美波,よかった……普通の質問ね
アーニャ,？
美波,あっ、ええっと、アーニャちゃんは、北海道やロシアよりもこっちの冬の方が寒いって感じるのよね？
アーニャ,ダー……アーニャ、おかしいでしょうか……？
美波,ううん、アーニャちゃんと同じことを私の友達も言ってたわ。その娘も北海道出身なんだけど
アーニャ,でも、東京の方が温度は高いですね？
美波,そうね。でも、東京と北海道では、温度の差を覆すような違いがあるの。なんだかわかる？
アーニャ,都会のヒトは心が冷たいからですか……？
美波,どうしてそんなにケンカを売りたがるの？
アーニャ,冗談です♪
美波,アーニャちゃんが思ってるほど冗談というフレーズは万能じゃないのよ
アーニャ,違い……難しいですね……
美波,じゃあ、例えば……アーニャちゃんが北海道で家を建てるとしましょう。どんな家を建てたい？
アーニャ,ドーム……家、ですか……？駅から徒歩15秒……？
美波,うん、立地条件じゃなくてね。にしても近すぎない？それもう駅に住んでない？
