聖戦,バレンタインデー
千秋,と、いうわけで
智香,何がというわけで、なんですか？
千秋,気にしないでいいわ。それよりも……。……
智香,あはは……事務所のキッチン、もうパンパンですね
千秋,どうしてみんなここで作ろうとするのかしら。非効率だと思うのだけど
智香,みんなで一緒に作るのが楽しいんですよっ。きっと！
千秋,そういうものかしらね……まぁいいわ。私は自分の部屋で作るから
智香,えっ！千秋ちゃんも一緒に作りましょうよっ☆
千秋,さっきも言ったけどここで作るなんて非効率的よ。私は遠慮させてもらうわ
智香,そうですか……残念です。あ、でもっ、私作り終わったら手伝いに行きますねっ☆
千秋,い、いや。来なくて大丈夫よ。貴方は貴方のチョコに集中なさい
智香,でもでも……
千秋,来なくていいから、いいわね？
智香,は、はいっ
千秋,それじゃあまた明日会いましょう。さよなら
智香,……
智絵里,智香、さん
智香,智絵里ちゃん、こんにちはっ☆どうしたのかな？
智絵里,あの……千秋さんは……
智香,残念だけど、1人で作るみたいだよっ
智絵里,……え？
智香,だから私達は私達で―――
智絵里,だ、ダメです！智香さん！
智香,へっ！？
智絵里,ち、千秋さんに1人で料理なんてさせたら……
智香,え？え？
智絵里,は、早く千秋さんの部屋に……！
智香,智絵里ちゃん！？
智絵里,ち、千秋さ―――
智香,！？
智絵里,お、遅かった……は、早く部屋に入らないと……！
智香,智絵里ちゃん、さっきからどういう事なのっ？
智絵里,部屋に入れば……わかると思います……鍵はかかってないみたいですし……
智香,ち、智絵里ちゃん。ドアの隙間から煙が上がってるんだけど……
智絵里,火事にはなってないと思います……多分
千秋,けほっ、けほっ……レシピ通りにやったのに、どうしてこうなってしまうのかしら
智絵里,千秋さん！
千秋,ち、智絵里？！どうしてここに！？
智絵里,どうしてもこうしてもないです。私、言いましたよね。1人で料理はしちゃダメって
千秋,そ、そうだけど……でも……
智絵里,だけどもでももありません！
千秋,はい……
智香,智絵里ちゃんに押される千秋ちゃんなんて珍しいものを見ました……
智絵里,あの時の事を覚えてないんですか？
千秋,そ、そういうワケじゃないわ
智絵里,だったらどうして……
千秋,……みんなに、迷惑かけたくなかったから
智絵里,え？
千秋,例え智絵里や智香が手伝ってくれても……こんな結果になることはわかってたわ。尚且つ、みんながいるところでこんな失敗したら……もしかしたら、誰かが怪我するかもしれない。それだけは絶対に……避けなくちゃいけないから
智絵里,……そう、ですか
千秋,それに……
智香,それに？
千秋,み、みんなに私が料理できないなんて事……知られたくないじゃない
智香,確かに千秋ちゃんは料理ができる印象がありましたっ
千秋,でしょう？！だから、その、恥ずかしいというか……結果的に智香にも……智香？
智香,はい？
千秋,……な……な……。なんでここにいるのよー！！
智絵里,あっ、ち、千秋さん
千秋,智香に見られるなんてっ……智絵里以外の人にはバレないようにしてたのにっ……ううう
智香,千秋ちゃん……
千秋,幻滅したでしょ。わかってるわ。私は何でもできるお姉さんポジションだったものね
智香,それ自分で言っちゃうんですか……
