荒木比奈,今日も熱いっスねー……
神谷奈緒,もう八月だもんな……
比奈,あまりの暑さに智香ちゃんもテンション低めな感じに
若林智香,……
奈緒,ホントだ
智香,……ううん、違うの。最近アタシが誰かを応援する度に変な合いの手が挟まれるんだ
奈緒,は？
智香,やっぱり言っただけじゃ伝わらないよね
奈緒,そのポンポンどこに仕舞ってたんだ？
比奈,準備万端っスねぇ
智香,頑張れ頑張れ！
比奈,……なんスか今の声！？
智香,それだけじゃないよ！。JUMP！。FIGHT！。STORM！。……ね？
奈緒,お前らが絶妙なコンビネーションを生み出していることはよーく分かった
比奈,……というワケで我がプロダクションが誇る心霊現象の権威、白坂小梅先生に来てもらいました。よろしくお願いしまス
白坂小梅,よ、よろしく……お願い、します
奈緒,で、智香に何か憑いてるのか？
小梅,う、うん。し、しっかり憑いてる……よ？
智香,しっかりって！？
小梅,とりあえず……み、見えるように、してみるね
比奈,そんな簡単なんスか？
学ランの男,……
奈緒,……スタンド？
比奈,どっちかと言うと使う側っぽいっスけどね
智香,……番長？
学ランの男,……
比奈,違うみたいっスね
智香,じゃあ……何かな？
学ランの男,……
奈緒,黙ってばかりいないで、なんとか言えよ！
学ランの男,……
奈緒,なんだ？サムズアップ？じゃなくて？私？
学ランの男,……
奈緒,準備体操？スローイン？……三々七拍子、応援か。？？？上？天の道を往き総てを司る？ああ、リーダーね。え？リーダーはいいから寝ていたい？
小梅,えっと……ひ、必死にジェスチャーを、読み取ってるところ申し訳ないけど……つ、通訳できる、よ？
奈緒,……だったら早く言ってくれよ！
小梅,えっと……こ、この人は、ある学校の応援団長……で、初めて応援する前の日に、事故で死んじゃったんだって
智香,そんな……
団長,……
小梅,それで、ぐ……偶然チアをしてる智香さんを見て……一緒に居れば、いっぱい応援できるかもって、思ったんだって
奈緒,だからって変な合いの手を挟んじゃ駄目だろ
小梅,それは、幽霊の状態……から、こっちに届くように無理矢理声を、出してるから、ちょっと変になっちゃってる……の。本人は普通に応援してた……みたい、だよ
奈緒,そんな状態であんなに息ピッタリだったのか？
比奈,文字化けみたいなもんっスね
智香,なんか一気にデジタルな感じになったね。……アタシ、この人に協力してあげたい！。小梅ちゃん、どうやったら成仏させてあげられるかな？
団長,……
小梅,一度でいいから、自分の応援……で、誰かを勝たせてあげたい、って
比奈,応援するって言っても、誰を……
？？？,話は聞かせてもらったよ！
団長,……！
奈緒,あ、アンタは……！
比奈,友紀ちゃん！
姫川友紀,夏と言えば甲子園！甲子園と言えば応援！つまり一打席勝負を応援するってことだよね！？
奈緒,相変わらず何でも野球に繋げようとするなぁ
団長,……
小梅,……団長さんは、それでいいって
智香,決まりだね！それじゃあ早速……
比奈,でも、友紀ちゃんの相手は誰がするんスか？
友紀,あっ
？？？,話は聞かせてもらったよ。その役目、私に任せてもらおう
比奈,あ、あなたは……！
奈緒,木場さん！
友紀,でも木場さん、野球できるの？
木場真奈美,海外にいた時に少しかじった程度だがね
友紀,なら大丈夫だね！負けないよ！
奈緒,あれ、何してるんだ比奈さん？
比奈,いやぁ、桃華ちゃんに球場を貸してもらおうと思って
奈緒,何でもありだなぁ、あの子の家
比奈,ども、解説の荒木比奈っス
奈緒,どうも、実況の神谷奈緒です
比奈,木場さんの応援は智香ちゃん、友紀ちゃんの応援は団長さんが務めまス
智香,フレー！フレー！木・場・さん！
小梅,フレー！フレー！ヒ・メ・カ・ワ！
奈緒,ちょっと待て団長どこ行った
比奈,えーっと、事前に小梅ちゃんに渡されていたメモによると……。だそうでス。つまり小梅ちゃんは出力装置ってことっスね
奈緒,またデジタルな例えを……まあ、長ラン着て大声出してる小梅ってのも新鮮だな
比奈,可愛いっスよね
友紀,ふふん、バックスクリーン直撃弾をお見舞いしちゃうからね！
真奈美,フッ、悪いが討ち取らせてもらうよ
友紀,は……
奈緒,速えぇ！？
比奈,友紀ちゃん、打てるんスかねぇ……
友紀,でももうタイミングは分かったよ！。痛～ッ！
真奈美,さすがは友紀だな、もう反応してくるか……。だが私も易々と打たれるつもりはない！
智香,フレー！フレー！木・場・さん！
小梅,フレー！フレー！ヒ・メ・カ・ワ！
智香,フレー！フレー！木・場・さん！
小梅,フレー！フレー！ヒ・メ・カ・ワ！
友紀,はぁ、はぁ……っ
真奈美,……っ、中々、粘るじゃ、ないか……
智香,フレー！フレー！木・場・さん！
奈緒,もう何球目なんだよ、日が暮れたぞ……
比奈,木場さんも友紀ちゃんも、智香ちゃんもヘトヘトっスよ。でもそれ以上に――
小梅,フレー！フレー……！ヒ・メ……カワ！
比奈,団長さんに身体を貸してる小梅ちゃんの体力の方が限界に近いっス……
奈緒,あ……
真奈美,……ッ！
友紀,しまっ、振り損ね――
奈緒,見逃した！？
比奈,……いや！
友紀,た、助かった……！
真奈美,……私もそろそろ体力の限界が近いようだ。次で決めさせてもらうよ……！
友紀,よく言うよ、涼しい顔してさ……。あたしなんてもうバットを持ち上げるのも一苦労だよ……
智香,ラストスパートだよ木場さんっ！ゴーゴー！
小梅,……
真奈美,これでゲームセットだッ！
友紀,とりあえず振って、当てないと――。！。今の声は……？
団長,フレー！フレー！ヒ・メ・カ・ワ！
奈緒,団長！？
比奈,小梅ちゃんに憑依してないのに……！？
友紀,そんな必死に応援されたらさ……。こっちだって全力振り絞って振らないワケには、いかないじゃん！
奈緒,打った！強いライナーだしこりゃ抜けたんじゃ……
真奈美,まだだ！
比奈,跳んだ！？
奈緒,あの速さの打球を取ったぞ！
真奈美,なっ！？
奈緒,打球が木場さんのグローブをもぎ取った！？
比奈,ボールはそのまま外野に転がって行って……
友紀,ぬ、抜けた……
真奈美,……完敗だな
智香,おめでとうございます友紀さん！
友紀,はぁ、はぁ……ありがと、智香ちゃん
智香,木場さんも凄かったです！
友紀,ホントだよ……向こうの球団でバッティングピッチャーでもしてたの？
真奈美,ははは、そんな事はしていないさ
小梅,み、みんな、凄かった……
智香,小梅ちゃん！あれ、団長さんは？
小梅,居なくなっちゃった……で、でも、こんなに白熱した試合を応援出来て楽しかった。ありがとうって
智香,そうなんだ……団長さん、成仏できたんだね……！
小梅,あ、あと、友紀さんのファンになった……って、言ってたよ
友紀,え、そうなの？えへへ、なんだか嬉しいなぁ
奈緒,でもなんで団長の声がそのまま届いたんだ？
比奈,強い想いは生死の壁を超える、ってやつっスよ。ベタな展開っスけどね
友紀,ベタはベタでもモアベターな展開、ってね！。……せめて無言はやめようよ！。あぁー……今日も仕事かぁ……。暑いー外出たくないーキンキンに冷えたビール飲みながら野球観たいよー。！？。……。…………。……へ？
