ひよこ,ヒナ
新田,おう、ヒナ。どこ行くんだ？。へえ～。じゃあついでにおつかい頼んでいいか？
ヒナ｢え…,めんどくさいな
新田,あー、でもやっぱり心配だなぁ…ヒナにおつかい出来るかなぁ？
ヒナ,新田は私をなめてるの？
新田,いやだって、中学生の頃に頼んだらお菓子ばっかり買ってきたし…。そうだけど……まあ、中学生でそれでも大問題なんだが。今日はカレー作るから…これ買う物のメモとお金な。頼んだぞ？今日ちょっと用事あるから。いいか？お菓子とかイクラとか勝手に買うなよ！？。いらないから！絶対買うなよ！？。ヒナ、よくやったな！今日はイクラも追加してやるぞ！！
アンズ,あら、ヒナじゃないの。なにしてるの？。へえ～。ヒナがおつかいだなんて珍しいわね。家でお茶飲んでテレビ見てるだけなのもなんだから散歩して買い物行くのよ。なによ！？。絵具。ダクソー100円ショップ。～～～
瞳,あ、ヒナちゃんとアンズちゃんだ。何話してるんだろ？
アンズ,安いとこならいいけど………あっ！。ヒナ、今ならここ牛丼安いわよ！。ここでご飯食べましょう！。…！！！。しまった、ダクソーで絵具買ったから手持ちが…っ！。牛丼１つで280円…税込価格が…。ヒナ、280円の税込価格っていくら！？。税込価格を聞いてるのよ…。足りなかったらどうしよう…。ダメよ、人から借りるなんて！
瞳,なんだか…聞いてて色々な場所が痛くなる会話だなぁ……
アンズ,良かった、手持ちが残り305円だから足りた！さすが瞳ね！
瞳,これくらいでさすがとか言われても…
アンズ,家でお茶飲みながらテレビ見てるだけなのもあれだから、散歩してたらヒナに会ったのよ
瞳,老後のおばあちゃんかな？
アンズ,ねえ、瞳も一緒にご飯食べない！？
瞳,今日は帰ってゆっくりしたかったんだけどなぁ…まあいいか。ご飯はまだ食べてないし
アンズ,生姜はタダなのが良いわよね…。瞳、ご飯食べながら何をしてるの？。ゲームの事ばっか考えておつかい忘れちゃダメよ？
マオ,おーい、おーい！
アンズ,あら本当じゃないの
マオ,私も一緒にご飯食べた～い！
アンズ,ヒナの隣空いてるわよ
マオ,ヒナちゃん、横座るよー？。今気付いたの！？
アンズ,あんた気付いてあげなさいよ…
マオ,へー、ヒナちゃん今日はおつかいしてるんだ。えらいねー
瞳,中学生の頃はおつかいも出来なかったって聞いたけどね…
マオ,じゃあさー、もし世界一美味い超高級イクラ料理があって、自分の手持ちじゃ足りない時に新田さんから渡されたおつかい用のお金を合わせればギリギリ値段が足りるって状況になったらどうする？
アンズ,ちょっと、あんた今けっこう長いこと考えてたのは何よ。ごちそうさまでした
マオ,ねえねえ、この後四人で夕方までどこか遊びに行こうよ！
瞳,ごめん、今週は仕事続きで疲れたから早く寝たい…
アンズ,夕方から屋台あるし…
マオ,…。ヒナちゃんは暇だよね！？ねえ！？。どうせゲームでしょ！？。すごい、ちゃんと買えてる…
アンズ,へえ～。だと思ったわよ
マオ,あ、ヒナちゃん！今ならこのイクラお買い得だって！
ヒナ,手が…動かない！？
アンズ,こら、何取ろうとしてんのよ。ヒナ。いいからお会計行ってきなさい！
マオ,すごいねえ、ヒナちゃんがお買い物できるなんて
アンズ,そんなとこに感心してどうするのよ。なんとか無事に終わったわね
マオ,ねえ、ヒナちゃん。じゃあ一緒にゲームしようよ！
ハル,奇遇ですね…僕もスーパーで買い物していたところです
アンズ,誰？この子
マオ,うん。それは見たらわかるよ
ハル,やあ、アンズお姉さんにマオお姉さん。僕も送られてきた超能力者です
アンズ,なんですって！？
マオ,な…何をしに来たの！？
アンズ・マオ,何それホワーイ！？
ハル,ちょうどいい…こうやって皆さんが集まるのを待っていました
アンズ,ど、どういう事よ！？
ハル,ヒナお姉さん…あなたに再戦するために、ね。はい。この前は僕が負けましたが、今回はそうは行きませんよ…
マオ,勝負って…？
ハル,ふふふ…覚悟してくださいね、ヒナお姉さん。勝負の内容は………。超能力料理対決！。お題はカレーです
ヒナ・アンズ・マオ,何それホワーイ？
ハル,さあ、さっそく僕のアパートまで行って対決しましょう！
アンズ,即答ね！？
ハル,…。それは何故？。…そうですか…。もし僕の挑戦に乗ってもらえないならば……新田さんの壺を超能力使って１つ割ってもいいんですよ？
アンズ,何よそれ、脅し？
マオ,新田さん可哀相…
ハル,ﾌｯ…。その返事はつまり、僕の挑戦を受けてくれるという事でいいんですね？
ヒナ,…１つだけ条件を付けて欲しい
ハル,なんですか？
ヒナ,私が勝てばイクラ丼を１つおごってもらう
ハル,いいでしょう…１つと言わず、おかわりも有りでどうですか？
ヒナ,！！
ハル,その条件ならば文句なく、カレー対決を受けてくれますよね？
マオ,待ってヒナちゃん！カレーなんて作ったことある…
ヒナ,私はカレーが作れます
マオ,絶対嘘だぁ！！！
アンズ,カレーどころか料理自体作ったこと無いでしょうによく言うわよ…
ハル,僕はヒナお姉さんに勝つため、超能力による料理を鍛え上げてきました。特に、カレーは僕の得意料理です。それでも僕に勝つ自信はおありですか？
ヒナ,私はカレーが作れます
ハル,それはさっき聞きましたよ
アンズ,変な対抗心だけは立派ねぇ…。…で。何で私の部屋なのよ！？
ハル,アンズお姉さんの部屋が隣だったみたいですから
アンズ,全く理由になってないわよ！
ハル,それにアンズお姉さんは夕方から屋台みたいなので…時間になったらすぐ仕事に出れるようにという配慮ですよ
アンズ,そんな配慮するくらいなら始めからこんなくだらない事するんじゃないわよ…
ハル,さてアンズお姉さんとマオお姉さんには完成したカレーの審査員をしてもらいます
マオ,ヒナちゃん頑張ってね！
アンズ,仕方ないわねぇ…もう付き合ってあげるわよ
ハル,そして、ルールは料理における行動を全て超能力で行う事です。ところでヒナお姉さん。カレーの材料は持っていますか？
ヒナ,大丈夫だよ。カレーの材料ならここにしっかり揃っている
マオ,は、速い！
アンズ,なんて包丁さばき超能力
ハル,ふふ…見てますか？ヒナお姉さん。これが僕の研ぎ澄まされた包丁さばきですよ
ヒナ,ムム…
アンズ,ヒナ！かっこよくじゃがいもの皮剥きなんかやってる場合じゃないわよ！
マオ,早く野菜切らないと！
ヒナ,言われなくても…。これからやるよ
ハル,さすがヒナお姉さん…包丁の動きは速いですね。でも。野菜の形や大きさは不揃いで綺麗じゃない
ヒナ,ムムム…
ハル,皮剥きなら料理スキルが無くても超能力だけで何とかなります。ですが…超能力で包丁を使って野菜等を切る場合。超能力の強さだけでなく、包丁スキルも必要になってくるのですよ
マオ,このままじゃヒナちゃんヤバくない！？
アンズ,むう…やっぱり料理対決はヒナじゃ始めから分が悪かったかしら…
ヒナ,それはどうだろう？
アンズ,この期に及んで何を言う気！？
ヒナ,確かに君は料理スキルは高く野菜の切り方も綺麗だ…でも、君のその切り方には１つ欠点がある
ハル,欠点？
