モバP(女性),ふぅ。これで一段落かぁ…
モバP,まだやっときたいことはあるけど、明日は打ち合わせも複数入ってるし、そろそろ帰るかな。…その前にタバコ吸お。夜の屋上は静かでいいね。…ん？
ちひろ,あら
モバP,あれ？ちひろさん？
ちひろ,お疲れ様です、Pさん
モバP,お疲れ様です。ちひろさんってタバコ吸いましたっけ？
ちひろ,吸いますけど、殆どですね。吸わない時は一月で1箱吸い切るかなぐらいの頻度です
モバP,おお、健全ですね
ちひろ,Pさんは？
モバP,私は一日一箱って感じですね。仕事の忙しさにもよりますけど
ちひろ,あら、吸い過ぎには注意、ですよ？
モバP,…気をつけます
ちひろ,隣、どうぞ♪
モバP,はい、失礼します
ちひろ,お仕事、大丈夫ですか？
モバP,何がです？
ちひろ,うちのプロダクションもどんどん人増えてきてお仕事の量も増える一方じゃないですか
モバP,まあ確かにそうですが、ちひろさんの方が業務量多くありません…？
ちひろ,私は事務所内で完結させられるお仕事ばかりですけど、Pさんは外回りや付き添いとか沢山動きまわりますよね？
モバP,言われてみれば…。でも大丈夫です。ちひろさんがこうして気にしてくれますから
ちひろ,そ、そうですか。(うぅ…！なんてカッコよさなの…！これで自分の魅力に気づいてないなんて！！)
モバP,そういえばちひろさんいつ上がったんです？てっきり帰ったのかと
ちひろ,上がったのは1時間半前くらいですかね。明日は業務的に少し楽なのでここでタバコ吸いながらノンビリしてました
モバP,なるほど
ちひろ,Pさんは付き添いから帰ったのは？
モバP,私は1時間前くらいなのでちょうどすれ違いですね
ちひろ,あ〜。Pさん来るなら待ってれば良かったですね♪
モバP,そんな。ちひろさんに悪いんで大丈夫ですよ
ちひろ,え〜？私だってPさんとゆっくりお話したいんですよ？
モバP,…ちょっと照れますね。ありがとうございます
ちひろ,いえいえ♪それにしても今日の付き添いは大変そうでしたね？
モバP,大変…ということもないんですが、志希とかフレデリカ、周子がずっとくっついてて暑かったですね。甘えん坊ですよ
ちひろ,ふふ、微笑ましいですね♪(三人の気持ちめっちゃ分かる)
モバP,特に周子は胸も揉んでくるもんで…。愛海といい勝負ですね、あれは
ちひろ,うーん、Pさんのは控え目に言っても結構なモノなので仕方ないと思いますけど…？
モバP,この会社入るまであんまりスキンシップするような人じゃなかったので恥ずかしいんですよ。それにこんなにあっても邪魔ですし…
ちひろ,おや、喧嘩ですか？
モバP,ごめんなさい、拳をおろしてください…
ちひろ,もう…。発言で敵を作ったらいけませんよ？
モバP,気をつけます…。ですけどちひろさんもそんなに無いわけじゃないですよね？
ちひろ,平均的なサイズ…ですかね
モバP,んじゃあ大丈夫ですよ。それに女は胸じゃありません！他が最高なんでちひろさんは大丈夫です！！
ちひろ,そ、そうですか。(んもぉー！なんなのこの人！！同性だけどオチちゃう！！！というか私ちょろすぎ！！！)
レナ,ん〜…っ！夜は涼しくなったわねぇ…
モバP,レナさん、お疲れ様です
ちひろ,お疲れ様です♪
レナ,あら、Pちゃんにちひろちゃん！お疲れ様！タバコ休憩中？
モバP,いえ、二人共上がって少しゆっくりしてたところです
レナ,あら、そうなのね。私も一服させてもらおうかな
ちひろ,レナさんも吸うんですね？
レナ,まぁね。ディーラーやってた時に先輩から勧められてそのまま！
モバP,この事務所、喫煙者少ないと思ってたけどそうでもないかもですね
レナ,こういうのは意外といるもんよ？特に年長者達！
モバP,どうなんですかねぇ…。そういえば今日はドラマの撮影でしたっけ？
レナ,そう！久々のディーラー服、楽しかったわぁ♪
ちひろ,スタッフや監修に来た現役ディーラーの方も絶賛って聞きましたよ！
モバP,軽くトランプで遊んだ時、素人目でも凄い技術だって感じましたもんねえ
レナ,うふふ♪ありがと！でも流石に現役の時に比べたら腕は落ちてるわよ〜。しかも監修のディーラーは私の後輩だったし！
モバP,凄い巡りあわせですね、それ
ちひろ,レナさんの後輩ですから、きっと凄いんでしょうねぇ
レナ,確かに上手くなってたけど、まだまだね。せめて私に一勝くらいしてもらわないと！
モバP,え、レナさん後輩に無敗なんですか？
レナ,もちろん！後輩どころか先輩ディーラーにも勝率高かったんだから♪
ちひろ,それは凄いですねぇ
レナ,これでも私、業界じゃそこそこ名は知れてたのよ？
モバP,なるほど。デビュー直後の人気の高さにもうなずけますね
レナ,二人はギャンブルやらないの？
ちひろ,あんまりですね。やっても確実に勝てる勝負しかやらないです
