・一部に100000000年惑星先生の,はるこ少女期
笑美,アイドルなってすでに４年……そろそろおとなっぽい服も欲しいなあ
モバP,スーツ以外の着用許可が下りたから俺も欲しい
笑美,へーそうなんや。じゃあ次のオフ、どこぞで待ち合わせしておでかけしよか
モバP,下野公園のポジ公前なんかどうでっか
笑美,ええな。じゃあそこで、１０時くらいに待ち合わせな！
ｶﾘｽﾏ店員1,侵入者だ！
ｶﾘｽﾏ店員2,いらっしゃいませえっ！！
笑美,おー威勢がええなあ
女,今日はどのようなお洋服をおさがしですか？。じゃあ、こちらのワンピースなんていかがですか
笑美,おっ、夏っぽくてええなあ。喧嘩売っとんのか！たしかに素人かも知れんが！
女,試着室はこちらになります
笑美,ほな合わせてみよか
女,サイズはいかがでしょうか！
笑美,はやいわ！まだ自分の服すら脱いどらんわ！！
女,お〜ぴったりじゃないですか！
笑美,試着室ってなんでいつもより服脱ぐの手間取りよるんやろ
女,サイズはいかがでしょうか！
笑美,だからはやいわ！ジャック・ニコルソンか！！
女,お似合いですよ！
笑美,お前には何が見えよるんや！バカには見えん服か！！
女,自分がバカだとようやく認めるんですね。服着ろよ
笑美,あの女店員マジ許さんわ……Pのほうはどうなっとんやろ
オスのｶﾘｽﾏ店員,私の今着てるやつとかどうですか？
モバP,あなたのお下がりはちょっと……
オスのｶﾘｽﾏ店員,え〜結構似合うと思いますよ
笑美,おもむろにボタン外すな！客に尽くすタイプの店員か！
オスのｶﾘｽﾏ店員,それ以外の店員がいるんですか？
笑美,さっきレディースのほうにおったぞ！あの女店員！！
オスのｶﾘｽﾏ店員,当ブランドには男性店員しかいないのですが
モバP,ちょっと何言ってるか分かんない。ん？
笑美,ん？
オスのｶﾘｽﾏ店員,？
笑美,まあええか。そんで、服は決まったんかいな
モバP,いつもママが選んで着せてもらってるから…。俺のママは１０代だぞこのババア！
笑美,誰がババアや！お前はそのババアのおかげで食ってけるんやろうが！
オスのｶﾘｽﾏ店員,他のお客様のご迷惑になりますので、帰っていただけないでしょうか
笑美,ええわ！じゃあな！！
