前川みく,15
Ｐ,今日も一日がんばりまっしょい……て。誰もおらんのかな、ちひろさーん？。んー、おらん……お？書置きが。ふむ、みくのご両親に挨拶か……ってか何でわざわざ広島でＡＴＭなんだろうか。まぁとりあえずみくに連絡入れてみっか、今の時間なら寮に居るだろう
ちひろ,うふふ……人間って凄いですよねぇ、中身がお金なんですもの……お値段つきますねぇこれは
Ｐ,おーみく、今日はみくＯＦＦだったよな？ちょっと今日開いてるか？。んな訳あるか。みくのご両親に近況報告へ行こうと思っててな、そっちも連れていきたいんだ。いや、俺が車出して出がけに拾っていくから、寮でそのまま待っててくれ。あいよー、んじゃＸＸ時ぐらいに門の前でな。んじゃこっちも支度して行くかいね。到着ー。あっこにおるな……おーい。あいよ、お待たせさん
みく,大丈夫にゃん、時間よりちょっと早いくらいだったし待ってないにゃん。それじゃあ、れっつにゃー！
Ｐ,しゅっぱつしんこーっと。みくのご両親に挨拶すんのもちょっと久しぶりってとこだな
みく,いつもはちひろにゃんが連れていってくれてたからにゃー。今日は違うの？
Ｐ,ちひろさんは今日は巴んとこのご両親に近況報告へ広島。だそうだ。んで一日おらんぽいので俺が頼まれたってことだ
みく,にゃるほど、でも今日だと多分……えーっとお父さんはお仕事で居ないかもにゃ
Ｐ,ん、そうなると母上殿に挨拶になるか。それでいいんかな、話通してるってちひろさん言ってたけど
みく,大丈夫だと思うにゃ
Ｐ,そか…まぁとりあえず向かうとするか。どうもー。モバプロのＰと申しますが
ｲﾝﾀｰﾎﾝ,あら！今日はお越し頂いてお手数お掛け致しますー。ささ、上がってください～
Ｐ,はい、それではお邪魔致します。どうもどうもご丁寧に。いつもお世話になっております
母,いえいえこちらこそ、家の娘がお世話になっておりますー、どうぞどうぞ上がって居間の方へ
みく,たっだいまにゃーん、お母さん元気してたー？
母,あら、おかえりなさいみくちゃん、お母さんは大丈夫よ。そっちも元気そうでよかったわ
みく,うんっ
Ｐ,ええと、それで今日伺ったのはみくさんの近況についてですが―――――。――と、まあここ最近も頑張っている所であります
母,そうですか。こうやってたまに顔も見せてくれますし、こちらとしては安心してこのままお願いしたいと思っております。ところで……話は変わるのですが
Ｐ,？何かおありでしょうか
母,仕事と周囲の人間関係は良好とのお話でしたが……その、Ｐさんとの間はどうなのでしょうか？
Ｐ,ええと……自分との間、ですか？。どう仰ればよろしいでしょうか……うーん……信頼関係は十分に築けていると自分では思っておりますが
母,うーん……そういう事ではなくてですね……ちょっとＰさんこのままお待ちになってくださいね。ちょっとみくちゃんー
みく,はいにゃー、何かにゃ？
母,ちょーっとこっちいらっしゃい？
みく,？
母,ね、みくちゃん。Ｐさんとはどこまでいったの？
みく,にゃっ！？ど、どこまでって……
母,おかあさんを甘くみちゃ駄目よー？何でもお見通しなんだから。Ｐさんの事気になってるでしょ？
みく,う”っ……にゃ、にゃんのことかにゃー？
母,とぼけても無駄よ？みくちゃんがＰさんの事じーっと見続けてたの分かるんだから
みく,…………。え、えっと……な、なんにもないよ？
母,ふーん、そっか。まだ何もないのね？
みく,う、うん……
母,……わかったわ。お母さんが一肌脱いじゃう、みくちゃんは安心して任せて！
みく,に”ゃっ！？何をするつもりなのかにゃ！？
母,いいからいいから。じゃあＰさんの所に戻りましょう？。ごめんなさいねぇお待たせしちゃって……さ、みくちゃんそっちにお座りなさい
Ｐ,あ、いえいえお気になさらずに。それで、先程のお話は……？
母,あぁそれならもう大丈夫ですよ。それよりも少しご相談したい事があるのですけど、よろしいかしら？
Ｐ,……？どういった内容でしょうか
母,ええ、その……
Ｐ,？
母,家の娘をＰさんの家で預かって頂けないでしょうか？
みく・Ｐ,ぶっ！？
みく,お、おかーさん！？
母,みくちゃんはちょっと黙ってましょうねー？
みく,に”ゃっ…………
Ｐ,と、突然何を仰るかと思えば……今はちゃんと寮に入って生活していますが……
母,それがねぇ～、主人の仕事が最近不景気でちょっと収入が下がってしまって～。娘のアイドル生活を支えるにもお金がちょっと足りなくて。寮の月賦も嵩んで大変なんですよ～
Ｐ,ええと……それならばご実家から通わせるようにすれば良いのでは……？
母,それも勿論考えたんですが、寮に入ってそのあと。娘の生活できるスペースを削ってしまっちゃって、今更戻せなくて困ってしまってるんです……。ですから！いっそのこと安心してお任せできるＰさんのお家にご厄介できればと
Ｐ,は、はぁ……ですが仮にも男一人の家に住まわせるというのはさすがに……
母,それは勿論！大切な娘を預けるなんてこんな事、信頼してお任せできるのは。Ｐさんが今まで娘の面倒をとても良く見て頂いたからなんですよ？。是非お願い致しますね～
みく,にゃ……Ｐチャンすごく必死に食い下がってるにゃ……。Ｐチャンはみくと一緒に住みたくないのかにゃ……
Ｐ,…………と、とにかくこの件はちょっと持ち帰って検討致します……
母,前向きに、が抜けてますよ～。よい返事しか耳に入りませんので～
Ｐ,はぁ……何故こうなった
みく,にゃー……
Ｐ,みくは何も聞いとらんのか
みく,一緒にびっくりしてたにゃ、初ネコ耳にゃ……
Ｐ,とにかく……ちょっと寮の皆にも話してみよう、いい案があるかもしれん
みく,…………
Ｐ,よし、着いたっと
みく,…………
高森藍子,16
Ｐ,お。玄関前の掃除か、ご苦労様だな。藍子
藍子,あ、おはようございますプロデューサーさん。今日はどうかしました？
Ｐ,あぁ、ちょっとな。ちょっと中に入って何人かと話をしたくてな
藍子,え”っ……
Ｐ,どうした？俺なんかまずい事言ったか？
藍子,あっ、いえ。ちょ、ちょーっとだけ。プロデューサーさんは。ここで待っててもらっていいですか？
Ｐ,ん？まぁ構わんけども……何かあったか？
藍子,い、いえそういうんじゃないですけど……と、とにかく待っててください！
Ｐ,…………何があった
藍子,ﾊｧ……ﾊｧ……お、お待たせしましたプロデューサーさん……ど、どうぞ
Ｐ,なんか息上がってっけど……大丈夫か？
藍子,は、はい私は大丈夫ですっ
Ｐ,ん……まあ談話室を使わさせてもらうぞ、それとちょっと木場さん呼んできてくれるかな。あと何人か来れそうな奴もおったら頼む。うっし、みくもちょっとそこに座りな。あとホレ、クッション
みく,にゃ……
藍子,はい、プロデューサーさんお茶をどうぞ
Ｐ,おおすまん、どれぐらい人が来てくれそうかな
藍子,えっと……私はこれから用があるので難しいですけど……。木場さんと、桐野さんと、中野さんと、十時さんと、智絵里ちゃんですね
Ｐ,ふむ……まぁ一気に皆に話してもアレだし丁度いいかもな
藍子,それじゃあ私はこれで失礼しますね
Ｐ,あいあい、また仕事んときよろしくな～
木場真奈美,25
桐野アヤ,19
中野有香,18
十時愛梨,18
緒方智絵里,16
Ｐ,急にすまんな集まってもらって、ちと相談したい事があってな
愛梨,一体どうしたんですか？……因みにここ暑くないですか？
Ｐ,はえーよ脱ぐな
木場,ふむ、用件があって呼んだんだろう。恐らく呼ばれていないがここに居る。前川君の事に関係するのかな
みく,…………
Ｐ,ええ、何人かに相談したいって事と。木場さんが寮でまとめ役してもらってるんで集まってもらった、と
木場,寮に関係する事だな、言ってみるといい
智絵里,えっと、わ、私も何かあるでしょうか……？
Ｐ,智絵里はみくと仲良く遊んだりしてたよな、ちょっとみくの事だから。聞いてもらった方がいいかもしらん
桐野,まぁ知恵欲しいってんならアタイもできる事ならするけど
有香,押忍！他ならぬプロデューサーの為なら何だってやります！
Ｐ,おう、助かる……んで率直に言うと。みくを俺の家で預かって欲しいと親御さんから頼まれた
桐野・有香・愛梨・智絵里,ええええっっっ！！？？
Ｐ,あぁ、うん……やっぱ驚くわな。あちらさんの都合で寮に預ける事が厳しくなってきた。且つ実家から通わせる事も難しい。んじゃ俺の家ならいいんじゃね？って思ったらしくお願いされた
智絵里,そ、そ、それって……みくちゃんとプロデューサーがい、いい一緒に
愛梨,ど、同棲するときってどこで脱いだらいいんだろう……
有香,いつでも稽古をつけてもらえる……！
桐野,別に住むとこ無くなんならテント張ればいいんじゃ……
Ｐ,相談相手として間違えた気がする
木場,ふむ、それで君の家に住まわせる以外の手段はあるか模索したいと。そういう事だな？
Ｐ,うぃ、仮に寮を出る事になるなら寮のまとめ役をやってもらってる木場さんにも。話をしないとならんので、このまま相談に乗ってもらったと
木場,しかし難しいね、寮の部屋は一人用だけだから相部屋なんて無理だし。他のアイドル達の実家組に頼るとなると親御さんが反対されそうだな
Ｐ,えぇ……ひたすらＰさんのご自宅で面倒を見て下さいって言われて
木場,…………
みく,…………
木場,……ふむ、前川君はどう思ってるのかな？
みく,にゃっ！？みくは……
木場,思うままに応えていいんだぞ、何よりこれは君自身の事なんだからね
みく,……みくは……Ｐチャンと一緒に住むの、嫌じゃないにゃ……
木場,……で、これは相談をする必要あったのか？
Ｐ,え？
木場,今前川君が了承したことで、家族共々了承されたという事になるワケだが
Ｐ,しかしこれは親御さんにも言ったんですが男の家に住まわせるなんて……
木場,君とて立場を弁えているだろう。責任を持って面倒を見ると思えるから不安は感じないが
Ｐ,…………
木場,それを共に寮生活していたとは言え、外部の人間がとやかく言える事は無いな。寮も空き部屋ができればそこに実家通いが大変な子を改めて迎えてあげれる。安部君辺りなら喜んで入ってくれるんじゃないかな
Ｐ,……………………
みく,Ｐチャン……
Ｐ,………あー分かった。相談なんてする必要なかったわ
みく,……！
Ｐ,まぁちっといきなりの事でびっくりしちまって。どうすんべ、と皆に聞いてもらおうとしてたけど。別に決まりきってた事か、いい案あるかなーってちと期待もしたが
木場,君が責任感ある人間だという事はこの場に居る全員がよく分かっている事だ
一同,うんうん
Ｐ,んじゃあ決まりか
木場,そういう事になるな
Ｐ,まぁよくよく考えりゃこないだ泊めた事もあるしなぁ
一同,…………………えっ
Ｐ,ん？
木場,ほう。その話は初めて聞いたな？。前川君が寮に戻ってこない日があってね。寮が大騒ぎになったんだが。因みに泊めた時、連絡入れたか？
Ｐ,あっ………
一同,………………………
木場,まあその後戻ってきたからよかったものの。連絡ぐらい、入れてもよかったんじゃ……ないのかね？
Ｐ,ええと、はい、すんませんっす……因みにその人差し指は……？
木場,少し君にお仕置きが必要だと思うんだ、今後の事を肝に銘じる事も踏まえてな
Ｐ,ぐはっ！？か、体がうごかな……！！？？
