体温計,38.0
P,ゴホッゴホッ、思いっきり風邪を引いてしまった……。最近、残業に徹夜ばっかりだったし昼と夜の寒暖さが大きい日が続いてたとはいえ、油断したなぁ……。加蓮たちにいつも風邪引かないように注意しろって言ってるくせに、なんて情けない……。はぁ……とりあえず、事務所には連絡したし、薬飲んで大人しく寝てよう。そうか、その前に何か食べなきゃ。冷蔵庫に何かあったかなっと。うげっ、何も入ってない。そういやここんとこ家で飯食ってなかったから忘れてた。さっき病院行ったときに何か食べるもの買って来るんだった……。ん、誰だろう。宅配便か何かかな？ゴホッゴホッ、はーい、今開けます
加蓮,はーいプロデューサーさん。北条加蓮だよ♪
P,加蓮っ！？ど、どうしてここに？
加蓮,プロデューサーさん風邪引いたって聞いたからお見舞いに来ちゃった
P,お見舞いにってお前、アイドルが一人暮らしの男の家に……わかってるのか？
加蓮,今日はオフだし。アイドル北条加蓮はちょっとお休み
P,そういうことじゃなくてだな。誰かに見られたらまずいだろう！
加蓮,大丈夫。マスクに帽子に眼鏡までして変装してるし、誰にもつけられてないか何度も確認したから
P,むしろ目立ってないか？
加蓮,はいはい、そんなに心配するんだったら早く中に入れてよ。誰かに見られないうちに
P,ああ、そっか……ほ、ほら、早く入って
加蓮,お邪魔しまーっす♪
P,…………。ふぅ、とりあえずは誰にも見られてないみたいだ。それより加蓮、いったい何考えてるんだ？風邪が移ったら大変だぞ。また倒れたらどうする？
加蓮,もうそんなにやわじゃないって。アタシが昔よりも丈夫になったこと、プロデューサーさんが一番良く知ってるでしょ？。それに、ちゃんとマスクだってしてるし家に帰ったら手洗いうがいもちゃんとする。殺菌スプレーまで常備してるんだから。自分の管理は自分でできるよ
P,そうは言ってもだな……
加蓮,もうっ。アタシがしたくてやってることなんだから口を挟まないでっ。今から帰れって言っても絶対帰らないから
P,わがまま言うなよ。加蓮のことを心配してるんだぞ？
加蓮,プロデューサーさんだってアタシがどれだけ心配して来たと思ってるの？少しくらいお見舞いさせてよ
P,加蓮……っ、ゴホッゴホッゴホッ
加蓮,ホラホラ、病人はこんなところに立ってないで布団に戻る！まだ熱も下がってないんでしょ？
P,ああもう、仕方ない。わかったよ。ただそこまで言うんだったら絶対に風邪は引くなよ
加蓮,わかってるって。わ、なにこれ。泥棒にでも入られたの？
P,いや、散らかってるだけだよ。ここのところ忙しくて片付ける暇がなかったんだ
加蓮,いつから片付けてないの？20年前？
P,……そこまで酷くないだろう？
加蓮,冗談だよ。そんなことより早くベッドに戻る
P,む……わかったよ……これでいいか？
加蓮,はい、よろしい。熱は何度あるの？
P,38.0℃だ。ついさっき計った
加蓮,あらら、割とあるね。寒くない？
P,ん、そういえば寒くはないかな。朝はもっとゾクゾクしてたのに
加蓮,ってことは下がり始めかな。でもまだ上がることもあるからあったかくしてるんだよ。喉は痛くない？
P,ちょっと痛いな。ゴホッゴホッ……このとおり、咳も出るからな
加蓮,じゃあ、はい。タオルを首に巻いて
P,タオル？どうして？
加蓮,首周りを温めて菌の繁殖を抑制するの。喉の痛みが和らぐよ
P,へぇ、そうなのか。わかった
加蓮,そういえば、病院は行った？
P,ああ、行ったよ。もちろん。これでも加蓮のプロデューサーだからな。インフルエンザだったらヤバいと思って
加蓮,ふーん。それくらいの意識はあるんだ。それで、なんて言われた？
P,ただの風邪だってさ。事務所にはもう連絡した。インフルエンザじゃないから大丈夫だって。もしそうだったら加蓮たちに感染してないか検査してもらうところだった
加蓮,それは良かった。他には何か言われなかった？風邪の原因とか
P,あー、最近の仕事とか生活とか聞かれて、過労による免疫力の低下が原因だろうって
加蓮,……やっぱり。そんなことだろうと思った。プロデューサーさん、最近休みを取ったのっていつだったっけ？
P,うっ……で、でも今はお前たちにとって大事な時期で、休んでる暇なんか……
加蓮,口答えしない。アタシのプロデューサーを名乗るなら自己管理にももっと気を使って
P,はい……
加蓮,まったく、ホントにアタシのプロデューサーか疑わしくなるよ
P,うっ……今のが一番心に来た……
加蓮,自業自得だよ
P,うう、なんだか今日の加蓮は妙に高圧的だな
加蓮,そうだね。アタシも体調崩したときにこんな風に扱われたんだよね、どこかの誰かさんに
P,……それってもしかして俺のこと？
加蓮,さぁ？人の体調のこと口うるさく言ってたのに自分のことは疎かにしちゃって風邪引くような人だった気がする
P,は、ははは、そいつはなんとも間抜けなやつだな。でも不思議だな、俺はそいつのこと良く知ってる気がする……
加蓮,……はぁ。ごめんね。お見舞いに来たはずなのに責めるようなことばっかり言っちゃって。しんどいのは良く知ってるはずなのに
P,いいさ。ホントのことだ。俺もこれまでのこと反省するよ……あ
加蓮,ふふっ。本当に反省してる？
P,まぁ、そうだな、俺は反省してるよ。グゥの音は出てるけど。……悪い、実のところを言うと寝てばっかりで何も食べてなかったんだ
加蓮,はいはい、そんなことだろうと思ったからいろいろ買ってきたよ。ゼリーにプリンにポカリに……。それより、もっとお腹にたまるものの方がいいみたいね。おかゆでも作るよ
P,おかゆって……作れるのか？
加蓮,あんまりアタシを見くびらないの。おかゆくらいアタシにだって作れるよ。材料も買ってきたし
P,ホント、助かるよ。俺なんかのこと心配していろいろ買ってきてくれて、おかゆまで……ん？。そういえばどうやってうちまで来たんだ？俺、うちの場所教えたことなかったよな？ちひろさんが教えるわけないし……
加蓮,さーってと、腕によりをかけて作っちゃいますか！キッチン借りるね
P,加蓮さん？聞いてます？
加蓮,はい、できたよ。おまたせ
P,ああ、ありがとう。よっと……
加蓮,あ、動かなくていいよ。食べさせてあげる
P,え？
加蓮,ふーっ、ふーっ、ふーっ
P,そんなことまでしなくていいって。自分で食べられるよ
加蓮,ほらほら、遠慮しないの。現役女子高生アイドルからふーふーしてもらえるなんて貴重な体験なんだからね、プロデューサーさん
P,今日はアイドル休みなんじゃなかったのか？
加蓮,おっとそうだった。じゃあ現役女子高生から……これだけだともっとアブナイか
P,やめなさい。はぁ……こんなこと、絶対外には漏らさないでくれよ？
加蓮,わかってる。二人だけの秘密……ってね♪はい、あーん
P,ったく……あーん
加蓮,どう？おいしい？
P,ん……ちょっと、聞くのが、早い。ｺﾞｸﾝ……うん。おいしい
加蓮,あはっ、よかった。これね、アタシが寝込んだときにいつもお母さんが作ってくれるやつなんだ
P,へぇ。じゃあ加蓮の家庭の味ってわけか
加蓮,そういうこと。それがおかゆって言うのもちょっと味気ないけどね。はい二口目
P,ちょっと待って。やっぱり恥ずかしいから自分で食わせてくれ
加蓮,ええ～。今日はプロデューサーさんのお世話するつもりで来たんだよ？
P,充分。充分世話してくれてるよ。だからこれくらいは、さ
加蓮,もうっ。仕方ないなぁ。じゃあはい、スプーン
P,ありがとう。……ふーっ、ふーっ
加蓮,……ふふっ
P,ん、なんだ？
