光の勇者,以下、勇者
大地の魔女,以下、地女
勇者,お前な……楽しい話じゃないだろ
地女,では、早速だが！。大地の魔女という美少女は仮の姿！。この俺は、魔王軍四天王が一人――地の四天王なのだ！
勇者,楽しそうに話すんじゃねえってんだよ！！
地女,本来の姿は、鍛え上げられた鋼の肉体を持つ男の中の男！
勇者,女の敵の間違いだろうが
地女,何を言う、光の勇者よ
勇者,……あん？
地女,俺は、ただ酔ってヤっちゃっただけなのだ。あまり人聞きの悪い表現はやめて貰おう
勇者,どう聞いても人聞きが悪いわ！！。酔って色々と手を出して逃げて来た奴が、よくもまあ……
地女,まあ、何とかなるだろう！
勇者,お前、どうしてそんなに前向きなんだよ！？
地女,知れたことよ。……光の勇者。敵とは言え、頼りにしているぞ
勇者,お前の、その俺への信頼は何なの！？。姿を変えてるとは言え、魔王にはバレたんだろ？
地女,ああ、魔王様の魔眼は欺けなかったのだ
勇者,……お前、よく殺されなかったな
地女,バレて影に引きずり込まれた時は、肝を冷やしたぞ！。だがまあ、今後はちょこちょこ会いに来るそうなのだ。――余とお前、二人だけの秘密だな。……と、嬉しそうに笑っていた。魔王様もお喜びのようで、俺も鼻が高いわ！
勇者,勇者パーティーと魔王城で遠距離恋愛すんじゃねえよ！！。っていうか、剣の乙女と火の四天王はどうするんだ！
地女,どう、とは？
勇者,なんでキョトンとしてるんだよ！？
地女,何を言っている。酔っていて、俺もほとんど覚えていないのだ。それに、どちらもヤっちゃった時、俺は女の姿だった。加えて、俺が地の四天王だとは気付かれていない。まあ……女同士なら、セーフだろう！うむ、セーフ！
勇者,放ったらかしにしとくつもりかよ！？。それに、他にもまだ居るだろう！
地女,ああ、だが……水の四天王ならば心配ないぞ
勇者,いや、お前……この状況を知ったら怒り狂いそうだって
地女,まず、間違い無く俺の命を狙ってくるだろう。――だが、案ずるな！光の勇者よ！。お前の聖剣と光の加護！。祝福の聖女の支援と回復！。剣の乙女の圧倒的な剣技！。そこに！この俺が加われば……恐るるに足りん！
勇者,お前、その発言最悪すぎるぞ！！
地女,地は水に有利とは言え、万が一もあるからな！
勇者,絶対に手は貸さないからな！？
地女,何！？仲間を見捨てるというのか！？
