エイプリルフール記念,？
周子,……
モバＰ,以下Ｐ
周子,…………
Ｐ,…………
周子,……Ｐさん構ってよー。折角早起きして午前中に来たのに暇でしょうがないよ。これじゃあ三文どころかちっとも得しないし
Ｐ,仕事は夕方からだっていうのに、スケジュールを間違えたお前が悪いんだろうが
周子,あー、そういうこと言う？！そんなこと言うＰさんなんてキライ！
Ｐ,
周子,まあそんなの当然嘘なんだけどね……って、あれ？Ｐさん、なんで白くなってんの？！
Ｐ,
周子,嘘だよ嘘！今日はエイプリルフールじゃん！だから戻ってきてー！
Ｐ,……あ、そうか、今日はエイプリルフールか……。よかった嘘で……ホント良かったわ……
周子,こっちもＰさんが戻ってきて良かったよ。一体どうしたのかと思った
Ｐ,担当アイドルに嫌われることほど辛いことはない……
周子,あー、なるほどね……。あたしＰさんのこと割と好きだからさ、そこは心配しなくていーよ
Ｐ,それも嘘じゃないだろうな……？
周子,ちょっと疑心暗鬼すぎない？！。さっきのはやりすぎだったけど、嘘ついて遊ぶの楽しいかも。折角の機会だし遊んでよ
Ｐ,仕事しながらでも良ければな
周子,実はあたし京都出身じゃないんだー
Ｐ,この前紗枝はんと一緒に京都の旅番組に出て、思いっ切り地元トークしてただろうが
周子,凄い楽しかったよ！またああいう番組に出れたらいーなー
Ｐ,また取ってきてやるから楽しみにしてろ
周子,やった！。実はあたし週休８日なんだー
Ｐ,毎日色んなとこから引っ張りだこの人気アイドルだけどな
周子,そこは優秀なプロデューサーがいますから！
Ｐ,それも優秀なアイドルがいてこそだけどな
周子,実はあたし狐の妖怪で人間に化けてるんだー
Ｐ,お？そうなのか。じゃあ尻尾はここら辺に隠れてるのか？
周子,セクハラ
Ｐ,すんません
周子,全く、もう。許可もしてないのに勝手に触らないでよ
Ｐ,許可があったら触っていいの？
周子,セクハラ
Ｐ,すんません
周子,実はあたし和菓子が嫌いなんだー
Ｐ,そうなのか。この前上等な羊羹貰ったから一緒に食べようと思ったけど、それなら独り占めしよう
周子,待って、嘘だから！エイプリルフールだから！
Ｐ,給湯室の上の戸棚の三段目に置いてあるから取って来い
周子,やったー！。羊羹美味しい
Ｐ,それはなにより
周子,次はさ、エイプリルフールってことで逆に今まで嘘ついてたのを告白するんだけどさ
Ｐ,うん？なんだ？
周子,こっちでＰさんに拾われた時に家出中だーって言ったけど
Ｐ,言ってたな
周子,あれ実は嘘で、ホントは親公認で東京へ一人旅に来てたんだー
Ｐ,え？そうなのか？
周子,という設定に塩見家ではなっており、家出してた事実は抹消されてる
Ｐ,嘘だろ？！
周子,お互いに失敗を認めたくなくて……ね……？だから実家では不自然なほど家出の話題は出ないでしょ？
Ｐ,嘘だと言ってくれよ！闇が深すぎるだろ……
周子,まあ嘘なんだけどね
Ｐ,嘘なのかよ！
周子,だって今日はエイプリルフールだよ？嘘に決まってるでしょ
Ｐ,嘘でよかった……安心した……。家族の仲が不穏な塩見家はいなかったんだな
