モバP,あはは、そもそも俺の家にそんなもんあるわけないし実験にならないぞ晶葉も案外抜けてる所があるんだなｗ
晶葉,…………。笑い事ではないぞ助手よ
P,へ？
晶葉,助手は今やアイドル界を騒がすシンデレラガールズ、そのプロデューサーだ。他のプロダクションの連中がスキャンダルのネタを拾うために助手の部屋に盗聴器を仕掛けている可能性は充分ありえるぞ
P,い、いや…まさかそんな…
晶葉,ここは一度家宅捜索をした方が良い、そのための盗聴器発見器だ
P,うーん…そこまで言われると不安になってくるな…。それじゃ晶葉に頼んじゃっても良いかな？
晶葉,フッ、助手のプライバシーを護るのも私の役目だ
P,アイドルを護るのがプロデューサーの仕事なんだがなぁ…
晶葉,持ちつ持たれつ、だ
P,ありがとう、助かるよ。着いたぞ、上がってくれ
晶葉,うむ、お邪魔する。これが男の一人暮らしの部屋か…
P,ふ、服とか散らかってるからあんまり見ないでくれ…
晶葉,…それでは早速始めるとするか
P,スマホみたいに小さいんだな盗聴器発見器…。意外と広いけど大丈夫か？
晶葉,見くびるなよ助手、既に目星は付いている。盗聴器とて電子機器、電気が無ければ動かん。盗聴器は一般的にコンセントや電池で動くものに仕込まれることが多い。故にまずは部屋中のコンセントをしらみつぶしに探していく
P,なるほど…
晶葉,……。！
P,あ、晶葉？
晶葉,かかったぞ！
P,マジかよ…本当に盗聴器が…
晶葉,こいつが盗聴器だ
P,随分小さいな…これだけで盗聴できちゃうのか
晶葉,科学の進歩さ…とはいえこれだけで助手の部屋全てをカバーしきれるとは思えん。もう何個かあると考えておいた方が良い
P,まるでゴキブリだな…
晶葉,ふぅ…居間だけで3個か、大漁だな助手よ
P,うっ…まさかこんなに出てくるなんて…
晶葉,言ったとおりだったろう？
P,くそっ、こんなことするなんてどこのプロダクションだ！
晶葉,元がどこかは追々調べよう、まずは一刻も早く盗聴器を根絶するべきだ
P,あ、ああ…
晶葉,トイレに1個、風呂場に2個、洗面台に1個、台所に3個、寝室に3個…人気者だな助手よ
P,き、気分悪くなってきた……
晶葉,無理も無いな、私もここまで大量に仕掛けられてるとは思わなかった。どうやらCGプロを嗅ぎ回るプロダクションは1つ2つじゃ済まんようだ
P,…明日社長とちひろさんに報告して会議をやるべきだな
晶葉,コンセントやライトに仕掛けられた分でこれほどとは…。流石にこれ以上は無い、と思うが……。まだ、何か……。…おや、これは珍しいな…助手がこんなものを飾っているとは
P,あぁ…アーニャがくれたんだ、日頃のお礼に、ってな
晶葉,マトリョーシカ…人形の中に人形が入ってるロシアの民芸品か、アナスタシアらしいな
P,可愛いだろ
晶葉,まさか……な、だが……。………。！？
P,な、何だ！？まだ盗聴器があったのか？
晶葉,あ、ああ…マトリョーシカの中だ！。…電池で動くタイプだ、まだ生きているようだ
P,アーニャのマトリョーシカに盗聴…器。あ、アーニャは良い子だからそんなことしない！くそっ、悪徳プロダクションめ、アーニャがくれたものに盗聴器を仕掛けるなんて許せない！
晶葉,こ、これは……。…念の為にもう一周しておこう、見落としがあるかもしれない
P,え、まだ盗聴器があるかもしれないのか？
晶葉,ああ…どうやら敵の方が一枚上手だったようだ…。まさか身内に犯人がいるかもしれないなんてな。おや、この目覚まし時計随分と高そうじゃないか
P,あぁ…それは6月にジューンブライドの仕事に行ったとき加蓮が買ってきてくれたんだよ
晶葉,……。クロだ……目覚まし時計の電池から電力を共有するタイプだな。助手が電池を取り替える限り動き続ける
P,
晶葉,テディベアとは…随分と可愛らしい趣味だな？助手よ
P,それは誕生日に桃華がくれたんだよ、何でもどっかの国じゃ誕生日にテディベアを送る週間があるらしくて……
晶葉,……。っ
P,お、おい晶葉？
晶葉,こいつ…片目に小型カメラが仕込まれてるぞ
P,
晶葉,このタブレット端末は…
P,あ、ありすが新型を買ったからお下がりとして俺にやるって…
晶葉,……。こいつも本体のバッテリーから供給するタイプだ…充電器にも改造されて盗聴器を仕掛けられている
P,
晶葉,ﾊｧ…ﾊｧ…この、アロマポットは…
P,り、凛が花の香りはリラックスに良いからって……。
晶葉,こ…これで全部…か
P,……
晶葉,じ、助手？
P,…アイドルの皆からの贈り物に盗聴器が仕込まれてるなんて…冗談キッツイよな……
晶葉,相当参ってるな…。か、考えるのは今は止めよう！ほらベランダに出て風に少し当たろう、うん！
P,う、うん…。ふぅ…風が気持ちいいな
晶葉,あぁ…部屋にこもりきりだったから考えが悪い方向へと向かうんだ。見晴らしが良いと気分が晴れる…ん？。ときに助手よ、ベランダの正面に見えるあそこの建物は何だ？
P,あれ？この間建てた第5女子寮だよ
晶葉,。…おい助手、部屋に戻ろう
P,えっ？どうしたいきなり
晶葉,いいから窓を閉めてカーテンも閉めるんだ
P,ちょっ、まだ明るいじゃないか。どうしたんだ晶葉
晶葉,まさか…いやだがありうる…。よく聞け助手よ、盗聴する手段は何も先ほどまで我々が必死に探していた盗聴器だけでは無いんだ
P,というと？
晶葉,我々はこうして会話出来るのは発した声が空気を振動させて伝わるからだ
P,お、おう…
晶葉,そしてこの部屋での会話は空気の振動により窓ガラスまで伝わる
P,つまり…どういうことだってばよ？
晶葉,あるのだよ…窓ガラスの振動から部屋内の音を拾う方法が
P,ファッ！？
晶葉,だがこれには相応の機材が必要だ、素人がおいそれと手を出せる方法じゃない…。幸いこの方法はカーテンを閉め切れば対処できる、窓ガラスまで会話が伝わりにくくなる
P,もうあのベランダは使えないな…外を眺めながら一杯飲むのが楽しみだったのに……
晶葉,そう言えば…。この部屋の両隣には住民はいるのか？
P,え？うーんと…そういや住んでなかったような…
晶葉,…こういったマンションでは壁を介して隣人の盗聴をする方法もあるんだ
P,お、おい！嘘だろ！？
晶葉,今まで無人だとすると…ｺﾞｸﾘ
P,い、いくらなんでもありえないって
晶葉,ここまで来たら最後まで確かめる必要がある…
P,でもどうやって確かめるんだよ
晶葉,…ピッキングでこじ開ける、なぁに20秒あれば充分だ…鍵穴が少々歪むがな。助手は見張りを頼む、アイドルがピッキングしてましたなんてバレたら干されるだけじゃ済まん
P,くっ、
晶葉,よし開いた！
P,あ、晶葉！
晶葉,………。…助手、今すぐここを引き払った方が良い
P,え、何？
晶葉,助手は見ない方が良い…きっと反対側の部屋も同じだろう
P,ねぇ何があったの？ねぇ？
