桐野アヤ,ただいまー
Ｐ,行ってきました
千川ちひろ,お疲れ様です。どうでしたか？
Ｐ,ええ。まあ……
ちひろ,？
工藤忍,アヤさん、お疲れ様。どうだった？打ち合わせ
アヤ,ダメだったー
忍,ダメだったって。そんなバッサリ
アヤ,あーダメだったよーダメだったんだよ忍ー。助けてくれーアタシには無理だー
忍,えええ
ちひろ,ダメだったんですか？
Ｐ,いや、別に駄目だったというわけでもないんですが
南条光,とうっ。アヤさん、あなたから困っている音がするぞ！
アヤ,どんな音だそれ
光,大丈夫だっここにヒーローがいる！困っているなら、いつでもアタシを呼んでくれ！
アヤ,上がタンクトップ一枚のアンタの方こそ困ってないか？
杉坂海,こら光、破いたこれ、ウチが縫い終わるまでおとなしくしてるって約束、忘れたのかい？
光,ああ、海さん、す、すまない。すまないから直してくれ
アヤ,ヒーローは行方不明みたいだな
Ｐ,今度やる握手会の打ち合わせだったんですが
ちひろ,ええ
Ｐ,衣装が可愛すぎて、それに見合った、可愛い台詞とか、振る舞いとかできないって
ちひろ,そうなんですか？
アヤ,また破いたのか、光。今度はなにしたんだ？
光,ま、またというほどよくやってるわけでは
海,子どもが飛ばしちゃった風船を取ってあげようとして、木の枝にひっかけたんだって
アヤ,へえ
光,名誉の負傷だ！
アヤ,へー
海,ほー
光,あああごめんなさいごめんなさい、だから海さん、ヒーローマークの代わりにかわいいアップリケを付けようとするのはやめてくれ……
海,どうしよっかなー
アヤ,ははは。ほら、風邪引くから、アタシのでよければパーカー羽織りな
光,あ、ありがとう。……はっ助けるつもりが助けられてしまったぞ！？
アヤ,あははは
ちひろ,ああ……。ふふ。アヤちゃん、もちろん可愛いですけど、カッコいいところもありますからねぇ
Ｐ,まあ、そうなんですかね。アヤはちょっと考えすぎるところがある気がします
ちひろ,ええ
槙原志保,お疲れさまです、アヤちゃん。はいっ
アヤ,あむ。お疲れさふぁ
志保,疲れたときには甘いもの♪定番ですよー
アヤ,……。まあ、それはそうだけど、いきなり入れるな
忍,アヤさん、志保さんにはそれいってもむららふぉ
アヤ,す、すごいことになってるな
志保,忍ちゃん、お勉強は頭を使って、糖が不足します！だからよく甘いものを補給しないと♪
忍,もごご
アヤ,それ、勉強の邪魔になってないか？大丈夫か？
Ｐ,もうちょっとほかのみんなを見習って気楽にやってくれるといいかなと思うんですが
ちひろ,それはそれでゆるすぎる気も……
志保,はいっプロデューサーさんもお疲れさまです♪
Ｐ,おつふぁれふぁま。あいふぁとう
ちひろ,やっぱりゆるすぎ
忍,けぷ。大丈夫。最近は志保さんにいろいろ甘いものをもらうことも計算して、間食の量、調整してるから
アヤ,お、おお……。さすがだな。……さすがだなぁ
忍,な、なんで二回も言ったの？
海,じゃーん
光,ああっ。かわいいのにするのはやめてくれって言ったのにー！かわいい！これかわいいぞ海さんっ
志保,あ、私が作ったパフェのアップリケだね
海,へへ。志保のこれ、可愛くてさっ。さっそく使わせてもらったよ
光,うわーん
アヤ,楽しそうだな
忍,そうだね
アヤ,いや、ほら、なあ。忍はアイドルに真剣で、真面目で、さすがだなあってなあ……
忍,いや、別に……それはまあ真剣だけど。アヤさんだって、真剣でしょ？
アヤ,っと、それはもちろんだぜ！
忍,まあ“だぜ”はアタシが思うアイドルの言葉遣いではないけど
アヤ,ぐふぅ
海,なーんてっ。じゃーん
光,おおお！パフェがわれて新しいヒーローマークが……！へ、変身だ、変身かこれは海さんー！
志保,ぱ、パフェー
アヤ,人が悩んでる横で楽しそうだな……
忍,そうだね
アヤ,そうそう、そういうところなんだよ……
忍,ん？
アヤ,教えてくれ。忍。アタシはどうしたらもっと可愛らしい、アイドルらしいアイドルになれるんだ
忍,いや、アヤさんはそのままでいいんじゃ
アヤ,そういうのは聞き飽きたんだよーなあなあ教えてくれー
忍,わあわあ
Ｐ,こらアヤ。忍をいじめるな
アヤ,いじめてねーよ！
忍,きゅう
アヤ,あ、やべ強く揺すりすぎた
Ｐ,いじめ反対ー
アヤ,いじめてねーって！
Ｐ,ぐふぅ
忍,か弱い少女の演技でしたー。へへっ
アヤ,可愛いちくしょう
光,ぷ、プロデューサー！
海,藪蛇だね
Ｐ,ひどい……あ、志保さん志保さん、ちょっといまほんとに痛がってるからパフェ食べさせようとするのやめてそれ万能薬とかじゃないから
アヤ,…………
Ｐ,お疲れ様
アヤ,あ……。おう
Ｐ,表情固いぞ
アヤ,お、おう
Ｐ,緊張してるって顔だな。握手会だぞ。もっとリラックスしないと、ファンが怯えちゃうぞ
アヤ,う、うるせえ
Ｐ,せっかく事務所のみんなも参加してくれることになったんだからさ。いつも通りでいいんだ
アヤ,お、おう。…………
光,今日はありがとう！えへへ。ヒーローなのに会いに来てもらっちゃったな……。今度はきっと、アタシが助けに行く番だね！
忍,へへっ応援ありがとう。わ、この間がアタシがモデルのお仕事で着た服！着てくれたんだね。嬉しいな
海,ん、お姉ちゃんにプレゼント……？わあ、かわいいリボン。お揃いかー。アリガトねっ。どうっ似合うかな？
志保,いらっしゃいませ♪……あっ、違いましたね。あはは……。え？違わない？そうですかっ？じゃあもう一度！いらっしゃいませー……え、えへへ。あらためてやると、なんだか恥ずかしいですね……ふふ♪
