モバＰ,もしかして俺のことか？
諸星きらり,そうだにぃ！
Ｐ,あっはっは！…冗談だろう？
きらり,冗談じゃないにぃ☆
Ｐ,。ＯＫ。俺は所帯を持った覚えはないし、捨て子を拾ったり養子をもらったりしたこともない。からきっとあだ名みたいなものなんだろう。なのでなぜ俺がパピーと呼ばれるのか、説明を所望する！
きらり,にゃは☆パピーちゃん意味なくカッコいー☆ヤバーい☆。えっとね、んっとね？なんでＰちゃんがパピーちゃんって呼ばれてるのはねぇ？
仁奈,Ｐがキグルミを着るからですよ！
Ｐ,まさかのパピー(パパ)じゃなくてパピー(パペット)！？
仁奈,Ｐが人形の気持ちになるですよ
Ｐ,待て待て待てぃ！。キグルミ着ても俺は人形にならんぞ！
きらり,パピーちゃんが着せ替え人形になれば問題ないにぃ☆
Ｐ,
仁奈,パピーが着せ替え人形になりやがりますか！？仁奈の衣装を持ってくるですよ！
Ｐ,え、ちょっとお前の衣装ってほぼキグル…待て！行くな！仁奈待ってくれえぇー！。？
早苗,はぁい♪パピーくん？
Ｐ,
早苗,なんかおねーさん、いたいけな子に自分のことをパピーと呼ばせてるダメな人を捕まえた気がするなー？
Ｐ,誤解だああぁぁぁぐぐぐぐぐぐ…
きらり,きゃー☆パピーちゃんピーンチ☆
早苗,んふふ♪冗談よじょーだん！
Ｐ,っはぁ！冗談で落とそうとする人がいるか！
早苗,きらりちゃん？今度はあなたがパピーくんにしてあげて？
Ｐ,やめてください死んでしまいます
きらり,にょわー☆パピーちゃんはぴはぴすぅ？すぅ？
Ｐ,また今度な！また今度！。そういえば早苗さんも俺のことパピーって呼ぶんだな
早苗,あら、なにか問題？
Ｐ,問題しかない、歳を考えてくださいいやぁパピーってどこからきたのか聞きたいだけですよ
きらり,パピーちゃんパピーちゃん、本音と建前が逆になってるにぃ☆
Ｐ,あがががががががが！
早苗,なんか今晩酔いたい気分になってきたなー？
Ｐ,ギブギブギブギブ！今晩付き合うから！
早苗,付き合うから？
Ｐ,ご相伴させてくださいお願いします！
早苗,よしおっけー！
Ｐ,おごごごご…
仁奈,あっ！パピーがボロ雑巾みたいになっていやがります！？
早苗,Ｐくんがパピー(子犬)だって聞いたから来たけど言わないほうがいいわよねぇ
仁奈,おねーさんたち！パピーが動けない間にオオカミのキグルミ着せるの手伝ってくだせー！
早苗,子犬で間違ってなかったわ
きらり,了解にょわー☆
Ｐ,ぜええぇぇぇい！
仁奈,起きやがりましたか！おとなしくこれを着るですよ！
Ｐ,はっはっはぁ！だぁれがおとなしくパピー(人形×子犬)になるもんかぁ！
早苗,あっ、逃げた
仁奈,待ちやがってくだせー！
きらり,きらりもパピーちゃんと鬼ごっこすゆー！
早苗,若いわねぇ…あたしは飲みの約束があるからいいや
Ｐ,ふぅ…ここらで一息つくか…
夏樹,あれ、Ｐさんこんなとこでなにしてんだ？
Ｐ,おおぅ！って夏樹かなんだ
夏樹,うっわなにその反応、傷つくよ？
Ｐ,すまんすまん、ちょっと追われててな
夏樹,まーたなんかやったんだろ？あたしは知らないけど
Ｐ,なんもやってないんだけどなぁ
夏樹,まぁまぁ、なんだっけ？Ｐさんがパンピーだって聞いたんだけどそれかな？
Ｐ,一般ピーポゥ！？
夏樹,んー、ちょっと違う気がするけど多分そんなとこ
Ｐ,俺は今のところパピーと呼ばれてるらしいんだが
夏樹,あぁ！それだそれ！。確かちひろさんがそれ言ってたんだよ
Ｐ,あんの事務員よぉ！。ちっ、もう来たか！そんじゃ夏樹またな！
夏樹,え？あ…行っちまった
Ｐ,千川ちひろはおるかぁ！
早苗,あ、おかえりー
茜,おはようございます！プロデューサー！
Ｐ,おう茜おはよう！つーかちひろさんいないのか…
早苗,すぐもどるって言ってたから待ってたら？アイス食べましょ
Ｐ,それもそうだな
茜,あずきバーとガリガリくん、どっちにしますか？
Ｐ,俺あずきバー
早苗,あたしもー
茜,はいっ、それではどうぞ！
Ｐ,うまいな。やはりあずきバーは外さねぇ
早苗,ほんとにねぇ
茜,ガリガリ君もおいしいですよ！
Ｐ,…そういや茜は俺のことパピーって言わないんだな
茜,パピー？
Ｐ,あぁ、なんか今日きらりやみんなが俺のことをそう呼ぶんだ
茜,えぇー！？どうしてですか！？
Ｐ,夏樹から聞いた話だとちひろさんが言ってたらしい
早苗,そうなの？あたしは他の子が言ってるの聞いておもしろそうだから言ってたんだけど
茜,おもしろそうだからで言っちゃプロデューサーがかわいそうですよ！。こんなにもプロデューサーはわたしたちのためにがんばってくれてるのにパピーなんて言わせません！
Ｐ早苗,…ん？
Ｐ,まて、落ち着け茜。落ち着いてパピーの意味を教えて欲しいんだが
茜,パピーって生意気な青二才ってことですよね！…間違ってましたか？
Ｐ,あー、なるほど。その意味も確かにあったわ
早苗,茜ちゃん、あたしたちは父親の愛称だったり人形だったりの意味でパピーってＰくんを呼んでたから誰も青二才とか思ってないわよ？
茜,えっ！あー…走ってきまーす！
Ｐ,恥ずかしさのあまり逃げたか
早苗,かわいいじゃない
ちひろ,ただいまもどりましたー
早苗,おかえりー
Ｐ,てぃひろすわーん？
ちひろ,なんですか…気持ち悪い呼び方しないでください…
Ｐ,この事務員は心を折りにくる…泣きそう
早苗,大丈夫よＰくん、あたしからみてもキモかった
Ｐ,泣こう
ちひろ,やめてください。ただでさえ蒸し暑いのに湿度を増やさないでください
Ｐ,部屋の湿度まで気を遣うとかまじでこの人しんせつだよ！
早苗,親切じゃなく心折ね
ちひろ,さっき外を茜ちゃんや仁奈ちゃんを乗せたきらりちゃんが走ってましたけどまたなにかしたんですか？
Ｐ,夏樹にも似たようなこと言われたけど俺ってそんなにいつもなにかしでかしてる？
ちひろ早苗,ええ
Ｐ,がー！俺の味方はここにいないのかー！
ちひろ,ひどいですねぇ、私はプロデューサーの味方ですよ？
早苗,あたしもだぞー。あっ、このあとＰくんと飲みに行くけどどう？
ちひろ,いいんですか？なら私も参加させていただきますね
Ｐ,ああもうくそう！こうなったら今日は飲むしかねぇ、早く仕事終わらしてやらぁ！
早苗,がんばってねぇ
ちひろ,私もがんばりますか
きらり,ただいまにぃ！
茜,もどりました！
早苗,みんなおっかえりー
仁奈,パピーはいるでごぜーますか！
夏樹,たぶんいるだろー。おーい、パピーさーん
きらり,パピーちゃーん☆
ちひろ,…プロデューサーさんは夏のせいで浮かれてたりします？
Ｐ,ひどいな突然
ちひろ,だってなんでアイドルの子達にパピーなんて呼ばせてるんですか！。仁奈ちゃんが言ってるなんてほぼレッドゾーンですよ！
Ｐ,ちひろさんが俺のことパピーって言ってたからみんな真似してんだよ？
ちひろ,えぇ！？
Ｐ,嘘じゃないよ。なぁ？
夏樹,ん、ちひろさんが言ってたの聞いた聞いた
きらり,きらりも聞いたにぃ☆
ちひろ,えー…言った覚えないんだけどなぁ…。パピー、パピー…うーん…あぁ！わかりましたよ！。パピーではなく、PaPって！！
