小日向美穂が化け狸だったというシリーズ,こひなたぬき
ちひろ,っん～～～……午前の業務はこんなところですかねぇ
Ｐ,ふぅー、さてメシだメシだっと
ちひろ,それじゃ私ちょっと食べてきますね
Ｐ,あ、俺も行きます
ちひろ,はぁ？
Ｐ,はぁ？て
ちひろ,だってあなた、慕ってくれる美少女アイドル四人から日替わりでお弁当貰う超絶いいご身分なんでしょ？
Ｐ,ぐぅッ、言葉の棘が全身に突き刺さりやがるぜ……！！？
ちひろ,あら？そういえば今日は机にお弁当箱の包みが無い……。まさか飽きたなんてことないだろうし……。…………あ！ついに四股かけて愛想尽かされたとか！？
Ｐ,違ぇよ！！冒頭からなんてこと言うの！？。いや、そりゃ四人とも都合のつかない日くらいありますよ。響子は早朝から魚河岸のロケだったし
ちひろ,ああ、道理で今朝二人ともやたら早かったんですね
Ｐ,美嘉は莉嘉が風邪引いちゃったから看病してて
ちひろ,最近冷えますからねぇ
Ｐ,まゆは自分が風邪引いちゃって
ちひろ,かよわい
Ｐ,美穂はめっちゃ寝坊したそうです
ちひろ,あ～……お布団の誘惑が強まる季節……
Ｐ,というわけで、そりゃあ仕方が無いわと
ちひろ,ははーん。それでこの美少女事務員とランチを一緒にしようと……まったくつくづく役得な人なんですから
Ｐ,あーはいはい腹減ったから早く行きましょうや
ちひろ,ちひろチョップ！
Ｐ,グワーッ！
ちひろ,えぇ～、カフェお休みですか！？
Ｐ,あるんですねそんなこと……ていうか帰省するんだ
ちひろ,ウサミン・ランチが食べられないなんて……私あれ好きなのに
Ｐ,うーん、しかし今から外に出るにも時間が無い……
ちひろ,となれば…………
Ｐ・ちひろ,…………社食。いやいやいやいやまさかまさかまさか
Ｐ,あそこ入社したばっかの頃入ったけどぶっちゃけマズかったし
ちひろ,カツのお肉がティッシュみたいに薄っぺらいし
Ｐ,味噌汁に得体の知れないモン入ってるし
ちひろ,……うちって結構大手な筈なんですけどね。なんであそこだけああなんでしょう？
Ｐ,ランチ需要はカフェで間に合っちゃってたからじゃないですかね？
Ｐ・ちひろ,…………
Ｐ,背に腹は代えられない……か
ちひろ,このままだとお腹と背中がくっついちゃいますし……ね
Ｐ,ということで、本社地下一階の社食に向かう俺達だった説明口調
ちひろ,……
Ｐ,……。ぜ、全面改装してる！？
ちひろ,いつの間にこんなことに……！？
晶葉,む？君は桃華と志希の担当プロデューサー氏ではないか
Ｐ,あ！いつかのマッドサイエンティスト！
晶葉,ワハハ！褒め言葉だ！そこに天才を付けるとより正確になるな！。まあそれはともかく、昼食に来たんだろう？なら丁度良かった、今新装開店したところなのだ！
ライラ,ライラさんもお手伝いしましたですよー
ちひろ,ライラちゃんまで！？
Ｐ,しかし……そうなると、この社食の全面改装は……？
晶葉,うむ、私が担当した。一フロアをまるまる改造するというのはなかなかエキサイティングだったな！
Ｐ,駅前に立ち食いソバありましたよね？
ちひろ,ダッシュで行けば間に合いますかねぇ
