こずえ,ぷろでゅーさー。ここー、こずえすわるー
モバP,以下P
島村卯月,……
雪美,……ここ、座らせて
P,んー、いいぞ
渋谷凛,……
薫,せんせー！ここ座りまー！
P,んー、いいぞ
本田未央,……
凛,ねえ
卯月,はい
未央,うん
凛,……最近、10歳前後組がさ
未央,あ、うんうん、私もその話
卯月,未央ちゃんもみたんですか？
未央,薫ちゃんだったんだけど、デスクワークしてるプロデューサーの膝のうえによじのぼっててさ
卯月,よじのぼるって言うのが可愛いですね……こずえちゃんは両手をこうして……
凛,だっこ待ち？え、プロデューサーが抱え上げて座らせたってこと？
未央,うひゃー、でも私もこずえちゃんにそんなのされたら膝に乗せちゃうなぁー
卯月,凛ちゃんは？
凛,雪美がまずペロをプロデューサーの膝に乗せて、それから反対の膝に
未央,むっは、なにそれ
卯月,雪美ちゃんだけじゃなくてペロちゃんまでも……
未央,いやー、これはなんていうかさぁ
卯月未央,微笑ましいです。えっ
凛,えっ
卯月,……
未央,……
凛,マズいくらい微笑ましいよね
未央,う、うん
卯月,そ、そうかもしれませんね
未央,ところで、ちょっと気になることがあるんですけど……
凛,ああ、うん……たぶん私達、同じこと考えていると思うな
未央,その……
卯月,どんな座り心地なんだろうって
凛,だよね
卯月,……温かいとか
未央,筋肉質でかたいとか
凛,いい匂いがする、とか……
未央,いやー、やはりしぶりん、鼻のつけどころが違いますなぁー
凛,鼻って何さ……
卯月,でもプロデューサーさんの膝の上に座れば、その全部を……
未央,全部……
卯月未央凛,……
凛,……気になるね
卯月,……はい
未央,……うん。やっぱり、座ってみないと分からないかー
凛,……どうする？
未央,直接頼むのが一番早いと思うな
卯月,頼むって……膝に乗せてくださいって頼むんですか？
未央,そうでもしないと無理じゃない？。ローティーンの子たちなら、それとなーく座れるだろうけど、私達ぐらいになるとなかなか難しいでしょ
卯月,そ、それを言うと、私が一番つらいんだけどなぁ……
未央,しまむーは大丈夫だよ。キャラ的に
凛,そうだね。大丈夫
卯月,褒めてないですよね？
凛,まぁそこになると、未央も大丈夫だよね
未央,へへー。ま、クラスの男子とかにはお願いしないけど
卯月,やったら全力で勘違いされますよ
未央,プロデューサーにしかやらないよー。でも、そうなると難易度高いのはしぶりんだね
卯月,凛ちゃんが、プロデューサーさんの膝の上に……
凛,……どうやればいいか分からない
卯月,いっそ、皆で頼みにいっちゃうのはどうでしょう
凛,三人で？
未央,確かに心強い！
凛,数で押し切るってこと……？いいのかな……
未央,じゃあアタシとまむーだけ頼みに行っちゃう？
凛,う……
未央,これが一番近道だよ！回り道で行ったら年単位かかっちゃうよ
凛,……わかった。案に乗る
卯月,それじゃあ、ニュージェネレーションズ……
未央,フラ
凛,イド
卯月未央凛,チキーン！
凛,と、いうわけで
卯月,プロデューサーさんの膝の上
未央,乗らせてほしいなーって
P,はい？
凛,……い、言ったとおりなんだけど
P,……膝って、ココ？
未央,うんうん。いやー、薫ちゃんを乗せているのを見た時にだよ、あっいいな、って思ったって言うかさ
卯月,私はこずえちゃんをみました
凛,私は雪美を……
P,あー、年少組か。……えっ、キミらが座りたいの？
未央,……う、うん
卯月,こ、こずえちゃんが嬉しそうだったので
凛,気にはなったかな……
P,えーーとーー……
未央,いや？
卯月,私達じゃダメですか？
P,ダメって言うか……いや、ダメじゃね？
未央,えー
P,女子高生膝の上に乗せているスーツ姿の男って時点でもうだいぶダメ
凛,合意だよ？
P,別の問題でそうなこと言うな
未央,なんで薫ちゃんたちはOKなのさー
P,いや、普通にセーフ……だよな？
凛,ううん、アウトだと思うな。だから私たちも乗せるべきだよ
P,9歳10歳相手に本気になるなよ……誰かに見られてみろよ、注意されるの俺とキミたちだけじゃないんだぞ
未央,つまり誰にも見られなければいいと
凛,なるほど
卯月,わかりました！
P,流れるようにブラインドおろしてドアの鍵かけたね！？
凛,これで条件はクリアしたよ？
P,いやキミらね……あーいや、わかったわかった
未央,えっ、いいの？
P,いくら言っても食い下がりそうだったからな。さっと乗せて終わりなら、そっちの方が早そうだ
凛,本当にそれだけ？
P,まー、女子高生を膝に乗せるとか、なかなかできないというのも……なくはない、なんてこともない
未央,ほほーう、なかなかいい趣味をしていますな
P,そういう目で見られるラインだということを覚えておきなさいよ
凛,ふふっ、説得力はあったよ
P,凛だけ乗らなくていいぞ
凛,それはダメ
未央,誰から行く？
凛,……じゃ、じゃあ私から
未央,おっ、しぶりんガツガツいくねぇ
凛,茶化さないでよ……
卯月,まあまあ。じゃあ凛ちゃん、どうぞ！
P,どんな順番でもいいから早く済ませてくれ
凛,座るよ……ん、右と左どっちがいいんだろ
P,どっちでもいいよ
凛,じゃあ……左で
P,あ……
凛,あ……
P,や……柔らかいっ……細身の凛だから大丈夫かと思っていたけど、そんなことない！。雪美やこずえとは明らかに違うお尻の感触……なんていうか、女の子の柔らかさがしっかりと……
凛,ごつごつとして固そうなのに、膝は柔らかくて……そして、温かい……。だっ、大丈夫？重くない？
P,いや、全然……そりゃ、こずえや雪美に比べたらだけど、こんなん楽勝だよ
凛,そ、そう……
卯月,……ど、どうですか凛ちゃん
凛,あ、う、うん……なんて言うか……あったかい
卯月,あったかい……
凛,あ、安心するって言えるかも
未央,安心……
卯月,わ、私もそろそろ
凛,あ、そう、だね……。……
卯月,……凛ちゃん？
未央,しぶりん？
凛,あ、あのさ、もうちょっとだけ……
卯月,えーっ
未央,気に入りすぎだよしぶりーん。後がつっかえてるよー
凛,それはそうなんだけど……
卯月,そ、そんなに居心地いいんですね
凛,…………うん
卯月,なら、仕方ないですね！心行くまで堪能してください！
凛,いいの？
卯月,私もその後で堪能しますから！
P,俺の意志はどこに
卯月,えっ。あ、ああっ、すみません！あまりにも凛ちゃんが嬉しそうだったから！
凛,べっ、別に嬉しくなんか！
未央,説得力皆無ですぞしぶりーん
凛,うう……
P,あのな、俺にも時間があるんだから……はぁ、仕方ない、卯月こっちいいぞ
卯月,へっ。み、右脚ですか？
未央,おおっと、脚が2本あるのはこの時のためだったのか！？
P,自分の脚で歩くためだよシンデレラ
卯月,いいんですか、プロデューサーさん
P,さっさと済ませて仕事戻る必要あるしな……
卯月,じゃ、じゃあ……
P,はいよ
卯月,がっ、頑張ります！
P,！？
卯月,あっ……
P,な……。なんだこれなんだこれなんだこれ！？。左脚の凛はもちろん柔らかいんだが、右脚の卯月はもうなんていうか……。埋もれる？包み込む？ええい、言い表せん！。まず接地面積が違う！そんなはずは無いが体感、凛の1.5倍だ。い、いかん、迂闊に腰に手を回しそうになった……ちょっとこれは想定外だ
卯月,わー……。気恥ずかしさもあるけど……なにより、すごく近くにプロデューサーさんがいる安心感……。ちょっとだけ私の顔がプロデューサーさんよりも上になるのがまた……。プロデューサーさんの顔を引き寄せたら、胸にしまえそうなくらい……。はっ、わ、私ったら何を……
未央,……あのー
P,お、おお。未央がまだだったな、ほら凛
凛,……
P,凛？
凛,……ま、まだ堪能しきってない
未央,えー、しぶりん、どんだけなのさー。しまむー
卯月,あ、あの、もうちょっとだけ
P,うおっ、首を振る動きの反動がふたりのお尻から……柔らかさの感触やばい……。あと一番やばいのは……Pチャン元気になってきてるよね？気のせいじゃないよね？まだ頑張っているだけ偉いよね？
未央,むむむ……そこまでの魔性の膝だとは……。……仕方ない。席が空くまでここを占領いたーす！
卯月,！？
凛,背中からっ！？
未央,ふっふーん、プロデューサーの背中って広いんだね。っても、お父さんくらいしか知らないんだけどさ
P,……。あかん
未央,プロデューサー？どうしたの、俯いて
卯月,あ、さすがに3人はちょっと重いですよね、そろそろどかな……
未央,およ？俯いているっていうよりは、前かがみ……。あっ
凛,！？
卯月,へご！
P,……
卯月,あ、あはは、えへへへっ、すいません、退きますね
凛,ちょ、ちょっとプロデューサー、ま、まったくどう言うつもりなの
未央,いやーあははは、ま、まあ私たちもやりすぎたのあるし、いやー、はははは……
P,……
卯月未央凛,……。すいませんでした
P,いや、うん、俺もなんていうか……ごめん……
未央,そ、そんなそんな、む、むしろ正常だって言うじゃん
卯月,そうですよ、その、良くは分からないですけど健康的かなって……
凛,私たちが悪いんだし、気にしなくていいよ。……誰にも言わないし
P,すまない、すまない……。このことは……忘れてくれ……
卯月未央凛,プロデューサー……
凛,……
未央,……
卯月,……
凛,プロデューサー、ちょっと落ち込んでたね
卯月,悪い事しちゃいましたね
未央,いやー、この未央ちゃんのボディ、プロデューサーには刺激が強かったかなー？
凛,……いや、私が座ってたのもあるでしょ
卯月,そ、それなら私だって座ってましたよ
未央,やっぱりプロデューサーだって、お尻より胸なんじゃない？
卯月,どっち派かなんて、聞かないと分かんないですよ
凛,脚の可能性だってあるしね
未央,むむむ……
卯月,ま、まぁこのことは、みんなで忘れましょう。それが一番平和です
凛,そうだね
未央,まぁ、そうしようか
卯月未央凛,……でも……
凛,この胸の高鳴りは……
未央,一体どういうことなんだろう
卯月,忘れようなんて言ったけど……
凛,……どうにか、また同じ状況に……
北条加蓮,凛？凛ー？
神谷奈緒,なんか呆けてるな。大方Pさんのことでも考えてるんじゃないか
加蓮,ほーん。つまり呆ける位の何かがあったってことね
奈緒,んん？なるほど……
凛,……
加蓮,……やってみよっか
奈緒,OK
加蓮,りんー
凛,……んー
加蓮,プロデューサーさんのー？
凛,……膝
奈緒,膝？
凛,えっ、あっ。な、何でもないよ
奈緒,いやいやいや、もう無理だよ、凛
凛,うぅ……
加蓮,はけー
奈緒,はけー
凛,……実は……
P,……
凛奈緒加蓮,……
P,何でこうなったの
加蓮,もー、Pさんったらそんなにアタシたちを膝に乗せてみたかったなんてー
P,言ってねぇ！
凛,じょ、女子高生膝に乗せるなんてなかなかできないって……
P,言ったねぇ！。なんでそんなとこ覚えてたんだよ……
加蓮,はいはーい、じゃあアタシここー
P,おわっと……いきなりだな……
加蓮,え、結局OKになるからいいじゃん
P,なんでOKになるんだよ
加蓮,未央や卯月も乗せたのに、アタシと奈緒乗せちゃいけない理由無いでしょ？
P,ぐ……
加蓮,ほらほら、どーお？アタシを膝に乗せた感想
P,……やっぱり軽いな
加蓮,ふふ、そっか。じゃ、こーんなことしても大丈夫かな？
P,身体を寄せるなっての顔近い、いい匂いだなちくしょう
加蓮,あはは、面白い反応～
凛,じゃ、奈緒
