※,このすば
カズマ,そうか。俺は死んだんだな
アクア,トラクターに轢かれた事による勘違いでねぇ～、無様ねｗｗ
カズマ,うっせえ！それより俺はこれからどうなるんだよ？
アクア,天国か、もしくは生まれ変わりだけど、一番のおススメは記憶と肉体を引き継いだまま異世界に行く事ね
カズマ,俺が好きなRPGの世界にか？
アクア,そうよ。どうする？
カズマ,行くよ。
アクア,決定ね。じゃあ、一つ能力を授けようかしらね
カズマ,能力？
アクア,異世界に行く為にせっかく生き返ったのに、そこでまた死んだら大変でしょ？だからこそ、異世界に行く者には特典として生き延びれる為の能力を一つ授ける事になっているのよ
カズマ,ほぉー、能力ねぇ…。異世界行きを勧めた癖して、今度はそっちの世界で死ぬ事を前提かよ！？
アクア,はい。これを食べてみてよ？
カズマ,なんだこれ？
アクア,悪魔の実と呼ばれる果実よ。これを食べれば、貴方には食べた実の種類に応じて特殊能力を得ることが出来るのよ
カズマ,なんだろう？どこで聞いたこと、見たことがあるような設定だな
アクア,いいから食べて見なさいって！！じゃないと話が先に進まないじゃないの！
カズマ,わ、分かったよ！。うえええぇぇぇーーーーーっ、マズッ！！？
アクア,味はマズイけど、これで貴方には何かしらの能力が使えるようになったわ
カズマ,して、何の能力だよ？
アクア,さあ？
カズマ,なんだよ、なんで知らねえんだよ！？
アクア,悪魔の実は多くの種類が存在しているのよ。だから、何の能力までは実際に使ってみるまで分からない訳よ
カズマ,じゃあ、ここで何かしら試してみるか…
アクア,ちょっと、止めてよ！？神聖な場所で能力を使う事は天界の法律に触れるし、死人でも容赦無く罰せられるのよ！！やるなら異世界に行ってからにしなさい！
カズマ,天界なのに、容赦無さすぎだろ！
アクア,じゃあ、能力を授けた所で終わり。後は異世界に行くだけよ
カズマ,なぁ、最後に聞くけど、能力は本当に使えるようになってんのか？
アクア,しつこいわね！？ちゃんと使えるようになってるわよ！この私を、女神を信じなさい！
カズマ,なんだか女神らしくないから信じられずに聞いてんだよ…。まぁ、悪魔の実に関してはひとまずおいといて。お前さぁ？
アクア,なによ？
カズマ,異世界の案内人として、俺について来てくれねえか？
アクア,へっ？
カズマ,だから、俺が異世界に行っても迷うと思うし、大変そうだから案内が出来て、尚且つ一人という不安を無くす為について来てほしいって言ってんの？分かったか？
アクア,はあああぁぁーーーー、冗談じゃないわよ！？第一、女神を連れていくなんて天界の規定に反すｒ
天使,では、アクア様は佐藤和真さんのお仲間として共に異世界に行く、というのはどうでしょう？
カズマ,なんだ？！
アクア,あんた、急に現れて何トンデモ発言してるの！？
天使,トンデモ発言ではありません。佐藤和真さんのお話を聞いて、死者の不安を解消するのもまた天使や神々の仕事ではないかと受け取っただけです
アクア,だからと言って、こんな男の案内役且つ仲間として異世界に連れて行かれるのだけは嫌よ！？
カズマ,こんな男って、女神ならもう少し言葉遣いを丁寧にしたらどうだ？
アクア,アンタには言ってないし、聞いてないわよ！？
天使,そうは申されましても、もう既に上からの了承は得ていますし…
アクア,ちょっとぉ、このアクア様を異世界に放り出す、なんてどういうつもりよ、上は！？
天使,では、アクア様、佐藤和真さんをよろしくお願いします。
アクア,私の話を聞きなさいよぉ～！？
天使,佐藤和真さんもアクア様と一緒に頑張って下さい
カズマ,おぉ。ありがとな、天使さん
天使,それとアクア様、異世界に行く前には規定として女神の力を没収致しますので、異世界で悪魔の実を見つけて能力を身に付けて来て下さいね
アクア,はぁっ！？ちょっと待ちなさい、どうして女神の力までｍ！！？
天使,では、行ってらっしゃいませ！
カズマ,うおおおぉぉぉーーーーーー！！！
アクア,いやあああぁぁーーーーーーー！！！
カズマ,おっ、ここが異世界か
アクア,ああああぁぁーーーもぅ、女神としての使命全うしただけなのに、なんであんたと一緒に異世界に来なくちゃならないのよ！？
カズマ,あー、分かったよ。じゃあ、お前もう帰っていいぞ？
アクア,女神の力を没収された上、アンタの仲間且つ案内役として送られたんだから、無理に決まってるでしょ！！
カズマ,んじゃあ、帰れないって訳だな。で、俺はなにをすればいいんだ、異世界で？
アクア,魔王を倒す事よ。この世界では魔王率いる魔王軍が支配と略奪を繰り返していて困ってるのよ、だからここに来た者や異世界に住んでる戦士は魔王軍に戦いを挑んでるのよ。そして、私が天界に帰れる方法も魔王を倒す目的を果たす事。つまりは、カズマ……アンタと共に魔王を倒さなければならないの
カズマ,おうおう、RPGの定番じゃねえか！。目的が分かったら、さっさと魔王討伐に行くぞ
アクア,ちょっと待って！まだ私、能力を身に付けてないんですけど！？
カズマ,能力？もしや、俺が食べた悪魔の実ってヤツで授かるアレか？
アクア,そうよ！！女神の力が使えない以上、私がこの世界で生き延びる為の術はここに存在する悪魔の実を食べて能力を授かるしかないの！！
カズマ,悪魔の実って、この世界にも存在するのか？てっきり俺は天界だけかと？
アクア,いやいや天界には存在してないわよ！！悪魔の実は元々異世界にだけ存在する果実で、それを私は転生者用として用意する為に女神の力で適当に取り寄せたから、私の手にあった訳よ
カズマ,あぁ、そういう事か。
アクア,ちなみに悪魔の実は中々見つけるのが難しいけれど、私は一つだけ心当たりがあるの
カズマ,どこだ？実って事はどこかの森とかに生えてるのか？
アクア,森じゃなくても普通に売られてる場合もあるのよ。ただし、かなり高価で、総額一億エリスだったかしら？
カズマ,い、いちおくううぅぅーーーっ！！！？
アクア,それだけ希少って事。さぁ、わたし用の悪魔の実を手に入れるわよ
カズマ,おいおい、悪魔の実が一億なら一気に金持ちじゃねぇか！そうだ、悪魔の実を売って楽するのもありだな……へっへっへ
アクア,悪魔の実、この私に献上しなさい！！
店主A,ふざけんな！！神様にでもなったつもりか、てめぇは！！
アクア,これそこの店主、この悪魔の実私が貰ってあげてもいいわよ～？
店主B,冷やかしなら帰ってくれ
アクア,悪魔の実……タダで貰えないわよね？
店主C,そんな事出来るかぁ！？欲しかったら金を払いな
アクア,うぅ………悪魔の実を、恵んで……
店主D,泣かれても困るし、ましてや恵む物じゃないしね。ほら、用が済んだら帰って下さいね
アクア,ふええぇーーーん、カズマァ～。誰も悪魔の実、くれない……
カズマ,何考えてんだ、この駄女神…。自分が元女神だからってタダで貰おうとするのは、虫が良すぎるだろ！
老店主,これこれ、そこのお嬢さん？
カズマ,ん？
アクア,えっ、私？
老店主,先ほどから拝見しておりましたが、悪魔の実を欲しているそうですね
アクア,そ、そうよ。なに、献上してくれるの？
老店主,献上ではありませんが、売れ残りが一つございまして。宜しければ、何かのご縁です、貰って下さい
カズマ,マジかよ！？タダでくれるって人が居るのは驚きだ！！
アクア,ふふーん、見てたかしら、カズマ～？。これがアクシズ教の麗しき女神、アクア様の実力よ
カズマ,ムカつく。たまたまってだけでドヤ顔すんな！！
老店主,これもまたエリス様のご加護あっての事ですじゃ
アクア,っ！！？
カズマ,エリス様？それに今、アクアの顔が？？
アクア,うぅ～、エリスはエリス教のご神体で、私の後輩よ
カズマ,成る程。お前は後輩の信者から悪魔の実を恵んでもらった訳か。そりゃあ、自分のプライドを傷付くわな
アクア,もうこうなったら自棄よ！！！
カズマ,悲しいねぇ～。自分よりも後輩が上である事を突き付けられたからって、実でやけ食いするとは
アクア,うるｓ……うええええぇぇーーーーー、マズイィィィィーーーッ！！！！！？？？
カズマ,直に見た俺が言うのもアレだが、本当に女神なのか、こいつ？
アクア,さてと、仕切り直しといきましょうか
カズマ,で、お前が授かった能力ってなんだよ？
アクア,ふふん。私の能力、とくと御覧なさい。はぁーーー！！！
カズマ,………………………
アクア,カズマ？何ボォーっと見てるのよ？ほら、女神に対する能力の感想は、凄いって賞賛はないのかしら～？
カズマ,この手から出てるのは、おしっこか？チョロチョロ音ばっかしてっけど？？
アクア,なっ！？/////何考えてんのよ、アンタ！！？。そんな訳ないでしょ、これは水よ！！！
カズマ,水？
アクア,そう。これはお水、私からしてみれば聖水よ
カズマ,水ねぇ……。まっ、上手く行使すれば洪水でも起こせそうだな…
アクア,そうねぇ、洪水だけじゃなくて鉄砲水や激流などの大水だって使えるわよ
カズマ,へぇ～、それはそれは凄いですねぇ～棒
アクア,ちょっとは関心持ちなさいよ！？。という事で今日から私はミズミズの実の能力者。水を自在に生み出したり、操る事が出来るって訳。他にも街中の水を集めて威力をあげる事だって可能よ
カズマ,ミズミズとか、水人間ってなんだよ？
アクア,悪魔の実は、個々が使える能力名の上から二文字を取った上で二つに重ねて命名するのよ。それこそ、私がさっき水からミズを取ってミズミズ。で、その能力が使える場合は、○○人間と命名もするの。私は水を使えるから、そのまま水人間って命名した訳。分かった？
カズマ,あ、あぁ、なんとなくな
アクア,そういえば、気になったけど、アンタの能力って一体なによ？
カズマ,俺か？そういやぁ、俺はなんだったかな？？
アクア,何も発動しないのなら、さしずめヒキヒキ
カズマ,能力じゃねえだろ、それ！？ただの悪口にしか聞こえねえよ！！！。うおっ！？
アクア,強い風ね！？
女性,あぁー、洗濯物がっ！？
アクア,あらあら、洗濯物が飛ばされてるわね
カズマ,ジャンプしても届かないぞ…………。って、あれ？
女性,えっ？
アクア,えええぇぇーーーっ！？
カズマ,よっと。はい。これですか？
女性,あ、ありがとうございます…。
アクア,ねぇ、カズマぁー、アンタ今、高く飛んでなかった？！
カズマ,あ、あぁ…。俺も良く分かんねえけど、ふざけてジャンプしたらなぜだか飛べるような感覚があってな？
アクア,もしかして、悪魔の実の能力が発動したんじゃないの？
カズマ,つーことはアレか？俺は空を飛べる系の能力者って事か？
アクア,そうかもしれないわね
男性,わああぁぁーー、誰か助けてくれぇーー！！！
アクア,あ、あそこ！！
カズマ,どうしたましたかぁ～？
男性,外壁の修理をしてたらハシゴが落ちて、そのまま動けなくなったんだ！？
アクア,あ～ぁ、見事に壁に張り付いてるわね
カズマ,う～ん、下に柔らかいクッションでも敷くか、もしくは壁を走って…………あれ？
アクア,ちょっとカズマ、いきなり走り出してどうしたのよ！？
カズマ,うおおおおおおおおーーーーーーーーーーーーっ！！！！！
男性,！
アクア,ええええええぇぇーーーーーーーーっ！！？
男性,おわぁ！？
カズマ,おおおぉぉーーーー！！。大丈夫ですか？
男性,あ、あぁ。助けてくれてありがとう…
アクア,ねぇ、今度は壁を走って駆け上がらなかった！！？
カズマ,あ、あぁ。壁を走ったらって考えたら、今度は壁を走れそうな感覚になってさ……
アクア,い、一体どういう事！？空を飛べたり、壁を走れたりするなんて、一体どういう能力なのよ、それぇ！！？
カズマ,いや、俺にも分からん
アクア,はぁ～、ひとまずカズマの能力については置いときましょう。で、カズマ、ひとまずギルドに行きましょ
カズマ,ギルド？
アクア,休憩所のようなものよ。そこでは異世界に住む者の腕をあげる為にクエストが用意されたり、食事をすることが出来るのよ。
カズマ,いよいよ、RPGっぽくなってきたな。流石は異世界だな。それなりに身なりが戦士っぽい人ばかりだ
アクア,ちなみにあそこの掲示板に張り出されてる紙はクエストが記された貼り紙で、あれを見て自分に合うとか、挑戦したいと思ったら受ける事が出来るの。クエストを受けたい時はそこの受付に言えばいいのよ。
カズマ,クエストって良く報酬とかあるって言うけど、こういう場合でも報酬は出るのか？
アクア,もちろん、出るわよ。難易度によるけど、難しければ難しい程高額な報酬は約束されるって訳。ただし、クエストを受けるにもたまに条件があるから注意は必要ね
カズマ,例えば？
アクア,モンスターの討伐でも能力が効かないモンスターが居て、この能力を持つ人が適任とあれば、指定された能力を持つその人しか行けないとかよ
カズマ,へぇ～、色々あるんだな…
アクア,他にも仲間を作る為のメンバー募集や討伐以外での仕事主に土木や内職など
カズマ,労働の仕事を張り出してる時点でハロー〇ークみてぇだな…
アクア,で、食事をする所もあるけど、ギルドで出される料理は結構美味しいって話なのよ！
カズマ,天界に居たはずの女神が良く知ってるな？来たこと、あるのか？
アクア,無いわ。ただ、死者を導く女神だからこそ、異世界の情報を把握していただけよ。ギルドの料理が美味しいというのも掴んだ情報よ
カズマ,へぇ～
アクア,じゃあ、ギルドでの説明は以上よ。私は、ここに来たら一度飲みたかったシュワシュワを今から頂くから、カズマは適当にクエストを見るなり、ギルドを眺めるなり好きにしたら？
カズマ,シュワシュワ？飲みたかったって言ってたから、泡の出る飲み物か何かか？
アクア,シュワシュワはクリムゾンビアの事よ。
カズマ,クリムゾンビア？？
アクア,まぁ、一種の酒よ。ちなみにシュワシュワの由来は文字通り泡ばかりが立っているからよ
カズマ,酒か？じゃあ、俺は飲めないな
アクア,あら、ここには未成年飲酒禁止なんて法律はないから、飲めるはずよ
カズマ,マジで！？
アクア,なに？高貴な私がヒキニートに嘘ついて何の得があるって言うの？
カズマ,ヒキニート言うなぁ！？。それにしても飲酒アリって、異世界はなんでもありなんだな…。ひとまず見て回ったり、クエストを見たが、これと言って分かるもんなんてねぇしな。またアクアに聞いt
アクア,はい、花鳥風月
カズマ,何事だっ！？。おい、アクア？
アクア,あ、カズマ。どう、この花鳥風月、見事なもんでしょ？
カズマ,なに、ギルドの居る人達に宴会芸披露してんだよ！？遊んでんじゃねぇんだぞ！！
アクア,だってぇー、せっかく悪魔の実の能力者になれたのに使わないなんてもったいないじゃない。だから、私は水を使いこなす為の練習も兼ねてこれを編み出し、人々に披露してた訳よ
カズマ,出来たら、宴会芸じゃなくて、モンスターや敵と戦う時とかに使えるよう練習しろよな？
アクア,で、どうしたの？
カズマ,俺は思うけど、クエストを見ても良く分かんねえし、このまま一気に魔王の所に乗り込んで討伐してねぇか？
アクア,それは無理ね
カズマ,なんでだよ？
アクア,あのねぇ、魔王の城には強力な結界が張られていて、それを解かないと魔王の所には行けないの
カズマ,結界を解くにはどうしたらいいんだ？
アクア,魔王軍には幹部が存在するの。その幹部を全員倒せば、結界は解けるはずよ
カズマ,で、肝心の幹部ってのはどこに居んだよ？
アクア,それは知らないわよ。魔王軍幹部は普段、気配を消して隠密に動いてるらしいから見つけるのはまず、至難の業って話だしね
カズマ,なんだそりゃあ、面倒だな
アクア,ひとまず、他のクエストで腕をあげつつも幹部を見つけて倒していくしかないわ
カズマ,流石に地道にやるって事は、まぁ普段からのんびりしてる俺にはピッタリか
アクア,で、物は相談なんだけど、せっかくここで頑張るんだったら、仲間をせめて二人ぐらい増やすってのはどうかしら？
カズマ,仲間か。まっ、今後の事を考えたら必要だな。で、どうやって集めるんだ？
