千川ちひろ,ほうほう、なぜでしょう
Ｐ,胸が大きいから
ちひろ,は？
Ｐ,胸が大きいから
ちひろ,まことに残念ですが、当事務所とは縁が無かったということで
Ｐ,ち、違うんです！俺、昔からグラビアアイドルが好きで、そういう路線の子なら、上手くプロデュースできると思って……
ちひろ,……そうですか
Ｐ,まさか、本当に雇ってもらえるとは。よし、やるからには、トップアイドルを目指すぞ！。その過程で、グラビア撮影の現場に立ち会おう。そうしよう
ちひろ,意気込みは良いんですが、顔がだらしないですよ
Ｐ,おっと
ちひろ,……それじゃあ、プロデューサーさんの担当する子は、この奥の部屋にいますから
Ｐ,はい。行ってきますね！。この扉の向こうに、担当アイドルが……。パッションといえば、セクシーとセクシーが特徴の属性だ。きっとスタイルの良い子に違いない！。おはようございます！
高森藍子,あ、おはようございます
Ｐ,チェンジ
藍子,え
Ｐ,いや、なんでもない。俺が君のプロデューサーだ！よろしくな
藍子,は、はい。よろしくお願いします
Ｐ,期待し過ぎたか……
ちひろ,た、ただのスケベと思ってたのに……
藍子,あの、プロデューサー。本当にこれが全部、私のお仕事ですか！
Ｐ,もちろんだ。藍子の宣材写真がよかったから、先方に受けが良くてな
ちひろ,いったい何をしたんですか
Ｐ,藍子の写真を使っただけですって！グラビアは、水着ばかりじゃないんですよ？
藍子,確かに、プロデューサーの指示で撮った写真は、よく撮れてましたねー
Ｐ,お、分かってくれるか！
藍子,はい、散歩の途中に写真を撮ったりするので、少しだけ……
ちひろ,……藍子ちゃんとも話せてるし、まんざら、スケベなだけじゃないのかも
Ｐ,ちひろさん、藍子が流れにのって、余裕もありますし、担当アイドルを増やしたいですが
ちひろ,それは、願ったり叶ったりですが……パッションの子ですか
Ｐ,ええ！
ちひろ,……はぁ、わかりました。ちょうど候補生で、一人いますよ
Ｐ,本当ですか！――あ、念のため、事前にプロフィールを見せてもらえます？
ちひろ,念のためって……まあ、どうぞ
Ｐ,どれどれ、外国の子なのか……ん？。バスト８５！この年齢で！？。ちひろさん、今からこの子に会えますか！
ちひろ,は、はい。今なら、レッスン場にいるはずですよ
Ｐ,俺、この子を担当しますね。行ってきます
ちひろ,ちょ、ちょっと、プロデューサーさん！？……あ、プロフィールが少し間違ってる
Ｐ,今度はプロフィールで確認したから、大丈夫だ！。ここがレッスン場だな。失礼します！
メアリー・コクラン,ん、どなたサマ？
Ｐ,詐欺だろ
メアリー,な、なんの話ナノ？
Ｐ,あ、いや、すまない。メアリーちゃんだな。俺は君のプロデューサーだ
メアリー,そうなノ？じゃあ、アタシはアダルトな路線がいいから、その辺よろしくするワ！
Ｐ,はっはっは、もう少ししたら、それもいいかもね
