プロデューサー,以下Ｐ
静香,大声で呼ばないでください。子供じゃないんです、普通に呼んでもらえれば聞こえますから。
Ｐ,悪い悪い。車出してくるから下で待っててくれ。
静香,分かりました…ってプロデューサー！あなたこそきちんとして下さい、何ですかその恰好は。
Ｐ,そうか？別に普通だと思うけど。
静香,ネクタイ曲がってます。あとワイシャツ。袖のボタン外れてますよ、早く直して下さい。
Ｐ,お、本当だ。すまんすまん、さっきまで上着脱いでデスクワークしてたからかな。
静香,まったく。私はどうでもいいですけど、困るのはそっちですよ？
Ｐ,気をつけるよ。いつもありがとう、おかげで助かってるよ。
静香,お世辞はけっこうです。感謝するより毎回言わせないようにして下さい。
Ｐ,相変わらず手厳しいな。じゃ、待っててくれ。
静香,もう。本当にだらしのない。困った人だわ。駄目よね、私が見ていないと…
Ｐ,お待たせ。よし、さあ乗ってくれ。
静香,あれ、いつもの車は？
Ｐ,律子と麗花が使ってるよ、今日は外の仕事がけっこう入ってるからな。
静香,そうでしたね。あ、じゃあこの車もしかして、プロデューサーの？
Ｐ,ああ。いつものじゃなくて悪いけどな。
静香,そうですか…煙草の匂いとかしないですよね？
Ｐ,だ、大丈夫だよ。多分。
静香,まあいいですけど。慣れてる車だからって飛ばしたりしないで下さいよ、安全運転でお願いします。
Ｐ,任せておけよ。シートベルトしたか？出発するぞ。どうだ、今の仕事は？
静香,心配いりませんよ、ちゃんとやれてます。
Ｐ,そうか。あそこのラジオ局、スタッフさん皆熱心だからな。学べる事も多いだろ。
静香,言われなくてもそのつもりです。それにどんな仕事であれ、学ぶ物は必ずありますから。
Ｐ,そうか。ほんと、静香は熱心だな。
静香,感心するより、自分の心配をしたらどうですか。
Ｐ,はは、その通りかもな。ん？
静香,何も言ってませんよ。
Ｐ,そうか、空耳かな？けど本当に静香は熱心だな、感心する。翼あたりにも見習って欲しいよ、この前だって…
静香,プロデューサー？翼に多少いい加減な所があるのは否定しません。ですが、それを同じアイドル、しかも同い年の私にこぼすのもどうかと思いますけど。
Ｐ,ああ、確かに。愚痴のつもりじゃないけど、そう聞こえるよな。悪い悪い、忘れてくれ。
静香,まったく。…で、翼がこの前何と？
Ｐ,え？いや、そういう事は言うなって。
静香,あそこまで言ったならもう隠しても仕方ないでしょう、仕方ありませんから聞いてあげます。時間つぶしのつもりで聞き流してますから。
Ｐ,そ、そうか…いや、大したことじゃないんだけどさ。この前のレッスンの時、ご褒美が無いとやる気出ないって、ずっと駄々こねられたってだけで。
静香,くだらない。翼がそういう子なのはもうとっくにご存知でしょう？そういうのを上手くやるのもプロデューサーの仕事なんじゃないんですか。
Ｐ,う。まあ、その通りだな。次からはもう少し上手くやれるよう考えるよ。
静香,まったく。思った以上に馬鹿馬鹿しいですね、聞いて損しました。
Ｐ,はは、面目無い。
静香,…何をあげたんです。
Ｐ,え？
静香,ご褒美、翼にあげたんですよね？一体何をプレゼントしたんですか。
Ｐ,いや、そんな大げさな。ただ…
静香,ただ？
Ｐ,ドライブしたいって言うから、家まで送ってやっただけだよ。
静香,本当にそれだけですか？
Ｐ,そうだけど。何か、まずかったか？
静香,いえ、別に。
Ｐ,そ、そうか…おっと、思い出した。イヤホン返しておかないとな。
静香,イヤホン？
Ｐ,ああ。翼のやつ、その時置き忘れてったんだよ。後ろの席に袋があるだろ。
静香,…この車で送っていったんですか。
Ｐ,俺も帰るついでだったからな。あいつ今日の夕方劇場に来る予定だし、こりゃ今日もタクシー代わりをさせられそうだな…
静香,私が預かっておきます。
Ｐ,え？いや、いいよ。どうせ会うんだし。
静香,私が返しておきます。プロデューサーに任せておいて、また忘れたりしたら翼に悪いですから。
Ｐ,て、手厳しいな…じゃ、お願いするよ。
静香,はい、ご心配なく。
Ｐ,お、そうだ。静香、のど飴いるか？今から声使うわけだし、喉には気をつけておいた方がいいだろ。
