モバマスより小日向美穂,たぬき
紗枝,プロデューサーはん～。手ぇを出しておくれやす？
Ｐ,ん？こうか？
紗枝,はいな♪
Ｐ,なんだこれ。ボタン？店員さん呼ぶやつの小さい版みたいな
紗枝,それはなぁ、お狐ぼたんどす
Ｐ,狐ボタン？…………って、何？？
紗枝,これをこう、ぽちーと押したらな？……ああ、実践した方がええなぁ。うち外に出ますさかい。姿が見えへんくなったら、そのぼたん押してくれはる？
Ｐ,よくわからんがわかった。…………。とう
紗枝,こんっ♪
Ｐ,うわぁびっくりした！！？
紗枝,とまぁ、こないな具合どす～♪
Ｐ,え、何が起こったの今。外に出たんじゃなかったのか？
紗枝,せやから、これがお狐ぼたんどすえ。プロデューサーはんがこれを押したら、どこからでもうちがこんっと飛んでいける狐の術どす♪
Ｐ,さらっと瞬間移動してる……
紗枝,いつもお世話してもろてるプロデューサーはんへの感謝の気持ち代わりどす～。ちぃと人手が欲しかったり、うちのことが恋しゅうなったりした時には、気楽に押しておくれやす♡
Ｐ,お、おう。ありがたく取っておくよ。というのを貰ってな
芳乃,ほほー
Ｐ,一見すれば普通のボタンなのに不思議だよな。どんな仕組みなのやら
芳乃,これはきわめて高度な結界術式でしてー
Ｐ,なんて！？
芳乃,そなたも身をもって知ったでしょうが、この術の源流は京都の狐屋敷にありまするー。うつし世の裏に結界空間を形作り、そこへの出入りを利用することで、疑似的な空間転移を可能とするー……。おそらくはー、時空間に干渉することそのものが、小早川家の仙術の要訣なのでしょうー
Ｐ,…………つまりどこでもドアみたいなもんってことスか？
芳乃,おおむね正しいかとー
Ｐ,しかしそこまでのことができるなんて、紗枝も凄いなぁ
芳乃,過日の一件で、紗枝さんにもいくばくかの仙気が戻りましてー。とはいえ、おひとりでこれほどのものを作るのは難しきゆえー……。おそらくは、母君様にご協力を仰いだのでしょうー。気の名残りが感じられまするー
Ｐ,ああ、あの超美人、いや美狐の。ってことは……
芳乃,今なお、ご実家との連絡を取れているということでしょうー
Ｐ,そうか。勘当って言ってたから、なんか安心したな。……とは言うが、これ気楽に押しちゃっていいもんなんだろうか。なんか負担になったりしない？
芳乃,問題はありませんでしょうー
Ｐ,あっ
紗枝,こんっ♪
Ｐ,瞬間移動ーっ！？。かくして俺は紗枝よりお狐ボタンを渡され――。なんやかんや、割と便利に使うのだった。さて、もうすぐ羽衣小町の出番なわけだが……
周子,紗枝ちゃんまだ来ないの！？
Ｐ,んんん？もうとっくにこっちに向かってるはずなんだが……一体どうしてるんだ？。もしもし紗枝、今どこだ？道に迷ってないか？……え、確かに電車に乗ってるけど、動かない？遅延？。もしかして人身……えっ線路上にカニの大群？なんだそりゃ
周子,うわホントや。総武線をカニの大行列が横切ってて電車が立ち往生って速報にある
Ｐ,何だその怪現象！魚屋か水族館でなんか事故でもあったのかよ！？
周子,紗枝ちゃんは電車に乗っちゃってるわけでしょ？てことは身動き取れないじゃん、どーすんの……
Ｐ,うーむ。まずはお客さんに事情を説明して……。あ、これ押しゃいいんじゃん
紗枝,こんっ！
Ｐ,来た！
周子,超便利やなこれ！
紗枝,はぁあ、えろうたまげたわぁ。真っ赤なカニはんがぞろぞろ大名行列してはるんやもの～
Ｐ,うんまあカニはいいや、まずは着替えてくれ！手順は頭に入ってるな！？
周子,あ、次！あたしらこの次が出番よ！紗枝ちゃんいける！？
紗枝,はいな～。うちにお任せどすえ～♪
Ｐ,ふーむ、このイベントの衣装はどんな感じでいくべきか。いつも通りでもＯＫだが、それじゃちょっと芸が無い……。もうちょっとこう新機軸のアプローチが欲しいなぁ。一度本人と直接相談したいが……。って押せばええやん
紗枝,こんっ♪
Ｐ,おぉっ洋服！？
紗枝,ちょうど加蓮はんたちにこーでぃねーとしてもろとったんどす～。どないどすやろ？
Ｐ,うん似合ってる。ふわもこ系の洋服もマッチするなぁ、これは新発見だぞ
紗枝,うふふっ、おおきに♪
