モバマスより小日向美穂,たぬき
【たぬき】高垣楓,迷子のクロと歌わないカナリヤのビート
Ｐ,芳乃、誕生日おめでとう
芳乃,ほー？
Ｐ,これ、ささやかだけどプレゼント。これからもよろしくな
芳乃,ほほー……わたくしの誕生日でしてー？
Ｐ,うん……？どうした？歯に何か詰まったような顔をして
芳乃,いえー。お祝いいただくことは、大変うれしいのですがー。わたくしの誕生日は、昨日だったのでしてー
Ｐ,あ、そっか！ごめんごめん、すっかり勘違いして……。…………いや今日じゃね？
芳乃,昨日でしてー
Ｐ,いやいや、三日だろ？七月三日！カレンダー見たらほら三日だって！時間的にもギリで！メタ発言
芳乃,いえー……わたくしの誕生日は、七月の二日なのでしてー
Ｐ,えぇえ……！？ここに来てプロフィールに間違いが……！！？
芳乃,しかしながらー、そなたのお気持ちはうれしく思いまするー
Ｐ,お、おう……。まずいな、色々修正しておかないと……。ん、何だ？……あ、芳乃だ。聞いてくれよ芳乃。芳乃の誕生日なんだけどさ
芳乃,わたくしの誕生日が何かー？
芳乃？,ふむー
芳乃,ほー？
芳乃？,はてー
Ｐ,
芳乃,そなたー
芳乃？,いかがされましてー？
Ｐ,…………芳乃が二人いる！！！？。…………まあ話は大体わかった
芳乃,はいー
芳乃Ｂ,困ったのでしてー
Ｐ,つまり、並行世界の芳乃がこっちに紛れ込んじゃったんだな？
芳乃,間違いないかとー。おそらく、世界線に何らかの乱れが生まれ、この世界に収束したのでしょうー
Ｐ,さらっと世界線って単語が出てくるんだもんな
芳乃Ｂ,わたくしが一日早く生まれた芳乃なのでー
芳乃,そういうことでしてー
Ｐ,あっあっあっバイノーラル芳乃やめてのうみそとける
芳乃Ｂ,すなわち、わたくしがお姉さんなのですー
芳乃,むむー？
芳乃Ｂ,文字通り一日の長がありましてー。発育もそれなりとー
芳乃,還りたまえー
Ｐ,芳乃Ｂが次元の狭間にーっ！？
芳乃,これでもう安心でしょうー
Ｐ,お、おう……意外と容赦ないなお前
芳乃,わたくし自身なればー、遠慮も無用とー
Ｐ,ん？
芳乃,むむー？。ほほー……これはいささか、難儀なことになってきた様子ー
Ｐ,な、なんだ？何が始まるんです？
芳乃,今の送還で、次元がまたほころびー……。わたくしたちが、こちらへ雪崩れ込むでしょうー
周子,…………あちこち芳乃ちゃんだらけなんやけど
美穂,こ、こ、これはどういうことなんですかぁ～っ！？
Ｐ,あっ、ちょうどいいところに！
美穂,な、なるほど……
周子,大体わかったわ
Ｐ,お前らのそういう順応性高いとこ好きよ
周子,大概慣れちゃってっからねまあ
美穂,芳乃ちゃんが増えるくらいは、あるのかなぁって……
芳乃,申し訳ありませぬー
Ｐ,芳乃を元の世界に返せるのは芳乃だけらしいんだ。そこで、俺と芳乃は散らばっちゃった芳乃たちを追いかけなくちゃならない
周子,てことは、あたしらはここでお留守番しとけってこと？
Ｐ,理解が早くて助かる。時間がかかりそうだしな
美穂,わ、わかりましたっ。プロデューサーさんも芳乃ちゃんも、気を付けて……！
Ｐ,まあ、とはいっても相手は芳乃だからな。みんな物分かりがいいだろう
芳乃,わたくしとこの者に万一のことあらば、事務所を頼みまする
Ｐ,そんなハードな仕事なの！？。さて、芳乃を探さないと……お？
芳乃Ｃ,ほー……
Ｐ,いた！おーい芳乃……芳乃？
芳乃Ｃ,はー……
芳乃,ふむー
芳乃Ｃ,ぴりぴりー……
Ｐ,な……なんだ？ずいぶんボーッとしてるんだな
芳乃Ｃ,すぱいしぃ……
芳乃,これは、どうやらー……。昨日のおやつ、やはりカレーおせんべいにした方がよろしかったかと思っているわたくしでしょうー
Ｐ,分岐条件細かすぎない？
芳乃Ｃ,いんどのかほりー……
芳乃,それほどまでに、カレーおせんべいは美味なるものでしたゆえー。ということで、お帰り願いましょうー
Ｐ,あ、消えた
芳乃,次に参りましょうー
芳乃Ｄ,しゃらんらーでしてー
芳乃,ごすろりに目覚めしわたくしでしてー
Ｐ,えっやだめっちゃかわいい。芳乃もこっち試してみない？
芳乃,……ぽっ
Ｐ,あ、それはまだ恥ずかしいのね……
芳乃Ｅ,ぽこぽんでしてー
芳乃,たぬきのわたくしでしてー
Ｐ,芳乃が化け狸だった世界線もあるのか……
芳乃Ｆ,こんこんでしてー
芳乃,きつねのわたくしでしてー
Ｐ,そっちパターンもあるのかよ！
芳乃Ｇ,今やすべての魂がわたくしに集まりー漆黒の太陽が天高く昇りしときー現世を統べる魔界の王がー
芳乃,熊本弁履修済みのわたくしでしてー
Ｐ,芳乃が言うと色々シャレになってない気がするんだよな……
芳乃USA,JapaneseOSENBEtaberudesite
芳乃,亜米利加生まれのわたくしでしてー
Ｐ,やたら流暢な英語と見せかけて日本語が！？
芳乃Ｖ,ふがふがーでしてー
芳乃,わたくしより生まれが１００年早く、大変老いたる姿でしてー
Ｐ,老い……えっ？なんも変わんなくね？
