モバマス初めて七か月くらいなのでおかしな点,アイドルの口調、キャラなど
更新は遅いです,一応二月中に完結させる予定です
モバP,以下P
P,俺は以前にちょっとした失敗を犯してしまい蘭子を泣かせてしまった...。そのお詫びとして買い物に付き合う約束をしたのだが...。しかし本当に大丈夫かな...まさか下着を買うのに付き合ってくれって蘭子が言い出すとは...。まあ、ちひろさんも問題がないと言ってたし...大丈夫だよな、きっと...たぶん...
蘭子,あの...プロデューサー、待たせちゃいました？
P,いや、俺も今来たところだよ。蘭子
蘭子,よかった...本当ならお願いをした私のほうが早く着いてなきゃいけないのに...
P,そんなに畏まらなくてもいいよ。これは俺からのお詫びでもあるんだから。それよりも...今日はいつものしゃべり方じゃないんだな？
蘭子,だって...いつもの様にしてたら変装してても私だってバレちゃうかもしれないし。それに...こうしてた方がデートって気分になりますから♪
P,お、おい！？。腕に抱きつかれた！？柔らかくて...じゃなくて！。変装しているからって流石にまずいって！
蘭子,大丈夫ですよ、誰も私だって気づいていませんし。変に騒いじゃうと逆に目立っちゃいますよ？
P,うぐっ！まあ確かにそうだな...
蘭子,じゃあ行きましょう♪...あ、あと
P,ん？なに？
蘭子,その...今日の私の服装...どうですか？
P,良く似合っているよ。あまり見ない服装だし新鮮さもあっていいぞ
蘭子,よかった～...嬉しい♪このお洋服は今日のことを相談して卯月ちゃんに借りたんです。このことを教えてたら卯月ちゃんもきっと喜んでくれます♪
P,ああ、そういうことか。謎が解けたよ
蘭子,？
P,いや、こっちの話だから蘭子は気にしなくてもいいよ。それよりも行こうか？
蘭子,はい。じゃあ...この道です
P,どおりで卯月から”今度は私のお買い物にも付き合ってくださいねっ♪”ってメールが来たわけだ...。ところで今日これから行くお店は大丈夫なのか？土曜日だしさすがに人が多いと思うんだが？
蘭子,大丈夫ですよ？今日行くお店は会員制ですから
P,会員制？おいおいそれじゃあ俺は入れないんじゃないか？
蘭子,ふふふっ、その点も心配ありませんよ？
P,？
蘭子,着けばわかりますよっ♪あっ、その角を右です
P,まあ、蘭子がそういうんなら...
蘭子,ここです
P,うお...これはまた...。到着した店はビルのテナントの一角を借りているものではなく、都心では珍しい一軒家構成だった。しかも敷地面積もかなり広そうだ。本当にここか？...いや会員制っていうからにはこの店だと言われた方が現実味があるかも...
蘭子,驚きました？じゃあ...入りましょう
店員A,いらっしゃいませ。失礼ですが会員証を提示いただけませんか？
蘭子,はい...これです
