仁奈,仁奈は園児じゃねーですよ・・・
薫,かおるだってもう小学生なのに～
千佳,保育園児にへんし～ん
志乃,ということで～？
礼子,保育園プロ合同ライブの打ち上げ開始しまーす！
瑞樹,イェーイ！・・・ってアンタら言いなさいよ！
楓,いえいえ・・・ふふっ
礼,開始しますはいいけど、まだ来てない子結構いるわよ？
礼子,いいのよそのうち来るんだから。志乃なんて始める前から飲んじゃってるし
礼,そういうもんかしらね・・・
楓,おさけ
礼子,ん？はいはいお酒ね。ほら注いだげるからお猪口だしなさい
楓,避けられない・・・ふふっ
瑞樹,ったくこの25歳児は・・・先輩に注がせてんじゃないわよ！礼儀ってもんがなってないんだから
志乃,いいじゃない別にそのくらい。無礼講ってやつよ
瑞樹,そうやって甘やかすからダメなのよ！見なさいどんどん退行が進んで・・・仕事以外じゃ駄洒落とおさけしか喋んなくなっちゃたわよ！
楓,おさけ
礼子,はいはい
志乃,あらほんとね。まあいいじゃない仕事はちゃんとしてるんだし
瑞樹,おら飲め飲めー！
礼,ちょ、ちょっとやめなさい私は静かに飲むのが好きなのよ
瑞樹,なぁに私の酒が飲めないってのぉ？じゃあ注ぎなさいアンタはやく！
礼,全くしょうがないわね・・・礼儀がどうのなんてどの口が言ったもんだか
楓,口に合わない・・・ふふっ
志乃,あらうまいこと言ったじゃない
礼子,ほんとねえ。ご褒美あげるわ、はいおつまみ
楓,おつまみ
志乃,おつまみって言ったわ
礼子,少し成長したわね。えらいえらい
楓,ふふ
礼,ごめんなさい、少し立つわね
瑞樹,あ、ちょっと礼ちゃん・・・もぉ付き合い悪いわねえ
志乃,あれだけしつこく絡めばねえ
楓,礼を失する・・・ふふっ
瑞樹,あんだとこの25歳児めぇ～
礼子,・・・私もちょっと外の空気吸ってくるから、ここ座ってていいわよ
瑞樹,お、さっすが話が分かるぅ。じゃ失礼して・・・
志乃,うるさいのが来ちゃったわね
楓,さっきはえらく騒いでた・・・ふふっ
瑞樹,お～？幼児のくせに凝った洒落言うじゃないのアンタ
楓,ふふ
志乃,おつまみも言うのよ
瑞樹,ナマイキねぇ・・・ほーら楓ちゃんこどもはおちゃけ飲んじゃいけないんでちゅよ～？
楓,あっ
瑞樹,ほらほら欲しけりゃ取ってみなさい
楓,う～
志乃,あーとかうーは言うのね。うんとかすんはどうなのかしら
瑞樹,ほれ志乃さんパース！
志乃,あらありがとう
瑞樹,あ・・・
志乃,結構おいしいわ
楓,・・・ぅ
瑞樹,やばっ。ちょっと泣かないでよ！今代わりの注いだげるから・・・ちょっとこの子何飲んでたのよ！？
志乃,知らないわよ、注いであげてたの礼子ちゃんだもの
瑞樹,でも今飲んだじゃないの！
志乃,う～ん、何だかワインのような日本酒のような感じだったわ
瑞樹,それでどう特定しろってのよ！ったく見境なしに飲んでるから舌がバカになんのよ・・・
楓,おさけ・・・
瑞樹,ちょ、ちょっと待ってなさい今礼子さん呼んでくるから
P,どうもお疲れ様～。すいません遅くなっちゃって
亜里沙,ごめんねみんな待たせちゃって
瑞樹,げっ
P,ってあ、また楓さんいじめて・・・川島さんですね？
瑞樹,ぐ、い、今フォローしようと思ったのよ・・・
P,全くもう・・・
志乃,謀ったようなタイミングで来たわね
瑞樹,ほんとよ・・・
P,ほら楓さんお酒ですよ～
楓,・・・おさけ
P,ほらあとおつまみ
楓,おつまみ
志乃,ほらおつまみって言った
瑞樹,大して変わりゃしないわよんなもん・・・
亜里沙,瑞樹ちゃんわざとじゃなかったのよね？ほら元気出して先生と飲みなおしましょう！
瑞樹,ありさせんせぇ・・・。それでヒドいのよあの男わたしばっかり目の敵にしてぇ
亜里沙,よしよし辛かったわね。はい、お料理取り分けてあげたわよ
P,俺が悪いんですかね・・・？
楓,おさけ
P,そうか悪いのはお酒なんだ
志乃,会話もできるようになったわ
礼子,いや今のは偶然でしょ
志乃,あらもう戻ったの？
礼,亜里沙も来たみたいだし少しは大人しくなるかってね
礼子,その気で来たの？こっから五月蝿くなるのに
礼,え・・・
志乃,礼ちゃんゆっくり飲みたいなら楓ちゃんの世話してたら？
礼子,いざとなればPって生贄もいるしね
P,聞こえてんですけど・・・
礼,それが良さそうね。そうするわ
P,無視される
楓,おつまみ
P,どうせ俺なんてつまはじき者なんだ・・・
志乃,今のは良くなかったわねえ
礼子,だから偶然でしょ？。それでどうなのよ？
瑞樹,どうって何が？
礼子,何がってアンタ達結構いい歳でしょ？いい人とかいないの
志乃,私はいないわねえ
P,これがアイドルの会話か？
礼,迂闊なこと言うと聞こえるわよ
楓,もう勝手にして・・・ふふっ
礼子,亜里沙は？
亜里沙,先生でいるうちは・・・って感じかしら。今はこっちの方が楽しいもの
志乃,まあそうよねえ。で、さっきから黙ってる瑞樹ちゃんは？
瑞樹,・・・どーせいないわようるさいわねぇ。打ち上げやってんだからもっと楽しいこと話しなさいよぉ
礼子,まあこんな酒癖悪いんじゃあっちから願い下げでしょうしね
瑞樹,なんですってぇ～そういう礼子さんはどうなのよ自分だってさあ
礼子,私はその気になればいくらでもってやつよ。3年後に伴侶がいない自信は無いわ
志乃,ですってよ？
瑞樹,どうせジジイとかよ！
礼子,負け惜しみってやつね。いい肴だわ
楓,神経を逆なで・・・ふふっ
P,上手い上手い。・・・しかし早苗さん遅いな。迷ってるかもしれないし連絡がてら様子見てきますね
礼,お願いね。楓の方は面倒見とくわ
P,すいません。それじゃ行ってくるんで頼みます
楓,おさけ
礼,はいはい
瑞樹,だいたいねぇ、アイドルにいい人いるなんてのがまずおかしいのよ！
礼子,そう言ったっていつまでもアイドルって訳じゃないのよ？
瑞樹,ぐ・・・いいわよいいわよ！今が楽しけりゃそれでいいのよ！
志乃,あら結構いいこと言うわ
亜里沙,瑞樹ちゃんP君なんかはどうなの？いつも仲良しじゃない
瑞樹,Pぃ～？あんな訳のわかんない頭した奴ゴメンよ！
礼子,そうよねえ、世間体とかもあるし。あ、でも結婚したら被り物くらいとるんじゃない？
志乃,あれ地肌って言ってたわよ？
瑞樹,だいたいねぇ～こん中で可能性ありそうなのなんてこの25歳児だけよ！
楓,あぅあぅ
礼,うわこっちきた
瑞樹,あ～によバカみたいに世話焼いちゃってぇ。お前は保護者かっての！
楓,う～う～
志乃,あとうは完璧ね。あと48文字で日本語マスターだわ
礼子,随分遠い道のりね
亜里沙,ほら瑞樹ちゃんやめなさい。オイタしたら先生怒っちゃうわよ？
瑞樹,だってありさせんせぇ～
礼,こっちのがよっぽど手がかかるわよ・・・
楓,ぅ・・・
礼,はいはいお酒あげるから泣かないの
楓,・・・おさけ
礼子,ほらこっち来なさい、またPと揉めて落ち込むのがオチなんだから
瑞樹,あによどうせ礼子さんにはわかんないわよぉ～
志乃,落ち込むのがオチ・・・？
礼子,洒落じゃないわよ！
亜里沙,瑞樹ちゃんほら先生と一緒に行きましょ？
瑞樹,うぅ～
楓,おつまみは？
礼,あらごめんなさい。はい、これでいい？
楓,おつまみ
志乃,はも増えてあと47文字ね
礼子,おとかさとかけはどうなるのよ
志乃,汎用的な使い方が出来ないと覚えたことにはならないわ
礼子,あとうもただ唸ってただけじゃないの・・・
瑞樹,ど～せ私はずっと独り身ですよーだ
亜里沙,ほら拗ねないの。先生は瑞樹ちゃんの魅力分かってるんだから
瑞樹,だってさぁそんなんいったってさぁ
亜里沙,瑞樹ちゃんのこと分かってくれる人きっといるわよ、こんなに可愛いんだもの
礼子,あれって本気で言ってるんだと思う？
志乃,さあ・・・？あの子のことだから本気なんじゃないかしら
亜里沙,どうしても見つからなかったらほら、先生がもらってあげる。だから元気出して、ね？
瑞樹,ありさ先生・・・。ありさせんせぇーーーー！！
亜里沙,よしよしいい子ね
礼,何やってんだかね・・・
楓,貰い手もうないって・・・ふふっ
礼,あ！しっ・・・よしなさいこういうことは聞きつけるんだから
礼子,・・・そういえば早苗はまだ来ないのかしらね。Pも出てって結構経つわよ？
