渋谷凛,……は？
島村卯月,り、凛ちゃん！顔が怖いです！
凛,いや、だって……ふざけてるの？
P,いやいや、ふざけてなんかないさ。ただ俺は卯月と凛に俺を取り合ってほしいだけだ
凛,それがふざけてるって言ってるの
P,なるほど……未央はどう思う？
本田未央,……ふざけてると思う
凛,ほら、未央だってこう言ってる
未央,ふざけてるよ！どうしてこの未央ちゃんを差し置いてしまむーとしぶりんなのさ！
凛,ごめん、未央に聞いた私が間違ってた。卯月もプロデューサーに何か言ってあげてよ
卯月,え？えっと……で、でも、プロデューサーさんも忙しいと思いますし……たまにはこういう……”ごっこ”みたいなものですよね？たまにはいいんじゃないかなって……
P,ほら、卯月もこう言ってるだろ？
凛,卯月……はぁ、わかった
P,おお、流石は凛、話せばわかるな
凛,卯月、プロデューサーの右手を掴んで
卯月,み、右手ですか？は、はいっ！
P,！
凛,あ、違う違う、手じゃなくて、手首あたりを……
卯月,手首？
P,？
凛,で、私は左手首を掴むから……
P,お、あれか、私と約束してたんだから！いいえ私よ！ははは、落ち着け2人ともみたいなシチュエーショ
凛,せーので一気に引っ張ってね。せーのっ！！！
P,いだだだだだだだだだだだ！！！！！！！！！。待て！！！裂ける！！！裂けちゃう！！！！！
凛,卯月！もうひと踏ん張り！
P,踏ん張らなくていいから！！！増えちゃう！！！俺がふたりになっちゃ
卯月,はいっっっ！！！！！
P,わあいい返事だ俺しまむーのそんな返事初めて聞いたよあだだだだだだ未央お助けええええええ
未央,ちょっと力に差があって、このままじゃ”プ”と”ロデューサー”に分かれてバランス悪いから、しまむーもうちょい強くいける？
卯月,頑張ります！
P,がんばんなくていいからららららららららら。正座！！！！！
凛,自分で蒔いた種でしょ
卯月,ふぅ……疲れました……！
P,ちょっと達成感を滲ませるのをやめなさい
未央,あのままいったら”プロ””デューサー”だったから収まりはよかったよ？
P,そういうことじゃないんだよ！！！そもそも俺のどの部分を”プ”の一文字が担ってるのかわからなくて怖いんだよ！！！
未央,そういうことでもなくない？
凛,手首だけ取れたら”フ””゜ロデューサー”あたりでしょ
P,半濁点だけ独立させるんじゃねえよ！！！。違うんだよ……俺はもっと甘酸っぱい取り合いに巻き込まれたいんだよ……うづりんの
未央,この期に及んでまだ未央ちゃんを外すか
P,いや、未央は未央でいいんだよ、いいんだけど、俺はヒレステーキかサーロインステーキで悩みたいわけで、そりゃ寿司が美味しくてもそれは気分というか、あるじゃん？そういうもんなんだよ
未央,しまむーちょっと右手首持ってもらえる？
P,もうそのくだりはいいから！
卯月,はい！！！
P,しまむーは素直だなあ！！！。わかった、じゃあ、演技の練習だと思ってくれ。それなら多少は抵抗も減るだろ？
凛,3人でファミレスでも行こっか？あ、クーポンあるからマックの方がいいかな
P,せめて話を聞いてくれ
未央,まあでも、どういうシチュエーションがいいのか、聞くだけ聞いてみたら？
凛,未央……自分は関係ないからって……
未央,まあまあ
卯月,そ、そうですよ凛ちゃん！この人だって、普段は忙しくてお疲れだと思いますし……話を聞くくらいなら……
P,卯月……三人称がいつの間にか距離感を感じるものになってるけど卯月……
凛,……しょうがないな。手短にね
P,さっすがあ！
未央,そういうのいいからさ
P,……ニュージェネ絶対俺のこと嫌いだよな
凛,そこまで嫌いじゃないよ
P,マイナス方面だということは否定してくれないんだな
卯月,信用も信頼もしてますが、人間としてはちょっとアレだと思います！
P,卯月に言われるとダメージすげぇ……その辺の友人に”死ね”って言われてもここまで響かないのに……
未央,その辺の友人に”死ね”って言われる日常を省みた方がいいよ
P,まあいいよ。俺の発表するシチュエーションが凄すぎて、お前らきっと俺に惚れ直すから
凛,一度も惚れてないのに惚れ直すもクソもないでしょ
P,女の子がクソとか言うんじゃありません！！！
未央,けっこうバカにされてたけどツッコミはそこでいいの？
P,まず、俺は都内に住む高校3年生なんだ
未央,この人いくつだっけ？
卯月,確か今年で30です！
凛,きっと色めくイベントの1つもなかった高校時代を妄想で取り戻そうとしてるんだよ
未央,寂しいね
凛,そういう考えだからダメだって気がつかないのかな
未央,精神年齢は高校どころの騒ぎじゃないところで止まってるのかもね
P,年齢の設定だけでここまで袋叩きにされるか？。お前ら30歳のガチ泣き見たいか？見せてやろうか？
未央,えげつない脅しだね……
凛,明日からどんな顔で一緒に仕事すればいいかわからなくなるからやめて
P,逆に明日から仕事をしないなら泣きわめいてもセーフ……？
卯月,アウトかと……
凛,ゲームセットでしょ
未央,サヨナラだね
P,いつからお前らの中で俺はどれだけ殴っても大丈夫なカテゴリに入ったの？。まあいいよ
未央,えげつないメンタルしてる
凛,自制心も強ければよかったのにね
P,で、お前らは俺の後輩。あ、お前らって言ったけどうづりんだけな、未央は待機
未央,うるさいよ
P,ちょっと卯月、先輩って呼んでみてくれるか？
凛,卯月、気分が悪かったら帰ってもいいからね
未央,そうだよ。嫌なら虫けらさんとかでもいいんだからね
P,勝手にオーダーを昆虫に変えないでくれ
凛,昆虫に謝ってよ
P,今の流れで俺は昆虫に何かしらの損害を与えたか？。じゃ、頼む
凛,嫌なら……
P,それはもういいから！
卯月,は、はいっ……ええと……せんぱいっ♪
P,うっ……！！！！！。……。うぅ……。……。……う。……。……うづき。……。……。……まあまあだな
未央,大ダメージでしょ
凛,途中で一回名前呼んだの凄いリアルで気持ち悪かった
P,冷静な分析やめてくれ。じゃあ凛も頼む
凛,嫌だけど
P,頼む！俺も凛のこと先輩って呼んでやるから！
凛,それ何のトレードにもなってないでしょ
P,わかった、いくら欲しい？
未央,一番やっちゃいけない解決策きたよ
P,ってのは冗談として、頼む！それとも、卯月より破壊力のある先輩は凛には難しいか？？？
未央,やっすい挑発
凛,は？それくらいできるけど？
未央,乗っちゃった
P,じゃあよろしく！！！
卯月,て、テンション高いですね……！
未央,明日から職なしだからね
P,勝手に立つ鳥扱いしないでくれ
凛,現在進行形で後を濁しまくってるもんね
P,そういうのいいから早く！
凛,はぁ……仕方ないな……
P,……
未央,いい歳してドキドキって効果音使うのやめてほしいよね
凛,……
P,……
凛,……先輩
P,うっ……！！！！！
未央,こいついつも大ダメージ食らってるな
P,……見事だ、凛。……卯月とは見事に反対路線のクール系後輩……見事だ！
未央,見事しか言ってない
凛,……当然でしょ
未央,なんで照れてるの？ちょろくない？
P,だが、ここはまだスタートラインにすぎない
凛,アンタの社会人生活はそろそろゴールラインだけどね
P,アンタ
未央,さっきまで役職で呼ばれてたのにこの落差はきつい
卯月,り、凛ちゃん！そいつに失礼ですよっ
P,そいつ
未央,むしろ鋭利になってるのでは？
P,まず、俺は部活終わりに帰るため下駄箱へ向かうちなみにバスケ部のエース
未央,括弧の中が虚しすぎる
卯月,本当は何部だったんですか？
P,帰宅部
未央,直近で見たどんな映画より泣ける情報をありがと
P,そこで偶然、凛を見つける。あ、偶然と言っても、凛は実は俺を待ってたから必然なんだけどな
未央,これ以上印象悪くして何がしたいの？
P,じゃあ一緒に帰ろうかってなったタイミングで、先に一緒に帰る約束をしてた卯月がやってくる！卯月と凛は親友だから無碍にはできないけど、でも俺を左右でバチバチと取り合いながら、3人で帰るんだ。いいか？
凛,心底気持ち悪いわかった
卯月,どうかと思いますわかりました！
P,わざとなんだな？。じゃ……スタァトゥ！！！！！
未央,発音キモっ。あれ……しぶりん、意外にちゃんとやるんだ……まあ、仕事には繋がるかもだもんね。手！あざとい！
卯月そ、そうなんだ……,手……握ってる
P,正座！！！！！
凛,うるさいよプ
P,千切れてねえわ！！！
未央,そのツッコミもどうなの？
P,うっせえ！！！
未央,よくこの流れで怒鳴れるよ
凛,途中まで付き合ったんだから感謝してほしいくらいなのに
P,……確かに途中までは凄いよかった。ありがとう。帰ろうとした俺を引き止めてその流れで手を繋いだ凛とか、その繋がれた手を見て反対側の手を握りに行った卯月とか、凄いよかった、見事だったわ
凛,落ち着いて感想言われるのも気持ち悪いね
P,どうすればいいんだよ。じゃ、気を取り直して次は……
凛,まだやるの……
未央,分身の術を覚える前に諦めたほうがいいよ
P,好き勝手言いやがって……。っと……すまん、俺だ。はい、あ、お疲れ様です。……はい、はい、ああ、ちょうど事務所なので、そっち行きますね。はい、お疲れでーす
卯月,どうしたんですか？
P,ちょっとミーティングが入ったから俺は行くな。名残惜しいけど……
凛,マックのポテトかモスのポテトかって意見が分かれるよね
未央,私はモスかなー
P,興味を失うの急激過ぎないか？
スタッフ,はい、じゃあ、今日の撮影について説明しますね。まず、3人は衣装を見てわかるように、一緒の高校の女子高生役です。そして、それぞれが友達だけど、同じ人を好きという設定になります。部活中の彼を眺めたり、偶然を装って話しかけたり、一緒に帰ろうと勇気を出したり……。友情と恋の間で揺れる。そんな雰囲気で〜
凛,……
卯月,……
未央,……
スタッフ,どうかしましたか？
未央,い、いえ、何でも……。まさかここまであの時の会話に合わせた仕事を取ってくるとは……
卯月,びっくりしました……！
凛,確かに、驚いたけど……
未央,色々言っちゃったけどさ？まあ、プロデューサーとしては、ちゃんと働いてくれるしね
凛,……まあ、たまになら
未央,ね。プロデューサーだって色々狙いがあるんだろうし、頭ごなしに否定はよくないなって
凛,でも、あの日のプロデューサーがなんかアレだったのは事実だし
卯月,ふふっ
未央,ま、たまには、ね？
凛,はいはい……
P,おーっす、見てやれなくてごめんな。撮影どうだった？
未央,おお、ウワサをすれば！
卯月,大丈夫でしたよ！
凛,あれ？奈緒と加蓮？
神谷奈緒,おー
北条加蓮,近くでさっきまで仕事しててね。拾ってもらっちゃった
卯月,そうなんですね！
凛,あ、プロデューサー……
P,どうした？
凛,その……この前はごめん……色々
P,気にすんなって。俺の言い方もあまり良くなかったしな
凛,まあ、その……こうやって仕事に繋がるなら、たまには……仕事に繋がるなら、だけど……
未央,うんうん、今日は大丈夫？しぶりん、ちょっと機嫌いいから、もっと細かく指定できるかもよ？
P,……
未央,どしたのどしたの？ほらほら、欲望に忠実になっちゃいなって〜
P,……そう……だな。よし……
凛,でも、あんまり面倒なのは……
P,ちょっとなおかれで俺を取り合ってくれないか？
奈緒,は？
加蓮,は？
