モバＰ,以降Ｐ表記…いやズルいねこれ！
ちひろ,してますよ。誰かさんみたいに遊んだりしてませんよ
Ｐ,遊んでないよ
ちひろ,その手に持ってるニッパーと接着剤は何ですか
Ｐ,んで何ですか突然。誕生日？
ちひろ,話逸らし…まぁいいです。ちょっと今更ながら気になったので。ほら、プロデューサーさんって律義にアイドル全員のお誕生日祝ってるじゃないですか
Ｐ,律義にて。事務所で毎回ちゃんと祝ってるでしょう？
ちひろ,プロデューサーさんは事務所とは別に個人的にもお祝いしてるじゃないですか
Ｐ,大した事はしてませんけど
ちひろ,またまたぁ、みくちゃんとか肇ちゃんとかみちるちゃんとか結構盛大にお祝いしてあげてるらしいじゃないですか
Ｐ,してませんて。普通ですって
ちひろ,プロデューサーさんの普通ほど信用できない普通もありませんよ
Ｐ,日本一普通なのが特徴である埼玉県民に向かって何たる暴言を！
ちひろ,じゃあ例えばどんな祝い方してるんですか？
Ｐ,どんなって、そりゃ人それぞれですよ
ちひろ,具体的には
Ｐ,プライバシーって言葉知ってます？
ちひろ,そうですねぇ…あ、じゃあ今月誕生日だった娘達にどんな祝い方をしたか、聞かせてもらえませんか？
Ｐ,思い出とは当人の胸の内に密かにしまっておくものではないのか
ちひろ,差支えない部分だけでいいですから。ね？
Ｐ,小首を傾げて上目遣いになってこれほど可愛げの無い人も珍しいですね
ちひろ,黄緑ぱんち！
Ｐ,鼻先は痛い！。誕生日おめでとう雫。はいこれご要望のプレゼント
雫,ありがとうございますー。わざわざすいませんー。みんなにもあんなにお祝いして貰ったのにー
Ｐ,これぐらい構わんよ。いつも牛乳やら肉やら色々貰っちゃってるし
雫,いえいえー、プロデューサーさんには私だけじゃなくて実家のほうもお世話になっていますからー
Ｐ,何もしてないけど
雫,この前牛舎と石窯とトラクターを作ってくれたじゃないですかー
Ｐ,ただの日曜大工だよ
雫,うちの牛さんたちも凄く懐いてますしー
Ｐ,冗談で話しかけたら言葉が通じるとは思わなかった
雫,今度また牛乳送るそうですー
Ｐ,気持ちは嬉しいけど少し量を手加減してくれると有難いなぁ。床が抜けそうになるから。ところでプレゼントはそんなので良かったのか？雫のリクエスト通りのものだけど
雫,はいー。これが良いんですー
Ｐ,カウベル付きの首輪が欲しいだなんて珍しい。牛に…は無理か。実家にいたワンコにでもつけるのか？
雫,うんしょ、よいしょ
Ｐ,自分用とな
