橘ありす,今日のレッスンは悪くなかったですね……
ありす,さて……、今日のフレデリカさんは何を始めるんでしょうか……。まあどうせ、今日もくだらないことを始めるんでしょうね……。いや別に、嫌だというわけではないですが。だっ、だからと言って決して楽しみなわけでは……っ！。……。……私は何を言ってるんでしょうか。こんにちは
宮本フレデリカ,……
ありす,……あれ？
フレデリカ,……
ありす,フレデリカさん？ちょっと……
フレデリカ,……
ありす,生きてますかー？
フレデリカ,わわわぁっ！？
ありす,うわぁ！？
フレデリカ,あ、ありすちゃん……
ありす,？こんにちは
フレデリカ,こ、こんにちは……！
ありす,……何か変ですよ？
フレデリカ,え！？そ、そんなことないよー？いつも通り、後方伸身宙返り4回ひねりだってできちゃうよ！
ありす,シライ！？。そんなの見たことないですよ！？
フレデリカ,あれー？ありすちゃんが頭下げて泣いて頼むから覚えたのにー……
ありす,頭下げてないし泣いてないし頼んでない！
フレデリカ,次はトリプルアクセルだね！
ありす,競技が違いますし！選手に謝ってください！。まったく……。今日は“スポーツウーマンフレデリカ”でも名乗るんですか？
フレデリカ,……
ありす,フレデリカさん？
フレデリカ,え！？あ！うん！そうだね！プロテインだね！
ありす,ホントに聞いてます！？。フレデリカさん、今日はやっぱり変ですよ……？
フレデリカ,逆に言えば普段は変ではないってこと！？
ありす,いえ普段から変です
フレデリカ,
ありす,あっ！ご、ごめんなさい
フレデリカ,生まれ変わったら石油王になりたい……
ありす,高望み。えっと……、き、今日は何をするんですか？
フレデリカ,パス
ありす,パス！？バスではなく！？
フレデリカ,本当はねー、“運び屋フレデリカ”だったんだけどねー……
ありす,割と気になりますけど！
フレデリカ,今日は有給を取得いたしますのだー……！
ありす,むしろタクシーフレデリカとかに給料が出てたんですか！？。昨日は普通のフレデリカさんだったはず……。ということは……。フレデリカさん
フレデリカ,？
ありす,今日のお仕事、どうでしたか？
フレデリカ,……！。べ、別にフツ―だったよっ！アアタノシカッタナアー！
ありす,ウソつくの下手すぎじゃないですか！？。何かあったんですね？
フレデリカ,……
ありす,フレデリカさん……？
フレデリカ,……あれは、私が母国フランスを出てから4回目の
ありす,誤魔化さない
フレデリカ,ｳｨｯｽ。そ、そんなに大したことじゃないよー！
ありす,……私に話しても無駄ってことですか
フレデリカ,うぇ！？い、いや、本当にビックリしちゃうくらいくだらない話なんだよ！
ありす,でもフレデリカさんが凹んでるのは事実じゃないですか……
フレデリカ,凹んでナイナイ！むしろ凸んでる気もしてきたかも！？
ありす,何て読むんですか！？。って、誤魔化されませんよ！
フレデリカ,それでこそ我の認めた“永遠の好敵手≪ディスティニー・ライバル≫”だね！
ありす,急に中二病！？
フレデリカ,ニノの真似だよー
ありす,飛鳥さんをニノって呼んでる人初めて見ました
フレデリカ,この前呼んだら無視されちゃった
ありす,それ気づいてないだけだと思いますけど？。話が一向に進まないじゃないですか！
フレデリカ,人生、足踏みも必要なんだよー？
ありす,フレデリカさんが言うと薄っぺらいですね
フレデリカ,
ありす,今日メンタル弱くないですか！？。フレデリカさん、午前はバラエティの収録だって言ってましたよね？
フレデリカ,う、うん
ありす,撮影は順調に終わりましたか？
フレデリカ,うん！撮影は楽しかったよー！
ありす,撮影“は”……？
フレデリカ,う……。うう……
ありす,……撮影後に何かあったと？
フレデリカ,そ、そんなことよりお昼でも……
ありす,こ、この期に及んでまだ話題の変更を！？。……。……フレデリカさん
フレデリカ,？
ありす,本当に話したくないなら、話さなくても大丈夫です……
フレデリカ,ありすちゃん……
ありす,もしかしたら、少し考える邪魔をしてしまったのかもしれませんね
フレデリカ,そ、そんな、ジャマなんかじゃ
