モバマスより早坂美玲と小日向美穂,たぬき
Ｐ,事務所のエアコン蛾物故割れた
周子,のっけからバグっとるやないかい
Ｐ,のうみそがゆだる
ちひろ,お決まりの展開ですねー
Ｐ,あぁあぁあぁ！暑い！暑すぎる！！空調の整備もできんで何がクールビズか！！
楓,プロデューサー。クールビズというのは、暑い夏の日にぐいっとビールを一気飲みすることですよ
Ｐ,それはビールクズです戻してきなさい
楓,あら、いいんですか？冷凍庫で凍る寸前まで冷やした缶ビール……
Ｐ,キンキンに冷えてやがる……っ。……じゃない！ノー！ビールクズダメ！
楓,あら残念♪
美穂,ぽこ
紗枝,こん
智絵里,ｸﾞﾃｰ
Ｐ,あのキュートどうぶつトリオは揃って何してんの
周子,冷たい床にべたーって伸びて涼をとってるんやって
Ｐ,かわいいなおい。はぁ……確か冷凍庫に買い置きのアイスがあったはず……
周子,あゴメンあたしが今食べてるので最後だわ
Ｐ,…………
周子,……いる？
Ｐ,それは色々と際どいのでいいです……。あﾞづいﾞ
周子,暑いねー……
ちひろ,ですねぇ……
楓,壊れたエアコンは、ホットけませんね……
小梅,涼しくなる話、してあげよっか……
Ｐ,ぬおっ出たな夏の風物詩
周子,あーいいかもしれんね怪談。お願いしていい？
小梅,わかった……。それじゃあ――――
～,怖い話
小梅,――――それでこの話を聞いた人のもとには三日以内に
Ｐ,わかった！よくわかりました！！もういいッス！！
周子,ゾクゾク来るけど手加減してや！夜眠れんくなるわ！！
小梅,んぇへへ……♡
Ｐ,は～ぁ……仕事すっかぁ
ちひろ,そうしてください
Ｐ,…………………………。あっちぃ！汗が！汗がダダ洩れるッ！
ちひろ,んもー。そうやって暑い暑い言うから余計暑くなっちゃうんじゃないですか
Ｐ,ちひろさんそのＵＳＢ扇風機俺にも貸してください
ちひろ,いーやーでーす。買えばいいじゃないですか自分で
アーニャ,ドーブラエ・ウートラ……おはようござ
Ｐ,アーニャぁぁああああああああ！！！
アーニャ,シトー？ど、どうしましたか、プロデューサー？
Ｐ,アーニャ！頼む！後生だ！この通り！
周子,神様仏様雪娘様！！
ちひろ,このままじゃ仕事ができないんです！
楓,クールにしてくれる子が来ーるー♪
美穂,ぽこー！
紗枝,こーん！
智絵里,ｼｭﾊﾞﾊﾞﾊﾞﾊﾞﾊﾞﾊﾞﾊﾞﾊﾞﾊﾞﾊﾞﾊﾞﾊﾞﾊﾞ
Ｐ,オォウ……天国ゥ……
美穂,涼しいですねぇ～……
アーニャ,おカゲン、いかがですか？
周子,ちょうどいぃ～ん……さいこぉ～……
紗枝,極楽とはこのことやなぁ～……
小梅,わぁ……きもちいい……♡
智絵里,生き返った気分です……♪
ちひろ,ごめんなさいねアーニャちゃん、エアコンが壊れちゃったばっかりに……
アーニャ,ニェット、謝らないでください。みんなの役に立ててとっても、嬉しいですね♪
楓,アーニャちゃん、前より力を制御できてるようになってますね
アーニャ,ダー！シキの家で、たくさんプラクティカ……練習、しました！
Ｐ,アーニャは志希んちに居候してるからな。どうあいつ？ちゃんと家いる？
アーニャ,アー、今朝、思い付きで一人でオキナワに行きました
Ｐ,連絡つかねぇと思ったら！！。しかしアーニャ様々だなぁ。めちゃくちゃありがたいよ
アーニャ,フフッ。そんなに褒められると、アーニャ浮かれてしまいます……♪
Ｐ,いやいや、ほんとほんと。しかも完璧に力をセーブできてるじゃないか
アーニャ,ダー！いっぱいがんばりましたっ
Ｐ,よっ、氷属性！カッコいい！美人！最高！
アーニャ,ウフフフッ、プロデューサーはお上手ですねっ
Ｐ,
美穂,プロデューサーさーんっ！！？
小梅,わぁああ……シャイニングの最後のジャック・ニコルソンみたい……！
アーニャ,アア……ッ！イズヴィニーチェ！ついやりすぎてしまいました……！
周子,テンション上がると出力も上がるんやなやっぱ
智絵里,ふ、冬ごもりしちゃいそうですぅ……
Ｐ,お湯かけたら戻った
周子,プロデューサーさんもだいぶ人間離れしてきてない？
Ｐ,そんなことはないぞ。啓蒙だって低い
こずえ,のうにひとみをー……
Ｐ,今こずえいなかった？
美穂,？こずえちゃんだったら、寮でお昼寝してましたけど
周子,しっかし、エアコンが壊れたからアーニャちゃんの力に頼る、とは……
ちひろ,いよいよ非日常が日常って感じになってますねー
紗枝,ええやない。うちらにとってはこれが当たり前どす～♪
ちひろ,あら内線。はい、こちら第〇〇芸能課。はい。……はい？え？はぁ、わかりました……
Ｐ,なんですか？
ちひろ,ええと……プロデューサーさんに、お客様が来てるそうなんですが
Ｐ,客？
ちひろ,アポありました？
Ｐ,いや全然
ちひろ,ですよねぇ
？？,…………
Ｐ,…………えーと
？？,ふ～～ん……
Ｐ,あのー
？？,なんだ。フツーの人間じゃんかッ
Ｐ,あたりめーだ。啓蒙もゼロだわ
こずえ,ちをおそれたまえー……
Ｐ,ねえやっぱりこずえいない？。って違う、そもそも誰だ君。どっかで会った？
？？,ふんッ。オマエみたいな冴えないオッサン、ウチが知るもんか
Ｐ,それじゃますます何なんだよ……
美穂,誰なんだろ、あの子……
周子,ずいぶんパンキッシュな子が来たねぇ
紗枝,またぞろ、プロデューサーはんがどこかで引っ掛けてきた子なんちゃいます？
周子,言い方
小梅,………………
美穂,小梅ちゃん？
小梅,あの目……
美穂,目？目がどうかしたの？
周子,てか、エントランスなのに静かすぎない？あの子とプロデューサーさんの二人しかおらんやん
紗枝,……これは……人払いのまじないやろか？
美穂,え？まじないってどういう――
Ｐ,えーっとアイドル志望の子かな？それなら後日ちゃんと審査するから、相応の手順をだね
？？,はぁ？アイドルぅ？何言ってんだよ、ウチがアイドルとかありえないだろ。って、そんなことどうでもいいんだよッ。オマエに聞きたいことがある！
Ｐ,はぁ
？？,オマエんとこに女がいるだろ
Ｐ,アイドルなら多数在籍しておりますですよ
？？,そういうことじゃないッ。最近、宮城から来た女だッ！
Ｐ,宮城？それって――
まゆ,あら？人が少ないですねぇ……。あ♡おはようございます、プロデューサーさ――
？？,いた……！おい、オマエッ！！
まゆ,え？
？？,ようやく見つけたぞッ。ここで会ったが百年目だ――佐久間の蚕娘ッ！！
Ｐ,まゆの正体を……！？
まゆ,……
？？,宮城から追ってきたんだ！ウチのこと、知らないとは言わせないぞッ！
まゆ,…………えぇと。すみません、どちら様でしょうかぁ？
？？,ずこーーーッ！！
Ｐ,古典的にずっこけた！
？？,な、な、な……ッ！！
まゆ,えぇとごめんなさい。まゆ、仙台にいた頃はあんまり人に興味がなくって……
？？,う、うぅう……
美玲,美玲だ！早坂美玲ッ！！
まゆ,早坂――
美玲,もういい、話は終わりだ！行くぞッ！。！？
Ｐ,人が集まってきた……
美玲,な、なんでだ！？人払いの結界は張ってるのに……っ
周子,――それってこれのことー？
美玲,あ、それ……！
