志,どうだい？奉太郎？
奉太郎,どうもこうも…お前がなぜそんなことを言うのか、俺にはさっぱり理解できないんだが
里志,ふうん。まあ普通の人なら嫌悪感を抱くかもしれない
奉太郎,現に俺もそうだ
里志,そうかな？僕は奉太郎ならわかってくれると思うんだけどな。自分の女が他の男に抱かれる、この快感にさ
奉太郎,っ！！この俗物がっ！
里志,まあまあ、落ち着けよ奉太郎。君は最近、千反田さんとどうだい？
奉太郎,どうって…。いたって普通に交際させてもらっているが
里志,果たして、本当にそうかなあ
奉太郎,どういう意味だ
里志,千反田さんに聞いたよ。君達最近、してないんだろ？
奉太郎,！！なにをっ
里志,正確に言えば、できなくなった…かな？君のEDが原因で
奉太郎,……っ
里志,君の愚息は千反田さんの裸体を見ても反応しなくなった。そこには奉太郎のコンプレックスが根底にあると踏んでいるんだが、違うかい？
奉太郎,…言ってみろ
里志,簡単さ。きみは千反田さんと自分が釣り合わないんじゃないかと思っている
奉太郎,うるさいっ！
里志,……本当の事だろ？奉太郎。離してくれよ
奉太郎,チッ
里志,なにも君を責めてるわけじゃないんだ。君達二人のお手伝いになればな、ってね
奉太郎,…
里志,さっきの話に戻るよ。君は千反田さんに気後れしている。省エネ主義な君の事だ。どうせ消極的、非活動的な自分は、快活な千反田さんを満足させられないだろう、とでも考えてんじゃないかな。それが千反田さんとのセックスに反映した
奉太郎,……
里志,満足させられないかもしれないというプレッシャーが、君を不能にしたんだ
奉太郎,…だからどうしたっていうだ
里志,千反田さんが摩耶花に相談していてね。自分は奉太郎に嫌われてしまったんじゃないか、ってさ
奉太郎,そんなことはない！
里志,そんなはずないよね。君は千反田さんにゾッコンだもの。その辺は僕もよく分かってるさ。でもね、奉太郎。女の子にとって、彼氏が自分とのセックスで勃たないっていうのはね、それはそれはショックな事なんだ。それはイコール、自分に魅力がないってことなんだからね
奉太郎,……
里志,わかってる。千反田さんはなにも悪くない。悪いのは奉太郎、君だ。そこで僕がお手伝いしてあげようと思ってさ
奉太郎,それとさっきの話がつながる訳か？さっぱり意図がわからん
里志,あれ？もう気付いてるんじゃないかな。奉太郎、君は千反田さんが自分以外の男と寝たとしたら、どう感じる？
奉太郎,凄まじい嫌悪感で、胸が張り裂けそうになる
里志,それだけかい？
奉太郎,……？
里志,興奮するんじゃないか？
奉太郎,そ、そんなわけあるかっ！！！！！
里志,おやおや、奉太郎。省エネ主義の君らしくない。声を荒げるなんてね
奉太郎,お、お前が変なことをいうからだ！
里志,なにも不思議なことじゃないよ奉太郎。男というのはね、自分の女が奪われそうになる時にはある本能が働くのさ
奉太郎,……
里志,すばり、子孫を残そうとする強い意志だ。性欲ともよばれるね。興奮はそれに不随するに過ぎない
奉太郎,狂ってる
里志,君は相手の男を殺したいと思うよね？それと同時に、女に対してはもう二度と離すものか、とも思うよね。それら二つの感情はね、根本的には同じなんだよ
奉太郎,おい
里志,子孫を残す。実に単純な欲望さ
奉太郎,おい
里志,興奮。激情。焦燥感、これらのリビドーはさ、性欲に起因するんだ。女が奪われる。その事実は時にね、最高の抗癌剤さ。とりわけ君にとってはね
奉太郎,どういうことだ
里志,はやる焦燥感。深い絶望。それとは別に自らの中に渦巻く激情。これに気付いた時、君の問題はすでに解決している
奉太郎,…もったいぶるんじゃねえっ！
里志,気付いてないのかい？君の愚息は…。もうすでに勃っているじゃないか
奉太郎,な、なにを馬鹿なっ
里志,確認するのが怖いのかい。まあそれでもいいさ。まあ僕には。君の股間の膨らみが偽りだとはおもわないけれどね
奉太郎,………っ！！
里志,千反田さんとのセックスでは勃たないのに、彼女が抱かれる想像をしたら勃つなんてね。やっぱり君も、変態だ
奉太郎,う、嘘だっ！！これは何かの間違いだっ！
里志,僕はね、決して千反田さんとセックスしたいわけじゃない。あくまでも、君達のためなんだ。もう一度言うよ奉太郎。千反田さんを抱かせてくれないか
奉太郎,断るっ！！
里志,……ここまで言ってもわからないのかい？
奉太郎,お前が言っていることは無茶苦茶だ！だいたい、お前が俺の立場だったら了承するのか？たとえば伊原を……
里志,愚問だね。了承するに決まってるよ
奉太郎,っ！？馬鹿な！？
里志,こんなに興奮するシチュエーションはないよ。自分の親友に自分の女を抱かれる？最高じゃないか！なんだったらこっちからお願いしたいくらいだよ
奉太郎,お、お前
里志,それにさ、僕が既にやっている…とは思わないのかい？
奉太郎,……なんだと
里志,遠垣内先輩。羽場先輩。尾道先生に山内
奉太郎,…？
里志,僕が摩耶花を抱かせた相手だよ
奉太郎,ば、馬鹿かっ！！お前は……自分に惚れてる女になんてことをっ！！！
里志,遠垣内先輩と羽場先輩で3Pさせたこともあったっけな。宿泊研修では山内に一晩貸し出し。尾道先生には温泉旅行に連れて行かせ、僕のいないのところで一日中抱いてもらった
奉太郎,い、伊原は……あいつはどう思ってるんだ
里志,最初はいい気はしてないみたいだったね。僕の言うことをよく聞いてくれたものさ。でも今は病みつきだね。この頃は自分から身体を差し出してるよ。もちろん、行為の際は撮影をお願いしているけれど
奉太郎,お前はっ…なんともおもわないのか…
里志,さっきも言ったろう？僕は寝取られることへの快感に病みつきさ。だからこそ言える。君はこちら側にくる素質がある。そして。これだけが君を、不能から救い出す方法さ
奉太郎,……
里志,まあ、騙されたと思って。僕に全てを預けてみてよ
奉太郎,里志
里志,いい返事…期待してるよ
奉太郎,…あいつの言うことは本当だ。えるが他人に抱かれる。想像しただけで興奮してしまう。……なんて男だ俺は。自分の女の痴態で勃ってしまうとは……。なあ、える
える,なんでしょう奉太郎さん
奉太郎,俺のこと……好きか？
える,な、なにを言っているんですか///いまさらですっ
奉太郎,答えてくれ
える,……好きですよ///決まってるじゃないですか
奉太郎,ああ、俺も好きだ。愛している
える,わっ、わ、わ私もです///。どうしたんですか奉太郎さん///今日は変ですよ？
奉太郎,いや、お前が可愛くてな
える,…もうっ…
奉太郎,える…俺は…お前に…最低な事をさせるかもしれない
里志,やあ、奉太郎
奉太郎,……
里志,その様子だと…答えは決まったみたいだね
奉太郎,ああ
里志,聞かせてもらおうか。請け負うよ。ところで、千反田さんには了解はとってあるのかい？流石に嫌がる相手を無理やりにするのは主義に反するんだ
奉太郎,ああ、えるには了解をもらった
里志,どんな顔してたんだい？彼女
奉太郎,信じられないって風だったな。普段からでかい瞳がより見開いていたよ
里志,よく了承してもらえたね
奉太郎,おれの不能を治すためだと言ったら、快くオッケーしてもらえたよ。正直、罪悪感が凄まじいがな
里志,はは、今に病みつきになるさ。それにね、いわゆる貸し出しプレイ、スワッピングといったものを経験すると、マンネリを解消するカップルも多いんだ
奉太郎,俺とえるもそうなれたらいいな
里志,なるのさ。保証するよ。それじゃあ日程は追って連絡するよ
奉太郎,える…本当にいいのか？
える,何を言うんですか。私、奉太郎さんのためなら、どんな事だってできます
奉太郎,……すまない、俺は
える,気にしちゃだめです。私、奉太郎さんがどういう思いでこの決断をしたか、手に取るようにわかります。私をもう一度、抱く為ですよね。満足させるためですよね。奉太郎さん。私は嬉しいんですよ？
