谷村東吉,４５
部長,谷村君。私は君のことを信頼していたんだぞ。それなのに、よりによって横領を行うとはな……
谷村,も、申し訳ありません……。会社のお金は、全てパチンコで使い果たしてしまいました……
テロップ,谷村東吉４５
部長,一時は、君を警察に告発することも考えた。しかし、それは我が社のイメージダウンにつながる恐れもある
谷村,は、はい……
部長,だから……。君が自発的に会社を辞めることを条件に、告発はしないでおく
谷村,パチンコ依存症がたたり、とうとう俺は会社をクビになってしまった……。ううう……。スロットを打ちたい……。傷ついた俺の心を、パチンコを打つことで癒したい……
喪黒,…………
谷村,ちくしょう……。ちくしょおおおお！！。また負けた……。今の俺は金がないから、飯代をケチろう……。よし……。これは今日の晩飯と、明日の朝飯にしよう……
張り紙,金返せ
谷村,くそっ……！！俺がこうなったのも、元はといえばパチンコのせいだ……。だが、俺はパチンコをやめたくてもやめられない……。どうすることもできない……
テロップ,谷村東吉４５
谷村,たとえ会社をクビになっても……。今日、パチンコで勝てば収入は取り返せるんだ！。よ、よしっ……！！今日は久しぶりに勝てるかもしれない……。せっかく勝てると思ったのに……。うわっ……。す、すみません……
喪黒,あのぅ……
谷村,な、何ですか？
喪黒,ちょっと気になることがありましてねぇ……
谷村,え！？
喪黒,そういえば、今朝……。あなたが朝早くからパチンコ屋に入るところ、私、見ましたよ
谷村,そ、そうですか……。よく気がつきましたね
喪黒,昨日の夕方も、あなたはパチンコ屋の中に入っていましたねぇ
谷村,私のこと、見ていたんですか……。そんな場面まで覚えているなんて……
喪黒,それどころか、今のあなたはスーツもヨレヨレ……
谷村,そうですよ……。現在の私は食事代にも困っているんです
喪黒,それはお気の毒ですなぁ。何なら、あなたの昼食は私がおごりましょう
谷村,ありがとうございます。あなたのおかげで、私は飢えをしのぐことができました
喪黒,どういたしまして……。しかし、あなたの根本的な問題は何も解決していないでしょう
谷村,どういうことですか？
喪黒,食事代にさえも困っているということは……。おそらく、今のあなたは多額の借金があるはずではないですか？
