そのにじゅうさん,ケイトの場合
ケイト,ショウコー
輝子,ケイトさん…ﾌﾋ。め…めずらしい?ね?
ケイト,今日はデスネ～。ジャーン！
輝子,き…きのこの図鑑?
ケイト,そうデスネ！。イッショに読もうと思って持ってきたデスネ～
輝子,そ…そうなんだ?
ケイト,キノコの図鑑だからショウコと読んだら面白いと思ったカラネ～♪
輝子,き…きのこのことなら図鑑より詳しく説明する自信…ある…ﾌﾌ
ケイト,オォ～、流石ショウコ!!。じゃあ一緒に読みましょう～♪
輝子,うん…ｲﾗｯｼｬｲﾏｾ―…ﾅﾝﾁｬｯﾀ
そのにじゅうよん,日野茜の場合
茜,輝子さぁぁぁぁぁぁぁぁぁぁんっ!!!!
輝子,ﾌﾋｨ!?
茜,付き合ってください!!!
輝子,…えっ?
茜,トレーニングです!!
輝子,…
茜,最近ただ走るだけじゃ物足りないんです!!!
輝子,…
茜,だから背負って走るのにちょうど良さそうな輝子さんがっ…!!
輝子,よいしょ…
茜,えぇ～!?なんで茸を並べて机の奥に引っ込んじゃうんですか!!!?
輝子,な…なんか…逃げた方が良いような気がして…ﾌﾋ
茜,そんな!!!ただ背中にしがみついてくれるだけでいいんですっ!!。お願いしますっ!!
輝子,ほ…本当にそれだけ……?
茜,もちろんですっ!!!!
輝子,そ…それなら……ｲｲﾖ?
そのにじゅうご,愛野渚の場合
渚,一番乗り～…。って暑っ!?。クーラーつけなきゃね…。…ん?なんかプロデューサーのデスクの下からなにか…足?
輝子,――――
渚,輝子ちゃん!?
輝子,ﾌｯ…ﾌﾌ…湿度は足りてる…すぐに元気に……
渚,うわ!?すごい汗じゃん!?。いつからここに居たの!?
輝子,ﾎﾞ…ﾎﾞｯﾁﾉｺはいついかなる時でもここにいますよー…ﾌﾋ
渚,とっ…とりあえずスポーツドリンクあるけど飲める!?。あっ…あと身体冷やすもの冷蔵庫から取ってくる!!
輝子,お…おかまいなくー…
渚,ふぅ…もう大丈夫?
輝子,お…おかげさまで…ﾌﾋ
渚,冷えピタまだ冷たい?まだ替えあるからすぐ言ってね?
輝子,う…うん…な…渚さん
渚,んっ?どうしたの?
輝子,め…迷惑かけて…ご…ごめんなさい
渚,別に迷惑じゃないからいいよ～
輝子,んっ…
渚,…でもね?熱中症とか怖いんだから無理しちゃだめだよ?。次にあんなことになってたら女子寮の私の部屋まで持って帰っちゃうからね～♪
輝子,ﾌﾋｨ!?
そのにじゅうろく,佐城雪美の場合
雪美,P…居ない……やること……ないね……ペロ?。ペロ……どこ?。Pの……机の…下?
輝子,ど…ども…ﾌﾋ
雪美,ペロ…居た……あと輝子……
輝子,…ﾌﾋ
雪美,輝子…Pの机の下で…何してるの……?
輝子,ここ落ち着くし…あと親友の帰りを待ってる…ﾌﾋ
