モバＰ,以降Ｐ表記です。脱いでもいいですか？
芳乃,ただいまですー。そなた、そなた
Ｐ,ん？
芳乃,おかえりなさいませー
Ｐ,はいただいま。芳乃もおかえり
芳乃,ただいまですー
Ｐ,なに？この茶番
芳乃,お荷物お持ちましょうー
Ｐ,大丈夫。それより電気つけてきて
芳乃,はいなー
Ｐ,よいしょ、っと…。やれやれ、今日もよく働いたよ…
芳乃,お疲れ様ですー
Ｐ,明日から世間はＧＷだな。芳乃知ってるか？ゴールデンウィークって
芳乃,それぐらいの知識は持ち得ておりますー
Ｐ,そりゃそうだよな
芳乃,数日、めっちゃダラダラごろごろする期間だとー
Ｐ,杏に聞いたな？
芳乃,紗枝殿からー
Ｐ,意外な人物！
芳乃,ですがー、そなたはいつものようにお仕事の日々なのでしょうー
Ｐ,え？俺今年のＧＷ休みだけど
芳乃,そうでしょう、そうでしょうー。…。……ほー？
Ｐ,だから、俺休みだってば。明日からしばらく。家にいるよ
芳乃,……。ほーーーーっ！！
Ｐ,うわぁ芳乃のそんな大声初めて聞いたぞぉ
芳乃,お休みなのです？お休みなのです？
Ｐ,うん、だから休みだってば。ズボン引っ張らないで
芳乃,明日はお家にいるのでして？いるのでして？
Ｐ,いるよ。ずっと居るからズボンから一旦手を離して
芳乃,明後日もお休みなのでして？お休みなのでして？
Ｐ,明後日も休みだよ。ズボンずり落ちてるんですけど芳乃さん？
芳乃,明々後日も？その次も？
Ｐ,ＧＷ期間中は休みだよ。その為に前もってしこたま仕事片付けておいたんだし。あの、俺トランクス丸出しなんだけど…
芳乃,来週も、再来週も居りましてー？来月も、再来月も、来年も？
Ｐ,そこまで休めるかぁ。それ只のニートだよヒモだよ自宅警備だよ！頼むからトランクスまで引っ張らないで！
芳乃,そなた、そなたっ。わたくしも、わたくしも明日からしばしお休みが続くのですー
Ｐ,当然知ってるよ。ねぇお願いだから取りあえず手を離して！それずり降ろされるとアウトだから！絶望が俺のゴールだから！。てな訳で２人揃って連休な訳だけど。どっか行きたいところあるか？
芳乃,ごろごろしましょー
Ｐ,うん、それもいいけどさ。流石に３日４日休みがあるからさ
芳乃,ごろごろとー
Ｐ,ずっとゴロゴロすんの？苔生えそう
芳乃,ごろごろー
Ｐ,転がるな転がるな。凄ぇはしゃいでるね芳乃さんや
芳乃,ほー？
Ｐ,寝そべった状態で見上げてくるのやめて？埼玉県民じゃなかったら襲い掛かってるぞ
芳乃,はいなー
Ｐ,パジャマ捲るな。連休だからどこ行っても混んでるだろうけど、中々揃って休み取れないし…折角だしお出掛けしようか
芳乃,でーと、でしてー？
Ｐ,ハハッ、芳乃はませてるなぁ
芳乃,逢瀬でしょうかー
Ｐ,意味同じでごぜーますよ。どこか行きたいところ無いか？動物園、水族館、映画でも海釣りでもハイキングでも森林公園でも後楽園遊園地でも
芳乃,そなたとご一緒ならばー、どこへでもー
Ｐ,うーん、そういう返答が一番困る
芳乃,ではー、全部参りましょうー
Ｐ,全部て。どんなハードスケジュールだよ
芳乃,次元の門を通れば問題ありませんー
Ｐ,ワープゲートを開くな。もうちょい自重…て言うか芳乃さん最近開き直ってない？
芳乃,ほー？
Ｐ,まぁ、明日までにのんびり考えるとしようか。夕飯の支度するからテーブル片付けといて
芳乃,畏まりましてー
Ｐ,ＧＷしっかり遊べるように精をつけないとな。子羊背肉のリンゴソースかけでいいか？
芳乃,おなかの調子がよくなりそうですー
Ｐ,さてご飯も食べた、お風呂も入った、スーパーヒーロータイムも観た。そろそろ寝るぞー
芳乃,はいー
Ｐ,こらこらこら、お前さんの布団あっち。ここ俺の布団
芳乃,すやぁ
Ｐ,寝るの早っ！くっ、ビクともしねぇ…！。…ま、いいけどね。いつものことだし…。おやすみー
芳乃,おやすみなさいですー
Ｐ,起きてるじゃねぇか。えーっと、芳乃は…。あれ？待ち合わせここで合ってるよな…芳乃の霊圧も感じるし
芳乃,そなたー
Ｐ,おーい芳乃ー。何処だ芳乃ー
芳乃,そなたー？
Ｐ,芳乃ー、芳乃さーん？よっちゃーん
芳乃,そーなーたー
Ｐ,うぉっ
芳乃,先ほどからー、ここにおりましてー
Ｐ,…
芳乃,おりましてー
Ｐ,…ああ、芳乃か！
芳乃,依田の芳乃ですー
Ｐ,すまん、普段と全然服装違うから分からなかったわ…
芳乃,おめかししましたー
Ｐ,ワンピース姿の芳乃なんてレアすぎだろ…あ、髪も三つ編みになってる
芳乃,おめかししましたのでー
Ｐ,へぇ…うん、似合う似合う
芳乃,むふー
Ｐ,しかし綺麗に編んでるなぁ。誰にやってもらったん？
芳乃,偶然アッキーに会いましてー
Ｐ,肉球でこれやったん！？。てか、何でわざわざ別々に出たんだ？一緒に家を出れば良かったのに
芳乃,待ち合わせをー、してみたかったのですー
Ｐ,乙女か
芳乃,乙女ですー
Ｐ,んじゃ、行くか。まずは水族館だったよな
芳乃,はいー
Ｐ,ハハッ、洋服姿の芳乃と歩いてるの、すっげぇ違和感
芳乃,そなたはー、いつもと同じですー
Ｐ,いつもと同じじゃないよ。普段ユニクロなのに今日は奮発して無印だよ
芳乃,なんとー
Ｐ,大型連休だから物凄く混んでそうだよなぁ…まあ、ＧＷの醍醐味と言えるかもしれないけど
芳乃,お盆のお台場よりかは、少ないかとー
Ｐ,待って。いつそれを体験してきたの？
芳乃,以前に比奈殿に連れられてー
Ｐ,よーし、次のイベントに重ねて仕事入れてやる。意外に空いてて良かったな
芳乃,日頃積み重ねた善行の賜物かとー
Ｐ,お、見てみ芳乃。イワシの群れだぞ
芳乃,壮観でしてー
Ｐ,…唐揚げにして南蛮漬けかな
芳乃,そなた、そなたー、あちらにマグロが回っておりますー
Ｐ,お、マジか。うわっデッケェ！
芳乃,ジンベイザメですー
Ｐ,もっとデケぇ！
芳乃,フレちゃん殿ですー
フレデリカ,潜水服
Ｐ,何してんの！？
芳乃,おおー、お魚にご飯をあげておりますー
Ｐ,え？一日体験？あぁ番組のコーナーなのね。…普通にビックリしたわ
芳乃,水槽越しに、お話できるのでしてー？
Ｐ,読唇術と勘
芳乃,なんとー
Ｐ,まぁいいや。仕事頑張れよー
芳乃,ご武運をー
フレデリカ,ｼｭｺｺｰ
Ｐ,深海魚ってさ…人目につかないからって神様デザイン手抜きしすぎだと思わないか？
芳乃,すみませんー
Ｐ,うん？
芳乃,そなたーカニですー、カニさんコーナーですー
Ｐ,お、ほんとだ。でも初っ端からスベスベマンジュウガニはどうなんだろうな。種類凄いあるなぁ…ズワイに毛ガニに…お、タカアシガニ。ボルキャンサーも
芳乃,大きいですー
Ｐ,カニミソたっぷり詰まってそうだな
芳乃,ミソは苦手ですー
Ｐ,芳乃はただの食わず嫌いだろ？あ、言っとくけどカニミソって言っても別にカニの脳味噌じゃないからな？
七海,中腸線、または肝膵臓とも呼ばれてます～。人間でいうところの肝臓と膵臓れすね～。カニは臓器が分かれないのでこの中腸線で栄養の貯蓄や分解、吸収、消化酵素の分泌を行っているのれすよ～
Ｐ,へー
芳乃,へー
七海,ではでは～ごゆっくりなのれす～
Ｐ,…エンカウント率高いなぁ
芳乃,そなたの宿命なのでしょうー
Ｐ,鮮魚コーナーはここまでか
芳乃,おおー、ペンギンです、ペンギンですー
Ｐ,ほんとだ。あ、寄ってきた
ペンギン,まいど
芳乃,懐っこいですー懐っこいのですー
ペンギン,お連れさん可愛いね
Ｐ,あんた達こそ
芳乃,そなたーそなたー、アシカですーアシカもおりますー
Ｐ,はいはい、あんまりはしゃぐと転ぶぞー？ついでにそれアザラシなー
ペンギン,ジュゴンやでー
芳乃,シロクマですー、そなた、そなた！シロクマですー
Ｐ,シロクマカフェっていつになったら二期やるんだろうな
シロクマ,それはボクも聞きたい
芳乃,そなたーそなたー、イルカですーイルカショーがやってますー
Ｐ,マジか。それは是非行かねば
芳乃,もう始まってますーそなたーそなたー、お急ぎくださいー
Ｐ,ちょ、そんな慌てなくても大丈夫だからって芳乃足早ぇな！
七海,イルカさんのジャンプなのれす～
イルカ,ガンバリマス！
芳乃,わぷぷっ、お水がー、お水がー
Ｐ,だから一番前の席はやめとけって言ったのに
七海,そーれ、もういっちょれす～
イルカ,ガンバリマスッ！
芳乃,あにゃにゃにゃっ
Ｐ,ガボゴボガボ！
七海,もひとつおまけにいくのれす～
櫂,どんとこーい！
Ｐ,ガボゴボガボゴボ！！
芳乃,へぷちっ
Ｐ,うわぁ…ずぶ濡れでごぜーますよ…
芳乃,びしょびしょですー
Ｐ,芳乃、白ワンピだから色々透けてる…
芳乃,そなたー、びしょびしょですー
Ｐ,目の前でダイナミックなイルカのジャンプ見られて楽しかったけど、代償は高くついたな…
芳乃,そいやっ
Ｐ,…
芳乃,乾きましたー
Ｐ,未来から来た猫型ロボットより便利ですね芳乃さんや
芳乃,そろそろお昼にしましょうかー
Ｐ,ん、もうそんな時間か。何か食べたいものあるか？
芳乃,むむー…。しいて言うのでしたらー、お魚でしょうかー
Ｐ,うん、俺もそんな気分だわ
芳乃,ご馳走様でしたー
Ｐ,回るお寿司も最近レベル高いよなぁ。今度みく連れてきてやろう
芳乃,程々にー
Ｐ,さてと、次はどこ行くんだっけ？
芳乃,昨日考えた予定ではー、動物園ですー
Ｐ,ハハッ、今度はステーキ食べたくなりそう
芳乃,そなたーそなたー、触れ合いコーナーがありますー
Ｐ,せやね
芳乃,ウサギとー、モルモットとー、ピグミーマーモセットを抱っこできるそうですー
Ｐ,３つ目やたらマニアックじゃね？
芳乃,もこもこですー、もこもこですー
Ｐ,ほんとだ。レノア使ってる？
ウサギ,使うてへんよー
モルモット,抱っこしてやー
芳乃,可愛いのでしてー。そなたそなたー、可愛いのでしてー
Ｐ,うん、めっちゃ可愛い
ウサギ,ほんま可愛い
モルモット,目指せ６代目シンデレラガール
芳乃,沢山もふもふしましたー
Ｐ,そりゃ何よりで。連休にしてはこっちも結構空いてて良かったな。人払いの結界でも張った？
芳乃,まだしておりませんー
Ｐ,まだ？
芳乃,そなたーそなたー、次はどちらに参りますー？
Ｐ,うーん、色々ありすぎて迷うところだな…何かおススメとか無いのかな
カピバラ,この時間ならパンダが活発になってると思いますよ
Ｐ,だとさ。パンダ行くか芳乃
芳乃,まいりますー
ワラビー,いってらっしゃーい
芳乃,パンダですー
Ｐ,おお…実物見るの久しぶりだな…うわ、意外と目つきが鋭い
芳乃,もこもこですー
Ｐ,大抵の動物はモコモコしてると思うけどね
芳乃,ほー？。そなたーそなたー、大熊猫、と書いておりますー
Ｐ,それでパンダと読むだよ。ちなみに小熊猫だとレッサーパンダな
芳乃,なるほどー
パンダ,なるほどー
Ｐ,しかしパンダはやっぱり動物園の人気アイドルだよなぁ。ほら見てみ芳乃。あっちのパンダ笹齧りながらタイヤにぶら下がってるぞ
芳乃,あちらのパンダがー、太極拳をしておりますー
Ｐ,なんでだよ
芳乃,見えませんー
Ｐ,猛獣コーナーは流石に大盛況だな…今のところ霊長類しか見えねぇわ
芳乃,そなた、そなたっ
Ｐ,ほら、混雑してるんだからちゃんとはぐれない様にな
芳乃,でしてー
Ｐ,子供がいたらこんな感じかなぁ…嫁さんどころか彼女もいねぇけど。芳乃、一旦ここは諦めて向こう行こう。キリンとかいるらしいぞ
芳乃,ほほー、麒麟でしてー
Ｐ,今絶対違うもの思い浮かべただろ
ライオン,ガオーーッ！
芳乃,あややー
トラ,本能覚醒！
Ｐ,おおーっ
サーバル,すごーい！
芳乃,フレンズなのでしてー
仁奈,猛獣の気持ちになるですよ！
Ｐ,何してんの！
ゴリラ,私に良い考えがある
芳乃,司令官のようなお声ですー
幸子,フフーン！
Ｐ,…
幸子,ちょっ、何でボクだけノーリアクションなんですか！
芳乃,大迫力でしたー
Ｐ,そうだね。所々よく知った顔を見かけたけど
芳乃,沢山歩きましてー、お腹がー
Ｐ,そろそろ夕方だし、どこかで晩御飯にしようか
芳乃,いきなりステーキですー？
Ｐ,あ、やっぱり肉系にしたいのね
芳乃,爆弾ハンバーグでもー
Ｐ,ハハッ、沢山お肉食べて体にお肉つけなさい
芳乃,よしぱんちー
Ｐ,あたっ
芳乃,おなかがー、おなかがー
Ｐ,まさか焼肉になるとは…それにしても
芳乃,うあー、だめですー、破裂してしまいますー
Ｐ,あはは、芳乃のお腹めっちゃぽんぽんになっちゃったな
芳乃,蕩ける様なお肉でー、お箸が止まりませんでー
Ｐ,及川牧場直営店だからなぁ
芳乃,おなかが苦しいのですー…
Ｐ,おんぶでもしてやろうか？
芳乃,そこまで幼子扱いされるのは心外ですー
Ｐ,それもそうだ。芳乃ももう１６？
芳乃,肩車でお願いしますー
Ｐ,どういう基準なの？
芳乃,朝なのですー
Ｐ,ぐぇっ
芳乃,朝なのです朝なのですー
Ｐ,ぐへっ、ごふっ、お、起きたから…朝ってわかってるから…
芳乃,今日もお出かけするのですー。ご一緒にお出かけするのですー
Ｐ,ゲフッ…ボディプレスで起こされるのは勘弁してください…
芳乃,良い天気なのですー。さぁさぁー
Ｐ,…今日は１日ゴロゴロしてない？
芳乃,お出かけするのでーしーてー
Ｐ,…日曜日のお父さんってこんな気分なのかなぁ。んで、今日はどこに行く？
芳乃,どうしましょうー
Ｐ,ノープランで起こしたんかい…映画でも行くか？
芳乃,構いませんー
Ｐ,って言っておきながら今どんな映画やってるっけ……チッ、特撮系ねぇや。ゴジラＶＳ森久保ぐらいしか無いぞ
芳乃,ラウンドワンはー、どうでしょうー
Ｐ,やだよ、芳乃すぐ分身するから勝てないし
芳乃,カラオケはー
Ｐ,芳乃の歌声長時間聞いてると消滅しそうになるからなぁ
芳乃,むぅぅー、そなたはわがままですー
Ｐ,そう無理して出歩かなくても、家でゲームしてても良いんじゃないか？
芳乃,折角なのですー、そなたとお出かけしたいのですー
Ｐ,うーん…俺としては今日はゴロゴロしながらゲームしていたい気分なんだけど
芳乃,仮面ライダークロニクルではー
Ｐ,そんな折衷案嫌すぎるわ。俺コンティニュー出来ないぞ。…という訳でまた待ち合わせですよ。一緒に家を出て一緒に出掛ければいいのに…年頃の娘さんの気持ちはよくわからん。ヘレンの出身地ぐらいわからん
