三村かな子,うーん、でもその美味しいはちょっと違うと思うな……
矢口美羽,でも結構いいと思うんですよ。私の考えたかな子さんの新しい芸名……
美羽,三村パイナッポゥ
かな子,やっぱり違うよね
美羽,えー
かな子,えー、じゃないよ。むしろそれ私が言いたいんだよ？
美羽,ありゃ、そうでしたか。ではご一緒に。えー
かな子,そうじゃないんだよ
美羽,そうじゃないんですか。食べ物的にも、芸人的にも美味しくてダブルオイシイですよ！
かな子,私、芸人的な美味しさは求めてないんだ
美羽,なんとまあ。まあそれはともかく、芸名第二案に行きましょう！
かな子,こっちの意向は完全に無視していくんだね……って、第二案？
美羽,心配しなくてもまだまだたくさんありますから！
かな子,あんなのがまだまだたくさんあるんだ……
美羽,あんなのって
かな子,とりあえず聞いてみるけど、第二案はどんなのなのかな？
美羽,第二案は三村めんたいこですね
かな子,なんでそこでたらこをチョイスできないのかなぁ
美羽,そう、それですよ！そういうツッコミに美味しいから大丈夫だよって返せば大ウケ間違いなしです！
かな子,おぉー……。って嫌だよそんな数年後に美味しいから大丈夫だよ
美羽,妙に具体的ですね。じゃんじゃか行きましょう！次は三村カラーボールです
かな子,え、何？私強盗に向かって投げつけられるの？
美羽,えーっと……まあ、必要に迫られれば……
かな子,必要に迫られれば投げられるアイドル！？
美羽,三村かまどはどうでしょう。あったかさを感じますよね
かな子,あったかい通り越して燃え盛ってるよね？
美羽,土鍋でご飯も炊けますよ
かな子,明太子と合うからちょうどいいね……って今に限っては美味しさは関係ないよ！！
美羽,三村ガタゴン
かな子,ＵＭＡ！！！。はーっ、はーっ……
美羽,どれも駄目ですか……
かな子,……美羽ちゃん、もしかして頭にスポンジケーキでも詰まってるのかな？よかったらデコレーションしてあげるよ？
美羽,どんどんツッコミのキレが増してきてますね
かな子,嬉しくないよ……
美羽,それを踏まえて一つ相談があるんですけど……
かな子,うん？
美羽,私とコンビ組みませんか？私がボケでかな子さんがツッコミです
かな子,なんでやねん！！！
