塩見周子,お疲れ～……あ、文香ちゃんと茜ちゃん、あけおめ～
鷺沢文香,明けましておめでとうございます
日野茜,よいお年を！！！
周子,2018年が秒で過ぎていった
茜,よいお年を！！！
周子,おおっとこいつは強情だ
文香,茜さん、朝からこれしか言わなくて……
周子,2018年に切り替わるタイミングで何かしらのバグが起きてるじゃん
茜,よいお年を！！！
周子,もうなんか年の瀬に思えてきてあたしの自我が危ないから止めて
文香,よいお年を
周子,結託して精神攻撃しないで。ってか2人でさっきまで仕事だったんでしょ？大丈夫だったの？
文香,テレビの生放送だったので事なきを得ました……
周子,事なきを得そうな要素ゼロなんだけど
文香,幸いなことにフリートークの多い番組でしたので……
周子,文香ちゃんにとっての幸いって何？
文香,ふふ……
周子,え？
文香,すみません、実はちょっとしたドッキリなんです
周子,ええ～？もー、新年なんだからさ～
文香,け、決して周子さんを狙った訳ではなく。この部屋に身長160～165cmでやや痩せ型、白い髪の京都出身の10代女性が入ってきたら決行しようと
周子,これ以上ないレベルでスナイプしてるじゃん
茜,ハッピーハロウィン！
周子,悪化してる
鷺沢,周子さんが驚いているうちに通帳と実印を
周子,このドッキリでそこまでの戦果狙う？
文香,周子さんはお仕事終わりですか？
周子,そうだよー。夜からまた仕事なんだけど、一旦事務所に顔出そうかなって
茜,仕事納めですね！？
周子,そんなにあたしの2018年を終わらせたい？
茜,あけましておめでとうございます！！！
周子,それもしかして2019年の挨拶？終わった？あたしの2018年はもう駆け抜けていった？
文香,もし夜までお暇なら、ご一緒に初詣に行きませんか？
周子,え？いいの？
茜,もろちんです！！！！！
周子,よく読んだら新年早々放送が難しそうなワードだけどひらがなってすごいね
文香,隠れ家的でモダンな神社をこの前見つけたのです
周子,その形容はカフェ以外に使わない方がいいよ
茜,サンドイッチと紅茶が美味しかったです！！！
周子,それカフェでは？。なんていう神社なの？
茜,ドンキホーテ！
周子,何も祀られてない
文香,確か明治神宮と
周子,隠れ家どころか日本中が注目してるとこだね
文香,噂に聞いただけなので、もしかすると存在しないかもしれませんが
周子,もしかしなくても存在するわ
文香,まあ明治神宮は混雑しますし、やめておきましょう……
茜,閉まってるかもしれませんしね！
周子,明治神宮が今日閉めてたら暴動起きるよ
文香,どこか近所の神社にしましょうか
茜,OK,Google！徒歩3時間以内の神社！
周子,近所という言葉の認識に根本的なズレがある
文香,先ほど周辺の地図を拾ったので見てみましょう
周子,ダンジョンかよ
茜,あっ！こことか良さそうですよ！！！
周子,それGoogleの音だと思ってたけど違うんだね
文香,2駅隣、駅から5分、南向き、風呂トイレ別……いい神社ですね
周子,後半必要？ユニットバスの神社見たことある？
文香,しかも抽選で100名様にお賽銭キャッシュバックキャンペーンをやっているようです
周子,商業的搾取への意欲が凄まじい
茜,1階はコンビニですね！
文香,新しいですね
周子,現代社会は神様を蔑ろにしすぎだよ。この辺の普通の神社でよくない？
文香,普通ですね……スリル・ショック・サスペンスのうち2つは満たしてほしかったのですが……
周子,それは恋した時に取っておいてあげて
茜,そうと決まったら出発しましょう！へい策士！
周子,諸葛亮きちゃうから素直にタクシー呼ぼうね。……というか、本当に付いて行っちゃっていいの？
茜,その心は！
周子,笑いに繋げるつもりはなかったんだけど
文香,無理にとは言いませんが……
周子,いや、文香ちゃんと茜ちゃんなんて、事務所でも仲良いって評判の2人じゃん？
茜,そっそそそんな！！！
文香,まだABCならZまでしか進んでいませんよ
周子,一般的に存在しない段階なんだけど何してるの？。お邪魔じゃないかなーって
茜,まだ大丈夫ですよ！
周子,近いうちに邪魔になるという含み
文香,私は、茜さんと同じくらい周子さんとも仲を深められているという認識でしたが……
周子,そ、そう言われると断れないねえ
茜,私もまだそう思ってます！
周子,近いうちに仲違いするという含み
文香,では出発しましょうか
茜,どちらへ！？
周子,記憶の持続時間が壊滅的だね
文香,すみません、持ち合わせがないのでATMでおろしてから行きたいのですが……
茜,子どもを！？
周子,ATMには荷が重いんじゃない？
茜,私もお賽銭を80万円ほどおろさなきゃです！
周子,大規模な寄付じゃん
～コンビニエンスストア,ファミリーマートを想定
周子,その注釈いる？
茜,誰に言っているのでしょうか……？
文香,見ちゃいけません……！
周子,今の1回だけで危ない人扱いは流石に遺憾
文香,少しの間、待っていてください……
周子,おっけ、飲み物でも買ってるね～
茜,周子ちゃん、飲み物でも買っていようとしてますね！？
周子,今しがたそう言ったとこ
文香,大変長らくお待たせしました
周子,その修飾に見合うほどは待ってないけど行こっか
茜,へいヴォクシー！
周子,車種を指定？
文香,気を遣わなくても、私なら歩けますので……
茜,両足の骨が折れても！？
周子,その想定は必要？
文香,やはり人が多いですね……
茜,私、ドミノ倒し好きなんです！
周子,今そのカミングアウトする？
文香,はぐれないように手を繋ぎましょうか
茜,はっ、恥ずかしいですが！
文香,私の右手と茜さんの左手。私の左手と周子さんの右手。周子さんの左手と茜さんの右手を繋げば
周子,輪になったね
文香,なんと……！来年までには改善案を捻出いたしますので……
周子,あたしと茜ちゃんが繋いだ手を離せばいいんだよ
茜,嫌です！！！
周子,嬉しいけど解決は絶望的になった
文香,一旦、手とこの世の全てのしがらみと生への執着を離すことにしましょう
周子,この一瞬で結構なものを消しとばしたね
文香,はぐれないように意識しましょうね
周子,まあ、そうそう迷子にもならないでしょ
文香,茜さんがいません
周子,3歳児でももう少し視界に残ってるよ
文香,あれだけパンくずを落として進めと……
周子,その手法は有用ではないと童話で証明されてる
茜,あっ2人とも！迷子になっちゃダメですよ！
周子,言ったもん勝ちズルいわー
文香,ご無事で何よりです
周子,文香ちゃんと茜ちゃんだけでも手え繋いどきなよ
文香,手を……！？ABCならTですよ？
周子,凄い興味湧いてきたんだけどそのABC26個全部教えてくれない？
文香,どの地方の豊作を願いましょうか……
周子,豊作願うのは確定？
茜,お2人ともっと仲良くなりたいですがいかんせん私には女子力というものが足りず服もメイクもセンスがありませんしその辺りを練習するためにも雑誌を読んだり試しに洋服や化粧品を買うなりしたいのですがお金がないとその辺りままなりませんので
周子,葛藤は認めるけどアウトプットされた文言はクズそのもの
文香,周子さんは何をお願いされますか？
周子,あたし？うーん……
茜,どの家庭の安産を願いますか！？
周子,安産願うのは確定？。ま、無難に無病息災かな
文香,人間さえいなければ病も災いも訪れませんが
周子,いちいち発想が荒廃してんだよね
茜,ちなみに文香ちゃんは何を！？
文香,朝食はトーストでしたが……？
周子,会話内での察しが余りに悪い。さて、あたしは事務所に戻るけど、2人は？
茜,私は家に！
文香,私は豊洲市場の水質調査に
周子,それ今日じゃなきゃダメ？
茜,お疲れ様でした！
文香,次に会う時は法廷ですね
周子,誰がどこに立つのを想定してる？。じゃ、あたしこっちだからさ
茜,また来年です！！！
周子,ここから丸一年会わないのは逆に難易度が高いかな
文香,痴漢や暴漢やボウカーにはお気をつけて……
周子,元ジャイアンツのボウカー選手とのエンカウントは全く考慮してなかった
文香,では
茜,今年もよ
文香,ろし
茜,くお願
文香,いし
茜,ま
文香,すね
茜,！！！
周子,過度な分業は効率を損なうという好例
茜,以心伝心でしたね！
周子,打ち合わせしてたとしても難易度がエグかったよ
文香,僕らはいつも以心伝心……ふたりの距離繋ぐテレパシー……
周子,懐かしっ
文香,確かブルースイハンキみたいなグループだったかと
周子,単語のカテゴリだけは二枚抜きできてるけどカテゴリ内では壊滅してる
文香,来年までには思い出しますので……
周子,解決の先延ばし好きだね
茜,私も来年までには今年の目標を立てなくては……！
周子,矛盾が生まれてる
文香,すみません、持ち合わせがなくなったのでATMでおろしてから帰りますね
周子,財布に穴でも開いてるの？
茜,魚を3枚におろしてから！？
周子,ATMには荷が重いって言ってるじゃん
文香,今度こそ、さようなら……
茜,お疲れ様でした！！！
周子,はいはい、誘ってくれてありがとね
茜,お疲れ様でした！！！
文香,またお暇なら初詣に行きましょうね
周子,今後1週間くらいしか該当されないけどそれでいいなら
茜,お疲れ様でした！！！
周子,そんなに帰ってほしい？
茜,よいお年を！！！
周子,結局精神攻撃かい
