モバP(以下P表記),お疲れ様でーす。……誰かいるか？
双葉杏,うーい……
P,ん、杏か？……寝転がりながらゲームをするな、ちゃんと座ってやりなさい
杏,お母さんかよぅ……うーん、今日のレッスンで足疲れちゃってさ。座ってると少しジンジンするんだよ
モバP,今日のレッスンはボイトレ中心だったっけ？
杏,うん。今日は座らせて貰えなかったよ……おかげで足パンパン
P,あー、なるほどなぁ……突っ立ってるだけってのが一番辛いよな
杏,休憩なしでぶっ続けで発声してたからね……鬼だよマストレざンッ、ゴホッ、ゲホッ
P,痰が絡んだか。大丈夫か？
杏,んんっ、あー。大丈夫……でも飴が欲しい……
P,のど飴あるぞ。いるか？
杏,貰うよ、ありがと。何味？
P,龍角散
杏,ゴッフッッッ！にっがッッッ！！。うぇっ、口全体に凄い漢方の臭いが蹂躙してくる！！
P,書道室の臭いってみんな言うよな。俺にとっては似てるけど別物って感じだが
杏,プロデューサー、なんて物食べさせるのさ！びっくりしてゲームオーバーになっちゃったよ！！
P,いや、のど飴っつったら龍角散だろ
杏,確かに最適ではあるけどさ！でもせめてブルーベリーとかシークァーサーとか舐めやすい奴にしてよ！なんでプレーンなんだよぅ！！
P,あんなもん邪道だ邪道。効果もプレーンと比べたら効き悪いしな。逆プラシーボかもしれんが
杏,これだから古臭い人間は……うぅ、吐き捨てたい……
P,なんだよ。美味しいだろ？龍角散のど飴
杏,杏に言わせればこんなの飴じゃないね。味覚おかしいんじゃないの？
P,言ってくれるな。味のわからん小娘め
杏,いやいや、瑞樹さんあたりならまだしも、杏あたりの歳で美味しいなんて口走る子なんていないと思うよ？
P,それじゃあ次この部屋に入ってきた未成年に聞いてみるってのはどうだ？もし美味しいって言ったら来月の仕事多目に取ってくるからな
杏,いいよ？その代わり美味しいって言わなかったらマストレさんに杏のレッスンを楽にしろって言ってもらうからね
P,いいだろう、この勝負のった
杏,勝負にすらならないと思うけどね。言い訳はきかないよ
P,ん、足音がこっち向かってくるな。この時間帯だと……誰だろうな？
杏,誰でもいいよ。杏の勝ちは変わらな―――
西川保奈美,お疲れ様です。あら、Pさんと杏ちゃん。こんばんわ
杏,プロデューサー。これはノーコンテにしよ？
保奈美,えっ、と……どういう状況？
P,保奈美さん、お疲れ様です。いきなりなんですけど、これ―――
杏,いやいやいや、これは狡いって。もっと適任がいるよ、卯月とかさ
P,何を言ってるんだ、条件通りの適任じゃないか。往生際が悪いぞ
杏,だって保奈美だよ？酒屋でワイン物色してても誰も気にしない人種は除外するベきだと思うな
保奈美,杏ちゃん？どういう意味かしら？
P,言いたい事はわかるが、だからといって舌まで成熟してるとは限らんだろ？
