ノザキーコング,以下、ノザキ
ワカコング,以下、ワカ
ノザキー,いつの間にか……大切にしていたあれが全部盗まれてしまったんだ
ワカ,大切にしていた……？
ノザキー,沢山の……
ワカ,……あっ！！もしかしてバナナですか！？
ノザキー,……ペンだ
ワカ,ゴリラがペン！？
ホリーコング,以下、ホリー
ノザキー,あなたは……先代ノザキーコングのホリー先輩！！
ワカ,ほ、本当に……あのキングユヅーキが！？
ホリー,ああ
ノザキー,早く取り戻さないと漫画が書けない……締め切りがそこまで迫ってると言うのに！！
ワカ,ゴリラが漫画！？
ホリー,ノザキー、ワカ……取り戻しに行ってくれるか？
ノザキー,分かりました
ワカ,ま、任せてください！！
ホリー,悪いな……本当は俺も行きてえけど身体が動かなくてな……
ノザキー,ホリー先輩……恐らく戦いで身体を負傷したんだろう
ホリー,後輩にバックドロップやったら腰をやっちまったんだよな
ワカ,見てください先輩！！アイテムが埋まってますよ！！
ノザキー,こういう時は俺が開発した技、ハンドスラップを使えば掘り起こせる
ワカ,本当ですか！？流石先輩です！！
ノザキー,早速ハンドスラップを……。……やめよう
ワカ,え、ええっ！？どうしてですか！？
ノザキー,地面を叩いて突き指したら漫画が描けなくなるからな、手は漫画家の商売道具なんだ
ワカ,じゃあなんでそんな技を開発したんですか！？
ノザキー,うーん……ないな……
ワカ,何を探しているんですか？
ノザキー,KとNはあったが……あと二つが見つからない
ワカ,あっ……KONGパネルですね！！俺、探してきます！！
ノザキー,……！！待て、二つともあったぞ！！
ワカ,本当ですか！？じゃあこれで四つ……
ノザキー,ああ、四つそろった！！。剣さんパネルの完成だ！！
ワカ,それ絶対違いますよね！？
ノザキー,……！！よく見たら一部のコースで剣さんパネルを回収してなかった！！
ワカ,戻りますか？
ノザキー,だがここはワールド2……ワールド1には戻ることはできない
ワカ,そんな……！！
ノザキー,だが一つだけ方法がある。バレル空港を使えば前のワールドに戻れることができるんだ
ワカ,バレル空港……
ノザキー,早速行こう
ワカ,はいっ！！
マエーノコング,以下、マエーノ
ノザキー,ワカ、剣さんパネルは諦めよう
ワカ,ええっ！？
マエーノ,飛ばしますからね！しっかり捕まってくださいよ！！
ノザキー,はい
ワカ,う、うわあああああああ！？振り落とされるううう！！？
ノザキー,マ、マエーノさん！！もう少しスピードを遅くしてください！！
マエーノ,えー？もっと激しく？しょうがないですねー
ノザキー,そんなことは言ってない！！
ワカ,うわあああああああああ！！！
ノザキー,振り落とされるなワカ！！しっかり捕まっていろ！！
ワカ,は、はい！！
マエーノ,よーし、テンションを上げるためにバロンユヅーキさんのBGMを流しますねー！！
ワカ,zzz……
ノザキー,ワカアアアアアアアアアア！！！！
マエーノ,アハハ！！海に飛び込むなんて元気がいいなぁ！！
ノザキー,なんとか剣さんパネルは回収した……。……ん？あれはDKバレル……。そうだ、あれを壊してワカを生き返らせよう
ミコシバミコング,以下、ミコシバミ
ノザキー,すいません、人違いでした
ミコシバミ,逃げるな！！せめて今の台詞に触れろ！！///
ノザキー,この先は……敵が沢山いるな
ミコシバミ,へっ、俺に任せときな
ノザキー,！！
ミコシバミ,へっ……この身のこなし……お前には真似できねえだろ？ここの敵は俺が全員やっちまったぜ
ノザキー,……おい！！
ミコシバミ,！？な、なんで怒ってんだよ！？
ノザキー,ヒロインのお前が活躍してどうする！！お前はずっと俺にしがみついてくれ！！
ミコシバミ,はぁ！！？。だいぶ進んだな……
ノザキー,気をつけろ……このワールドのボスはキングBという蜂らしい
ミコシバミ,蜂か……気をつけねえとな。……！！こ、この音は……
ノザキー,キングBか……来るぞ！！
ミコシバミ,へっ……いつでも来やがれ！！
ノザキー,すまない、お前はヒロインだから怖がってくれ
ミコシバミ,まだ言ってんのかよ！！
キングB,こんにちは……可愛いお猿さん達。一瞬バナナの妖精かと思ったよ
ミコシバミ,！！？
ノザキー,こいつは……キングBじゃない！！プリンスBだ！！
キングB→プリンスB,さあ……そろそろおしまいにしようか
ミコシバミ,うぅ///
ノザキー,くっ……プリンスBの口説きでミコシバはもう再起不能だ！！。そして俺一人ではどうにも……
プリンスB,大丈夫だよ……すぐに楽にしてあげるからね
ノザキー,くっ……ここまでか……
ホリー,蜂てめえ！！
ノザキー,！！！？
プリンスB,ホ、ホリー先輩！！？
ホリー,ノザキーの迷惑かけてんじゃねえ！！
プリンスB,ぐはあ！？
ノザキー,せ、先輩……どうしてここに！？
