男は苦笑を浮かべて、,ナンパじゃない
アタシは少しおどけたように言った。つまり,その気はない
お互いの病室を行ったりきたりして、入院生活の退屈さや、病院食のまずさの愚痴を言い合う。,あの先生は針を刺すのがへたくそだ
少なくともアタシはそうしていた。,〇〇日に退院するから
アタシにそれを知ることはできない。そこらのお医者さんや看護師さんをつかまえて尋ねれば、返事はもらえるのだろう、,元気になって退院した
だいぶあとになってから、,死刑囚は自分の刑が執行される日を知らされない
だから死刑囚たちは遠くから足音が聞こえると、,止まってくれ
近くといえば近く、だけどこの辺り一帯はほとんどオフィス街なので、普段はおとずれることはない。大手というだけあって、事務所となっているビルそのものが、見るだけで気後れするぐらい大きい。,こんな地図でたどりつけるのかな？
なんとなく真ん中の人の前に行って、昨日もらった名刺を見せた。彼女は,そちらにおかけになってお待ちください
乃々ちゃんが、,それでは、もりくぼは失礼します……
プロデューサーがため息をついて、,あまり新人をいじめるなよ
杏は,へいへい
１階で降りると、階段を使ったらしいプロデューサーが待ち構えていた。建物を出たところで、アタシは、,ついてこないで
保護者の欄は自分で記入しようとも思ったが、大人っぽい字を書けないからすぐにバレそうだという少し情けない理由もあって、結局、,なにも言わずにこれ書いて
ぼんやりと、,死ぬんだろうな
彼女がなにを言っているのか、アタシにはよくわからなかった。うつろになっていく意識の中で、,内緒ね
チラチラとこちらの様子をうかがっている影に向けて、,乃々ちゃんも、おいで
彼女は集まった観客たちに一礼し、照れたような表情で、少しどもりながら、,ありがとうございました
職員室に入ると生活指導の教師が、,昨日は悪かった
だけど、,いいですよ、気にしてませんから
国語の教師が、,お説教は終わったのか？
次の日、また次の日も、アタシはこのレッスンに参加した。そして、いつも途中でプロデューサーがやってきてストップをかけた。,まだできる
ある日、レッスン開始から数十分経過したころ、,おじゃましますけど……
それからプロデューサーは、,双葉の見立てだと、どのくらいもつ？
初めのうちは、,もう休憩？
コンコンとノックの音が響き、,着替え終わった？
プロデューサーは、,ほう
なにか感想でも言ってくれるのかな、と少しだけどきどきしながら待っていると、,靴は問題ない？
もういちどノックの音が鳴り、ドアの向こうから,加蓮
アタシはそのままドア越しに、,なに？
台車からおりた杏は、マイクに向かって,おはよう
客席から、,おはよう！
いつだったろう、アタシは友達がいないとか話していたとき、,杏も同じようなもんだ
アタシは机にむかって,乃々ちゃんおはよう
ドアの前に立ち、杏はプロデューサーを見上げて、,ありがとね
