―千早の部屋,夕方
春香,ただいま～みんなごめん！遅くなっちゃってー
やよい,すみません、皆さん！お待たせしました！
伊織,なんで、この伊織ちゃんが買い出しなんていかなきゃいけないのよ……
千早,3人とも、おかえりなさい
美希,もう、遅いよ3人とも！ミキ、もうお腹ぺこぺこなの
春香,ただいま千早ちゃん。あはは、もう少し待っててね、美希
伊織,何で、あんたはそんな偉そうなのよ！全く……ん？
響,いいか、真。火加減っていうのは真が思っている以上に結構重要なことなんだ。今度からはしっかり意識するんだぞ？
真,オッケー！任せといてよ！
伊織,そっちは二人で何の話をしてるのかしら？
真,あっ、伊織お帰り。いや、伊織たちが買い物に出かけている間、響に――
美希,ううん！なんでもないの！デコちゃん、お買い物疲れたでしょ？ミキがマッサージしてあげるの！
伊織,えっ？ちょ、ちょっと美希！？
美希,ほら、こっちのソファーに……ううん、あっちのベットに行こ？
伊織,こら！いきなり引っ張んないで――んっ///こ、こら！///変な揉み方するんじゃないわよ！///
美希,照れてるデコちゃんも可愛いの……大丈夫、ミキに任せて
伊織,えっ、ちょっと嫌！誰か、助け――あははははっ！いや、止めてぇぇぇ！くす、くすぐったいから！
響,美希のやつ、急にどうしたんだ？
真,えっ、いつもあんな感じじゃない？
響,うーん……確かにそうだな。はるか、やよい、お帰りだぞー。鍋の準備自分も手伝ってあげるよ！
やよい,ほんとですか、響さん！ありがとうございます！
響,3人で準備すればあっという間さ～
春香,それじゃ3人でぱぱっと終わらせちゃおうか！
やよい・響,おー！
千早,春香……さっき律子から連絡があって、あっちは少し撮影が押しているみたい。先に始めてていいそうよ
春香,そっかー。うん、わかった！千早ちゃんも真も、今から準備しちゃうからもう少し待っててね
真,りょーかい。それじゃ千早、ここは春香たちに任せて、ボクたちは伊織たちと一緒にこたつに入って……ガールズトークしよう！
千早,えっ！？……ふふっ。今度はしっかりついていけるように頑張るわ。春香、何か手伝えることがあったら言ってね
春香,うん！
やよい,……あれ？このお鍋はなんですかー？
響,あっ、それはさっき自分と……
美希,――でね、そしたらね、そこの店員さんがお似合いのカップルですねって言ってくれたんだよ！あはっ☆
伊織,そんなのありきたりな営業トークじゃない。っていうか、よくあんたたち気付かれなかったわね
真,はぁ～楽しみにしていたのに結局、雪歩と同じようにボクは美希の好みで選んできた服をとっかえひっかえ着せ替えさせられただけだったな～
美希,だって、最初に真くんの好きな服選んで着てみてってミキが言ったら……
真,また、そういうこと言う！店員さんも褒めてくれてたじゃないか！
伊織,ほんと、接客業の鏡ね、その店員
千早,へえ、真がそんなに力説するなんて、一度見てみたいわね
美希,あっ
真,へへぃ。実はそのときの姿をボクの携帯で、美希に撮影してもらったんだ～！
伊織,……何やってんのよ、あんた！あれは後世に残しちゃいけないものよ
美希,だって……あの時の真くん、すごく必死だったから
真,えーと……ほら、これ！このヒラヒラのフリフリがたくさん付いてて可愛いでしょ？
千早,！？！？
真,どう千早！？千早にならボクが選んだこの服の良さ、わかってくれるよね？
千早,え、えぇそうね……その、なんていうか、とってもピンク色で――
やよい,うっうー！皆さん、お待たせしましたー！
春香,今日は765プロのみんなが集まるから、大きいお鍋を二つ準備したよー
美希,わぁ～待ってましたなの！
響,第2弾もあるからみんなドンドン食べてよね！。あっでも、後から来る人もいるから全部食べちゃダメだぞ。特に貴音をなだめるのは大変なんだから
千早,そ、それじゃ私は飲み物の準備するわね！
真,ちょっと千早！？……まぁいいか、後で時間があるときにゆっくり意見聞こうっと
春香,あっ、千早ちゃん。それじゃ、冷蔵庫の中にさっき買ってきたジュース類あるから持ってきてくれる？紙コップはこっちにあるから
千早,わかったわ
伊織,……これからは気を付けることね、千早
千早,……えぇ、肝に銘じるわ
響,取り皿にはこれ使ってねー
美希,ねぇねぇ？お鍋の蓋取ってもいい？
響,うわぁ～！触ったら熱いからダメだぞ！……もう！美希もお皿配るの手伝ってよ～
美希,ミキは食べる専門だも～ん。あはっ☆
千早,はい、飲み物持ってきたわ。みんな、何飲む？
真,じゃ、ボクも飲み物注ぐの手伝うよ
伊織,私には100％オレンジジュースをお願い
真,はいはい。わかってますよ、伊織お嬢様
伊織,にひひっ。あっ、そういえば響。あなたの鞄から携帯の振動音が何回か聞こえたわよ？
響,えっほんと？マナーモードにしたまんまだったかな――って、うがぁ～！
真,うわわ～！なんだよ響！いきなり大声出すからびっくりして少しこぼしちゃったじゃないか！
やよい,あわわ～大丈夫ですか、真さん！今、ふきん持ってきますね！
響,貴音から……着信7件、メールが2件も来てる……撮影終わってからずっと連絡してたみたい。着信件数も凄いけど、あの機械に疎い貴音がメールを2件も送ってくるだなんて……
伊織,はぁ～早いところ、鍋の無事を知らせてあげるべきね
響,うん……そうする。ごめん、貴音に電話してくるから少し席外すね。先に食べてていいから
美希,早く戻ってこないと響の分もミキが全部食べちゃうよー
響,それはダメだぞ！……あっ、もしもし貴音？ごめん、鍋の準備してて電話に気付かな――うがぁ～！そんな泣かなくてもいいじゃんか～鍋はまだ残――
伊織,なんだかんだで、響も苦労してるのね……
やよい,それじゃ、そろそろお鍋も余熱でいい感じになってきた頃なので、ふた取っちゃいますね～
美希,よっ、待ってましたなの！
真,はぁ～やっぱり冬にはみんなでお鍋は欠かせないよなー
やよい,じゃじゃ～ん！えへへ～私と春香さんと響さんの三人で作った自信作です！
春香,右の白い方が豆乳鍋で、左の赤い方が豚キムチ鍋だよ
真,美味しそう！ボク、豆乳鍋って一度食べてみたかったんだよね！
春香,まろやかですごく美味しいよ。そんなに豆乳っぽくないから豆乳が苦手な人でも全然平気だと思うし
伊織,へぇ～それじゃ私はその豆乳鍋を先に頂こうかしら
春香,おっと、その前に……じゃじゃ～ん！
真,あっ、春香。わざわざ盛り付けしてくれたんだ！ありがとう！
伊織,ん、何よ？……肉じゃが？
やよい,はい！どうやら私たちが買い物に行ってる間に、真さんが作ってくれたそうです！
伊織,！？
真,へへぃ///実は響にいろいろと教わりながら作ってみたんだ///
美希,真くん、ちゃんとミキたちの約束守ってくれたんだよ！嬉しいよね、デコちゃん！
伊織,あ、あんな話……別に、真に受けなくてもよかったのに///
真,むぅ……なんだよ、折角ボクの手料理が食べたいって言うから作ったのに～
春香,まぁまぁ。真が折角作ってくれたんだからみんなで一緒に食べよう
やよい,皆さんの分よそりますから取り皿、お預かりしま～す
美希,それじゃーやよい、デコちゃんと同じのちょうだい！
やよい,はい！
春香,……うん！真、この肉じゃがすっごく美味しい！
真,ほんと！？いや～春香にそう言われると自信がつくな～
春香,そんな、大げさだってー。お料理だったらやよいや響ちゃんのほうが上手だよ
伊織,……
春香,ねぇ、伊織？美味しいよね？
伊織,そ、そうね
真,……
千早,ご飯も炊いてもらったから、お鍋と一緒に食べたい人はどうぞ
真,あっ、それじゃボク、頂こうかなー
美希,えっ？真くんはお鍋食べるときご飯も一緒に食べるの？
真,あれ？お鍋のときって普通、ご飯と一緒に食べない？
春香,あははっ、鍋パーティあるあるだよね、これ
やよい,ちゃんと締めにうどんも雑炊もラーメンもありますから、気にせずじゃんじゃん食べて下さい！
真,へへっ！それじゃ、どっちも食べれば問題ないね
伊織,鍋って奥が深いのね……あっ、豆乳鍋もおいしい
美希,……ふふっ。だよねー。この豆乳鍋も美味しいよね、デコちゃん！
春香,でしょ？私も最初食べたときビックリしたんだー
やよい,最近はいろいろなお鍋の素が売ってるんですよ～。豆乳鍋やキムチ鍋以外にも、トマト鍋、カレー鍋、ちゃんこ鍋とか、まだまだたーくさんあります
春香,トマトカレー鍋なんていうのもあるしね。どれもみんな美味しいし、ベタに水炊きとかもいいよね
響,因みに自分の故郷だとてびちっていう料理もあるんだぞ
美希,あっ、響遅いよ！ホントに響の分まで食べちゃうところだったの
響,ごめんごめん、貴音をなだめるのが大変だったんだよ～。貴音たちはあと1時間くらいでこっちに来るってさ～。あっ、真が作った肉じゃがもみんなちゃんと食べてるな！って、あれ？自分どこに座ればいい？
やよい,あっ、すみません響さん！今退きますね！
響,いいよいいよー。やよいは座ってなって
やよい,う～ん……それじゃよかったら私と一緒に座りませんか？
千早,！？
響,うぇ！？いいのか、隣に座っても？
やよい,はい！
千早,くっ、その手があったわね
美希,ねぇ響。てびちってどーいう料理なの？
響,うん、どっちかっていうとおでんに近い料理なんだけどね、豚足を柔らかく煮込む料理かなー
真,へー。豚足だと匂いとかきつくない？
響,そんなことないぞ！ちゃんと下茹したり、刻みネギやおろし生姜を添えると臭みもあまり気にならなくなるんだから
やよい,それに、豚足ってコラーゲンがたっぷりで健康にもいいし、美味しい食材っていいますよねー
美希,ミキには、あまり関係ない話なの
伊織,そうね。美肌だの健康食だの気にしだしたら女として終わりよ
やよい,えー。でもこの間、小鳥さんが美味しいスッポン料理を食べてきたって嬉しそうに話してたよー？
春香,やよいー？なぜ今その話をしたのかなー？
やよい,ふぇ？だって、小鳥さん全然綺麗じゃないですかー
響,やよいは可愛いな～！
やよい,あわわ！響さんそんな、わしゃわしゃ～ってしないでください～。くすぐったいですよ～
千早,……くっ
―765プロ事務所,同時刻
小鳥,ぶぇぇぇぇくしょぉぉぉぉん！！。……えへへ、どこかで、イケメンのお金持ちが私のこと噂しているに違いないわ！これは素敵な出会いのよ☆か☆ん。そうねー、きっとこんな感じだわ～。私の行きつけのバーでマスターにいつもの如く、くだを巻いているところに偶然っ！イケメンのお金持ちが登場！。マスターと私のその、飾りのないやり取りに心を射抜かれた彼は私にメロメロになっていく！。あぁ～ダメよ！まだ出会ったばっかりなのにそんな、そんなことまでぇ～！。……。大人の階段のぼる～君はまだシンデレラさ……。……うぅ
一同,ごちそうさまでした
