※これは,NEW_GAME！
りん,あらっ、もう私たち人数分の布団が敷いてあるのね！
コウ,誰がどの布団で寝るかは早いもん勝ちだぁーー！！ちなみに私はここーー！
はじめ,あっ、八神さん、ずるいっ！？じゃあ、私はここにしよっと！
ゆん,ちょっ、子供か、はじめも八神さんもっ！？
ひふみ,なん…だか…修学…旅行……みたい
青葉,あっ、確かにそうですね！！
りん,そうね♪大勢の人たちと一緒に寝る所がまた修学旅行と同じイメージだものね。
コウ,修学旅行かぁー…懐かしいな！学生時代を思い出すよ！
はじめ,今思えば、私が一番輝いていたのはあの頃だったかな。
ゆん,あの頃って学生時代のいつの時やっ！？
ひふみ,…学生…時代……
青葉,ひふみ先輩？
はじめ,そうだ！？せっかく修学旅行の話題が出たからたまには私たちも社員旅行を修学旅行の勢いで楽しみましょう！！なので、これから皆で語り合いませんか？
コウ,おっ、いいね♪
青葉,なんだか、楽しそうですね！！
ゆん,はぁっ、なんやそれっ！？
りん,語り合うって、一体何を語り合うのかしら？
ひふみ,わ、話題が……ない…
コウ,話題が無いなら私が出すよ！ズバリ、恋バナなんてどうだ？
ゆんひふみりん,っ！？///
青葉,こ、恋バナですかっ！？///
はじめ,成る程！では最初は言いだしっぺの八神さんからお願いします。
コウ,わ、私がっ！？
りん,っ！？
ひふみ,あっ……
青葉,おぉっ、八神さんですかっ！
はじめ,そりゃあもちろんですよ！それで八神さん、彼氏とか、もしくは今好きな人とかいるんですか？
コウ,えぇと……ゴッホン！！
青葉,///
ゆん,………
りん,……………
ひふみ,ひふみは…知って…いる。りんちゃんは……こういう話に…なると…コウちゃんの…方にのみ…100%意識を……集中させる…事を……。
コウ,もちろん。いないに決まってるだろ！私は仕事に命はかけてるけど、恋愛に命はかけてないんだよ！！
りん,……ホッ
ゆん,遠山さん、どないしはったんですか？
りん,えっ？
コウ,なになに、どうしたの、りん？
りん,あっ、うぅん、なんでもないわっ！？///
コウ,そうか？
ひふみ,……ひとまず…これで…良かった……かな
コウ,そうそう。最初に私に聞いたけど、はじめ…お前はどうなんだよ？
はじめ,わ、私ですかっ！？
コウ,言えないのは無しだからな！
はじめ,もちろん、私もいませんよ！！
コウ,チェッ、なんだー、つまんねぇの。じゃあ、残りゆんと青葉、りんとひふみんはどう？
ゆん,う、ウチですか！？ウチはおらんですよ！
青葉,私です
りん,こ…じゃなくて、私もいないわ
ひふみ,私も…
コウ,チェッーー、皆いないのか。それだったら恋バナした意味が無いよな！！
りん,それじゃあ、もう寝ようかしら？
ゆん,そうですね
はじめ,えぇっ、まだ語り合いは恋バナしかしてませんよ！？
コウ,まぁ、その話は意味が無く、終わったけどな！
はじめ,それにまだ時間が早いですよっ！？
ゆん,早くても寝なあかんやろ、そこは！
りん,ゆんちゃんの言う通り。就寝が遅い程、朝起きられなくなったり、体にも悪いのよ？
青葉,すみません。実は私も、まだ眠気がこなくて今すぐには寝られません…
ひふみ,それだったら…すぐに…でも…横になると良い…よ。いつの間にか…眠く…なって…眠れる……かも
青葉,あぁー、成る程！確かにそうですね。眠くなるまで起きているのではなく、横になっていれば自然と睡魔に襲われる、という訳ですね！！
はじめ,ちょっと青葉ちゃんっ！？
コウ,ふわぁ～、睡魔とか眠るって話、聞いてたら私もなんだか眠くなってきた…
はじめ,八神さんまでぇ～！？
りん,枕投げ？
はじめ,そうです。これだったら眠気も覚めると思いますよ！
ゆん,成る程なぁ～…ってやるかぁ、あほ！！
ひふみ,危ない……よ
はじめ,大丈夫ですよ。普通に枕投げで怪我をしたって事例はありませんし、それに枕はそんなに固くはないですから当たっても平気ですよ！。という訳ではい、青葉ちゃん投げるよー！
青葉,わぁっ、いきなり私にですかっ！？。きゃあっ！？
ゆん,ちょっ……イタッ！？
コウ,あぁ～あ、青葉に当てるつもりが避けちゃったから、代わりにゆんに当たったな！
青葉,あっ、ゆんさん！？すみません！
りん,ゆんちゃん、大丈夫？
ゆん,…………
ひふみ,あっ、起きた……
ゆん,……は～じ～め～ぇ～
はじめ,ゆ、ゆんっ………！？
ゆん,よくもぶつけてくれたなぁーー！！！お返しや！
はじめ,おっと！？
コウ,っておい……ごわっ！？
