実相寺美華,３９
篠森,お前が自分のオフィスを持つとは……。よくやったな、美華……
テロップ,篠森桂一郎４４
篠森,ん？どうしたんだ、美華？
美華,実は私……。そろそろ、先生と別れようと思ってるんです……
テロップ,実相寺美華２９
篠森,そうか……。俺から独立してやっていくつもりなのか。だが、この業界は競争が厳しいぞ
美華,心配には及びません。私は、篠森先生の倒し方をすでに知っていますよ
篠森,ほう……。お前も、俺にでかい口を聞くようになったもんだな
美華,私の後ろには、広告代理店がいます。今の時代は、ファッションの価値は広告代理店が決めるんです
篠森,そういうことか……。俺は時代遅れだから、広告代理店の連中に捨てられたってことだな
美華,世代交代とはそういうものですよ。篠森先生
篠森,ハハハハハ……！！どうやら、俺はお前に負けたようだ
美華,……いいですか！？今度の私のファッションショー、何が何でも成功させて見せますから！！
美華のモノローグ,今の流行をリードしているのは私なんだ。私がファッション業界を動かしているんだ
テロップ,10年後――
美華,おめでとう、瑠璃子……。あなたも遂に、自分のオフィスを持つことができたね
テロップ,実相寺美華３９
瑠璃子,広告代理店が出資してくれたんですよ。私のために……
テロップ,千葉瑠璃子２９
美華,なるほど……。このオフィスを借りた資金は、案の定そういうことなのね
瑠璃子,先生もそうだったでしょ。でも、今ではもう先生は過去の人……。世代交代の流れは避けられませんよ
美華,瑠璃子……。あなたもいつの間にか、私に偉そうな口を聞くようになったよねぇ
瑠璃子,実相寺先生。これからの私は、先生から独立して1人でやっていきますよ
美華,分かった……。あなたが独立したいというなら、好きにしなさい。私は止めはしないから……
広告,千葉瑠璃子ファッションコレクション6F大展示場
美華,今から10年前は、私の作品がここに展示されていたのに……
喪黒,お嬢さん、何か辛い出来事でもあったのですか？
美華,あなたは……！？
喪黒,私ですか？私はこういう者です
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
美華,……ココロのスキマ、お埋めします！？
喪黒,実はですねぇ……。私、人々の心のスキマをお埋めするボランティアをしているのですよ
美華,人生相談とか、何かなんですか？
喪黒,あなたのような人を救うのが、私の仕事なんです。何なら、相談に乗りましょうか？
BAR,魔の巣
喪黒,……そうですか。そういうことがあったんですか
美華,はい。私が手塩にかけて育ててきた弟子に、あのようなことを言われたのはショックでしたね
喪黒,まあまあ……。お弟子さんも一人前になったのですから……。これで彼女と対等に勝負できる、と喜んだらどうです？
美華,……そうはいきません。ここ数年の私は、ファッションデザイナーとしてスランプが続いています
喪黒,実相寺先生。ここは、逆転の発想で考えるべきですよ
美華,逆転の発想！？
喪黒,はい。流行に追随するだけでなく、古いものから学ぶことも大事なのです。つまり、故きを温ねて新しきを知るですよ
美華,古いものから学ぶ……ですか
喪黒,ええ。でも、私が言っている古いものから学ぶというのは、もっともっと昔の話ですよ
美華,もっともっと昔とは……
喪黒,例えば、着物文化とか……。日本が世界に誇る和服文化のことですよ
美華,着物……。そういえば、私は洋服のデザインの知識はありますけど、着物にはそんなに詳しくないですよね……
喪黒,ならば、ちょうどいいところです。私はこう考えているのですよ
美華,……面白そうですね
喪黒,着物文化に関わるのならば、当然、日本舞踊にも触れてみるべきです
美華,あなたのおっしゃることは分かります。でも、どうして着物文化と日本舞踊の両方がセットなんですか？
喪黒,実相寺先生。日本舞踊の教室に通うと、着付けや礼儀作法も覚えることができるんですよ
美華,じゃあ、私に日本舞踊を習えとでも言うんですか？
喪黒,そうです。デザイナーとして再起するために、日本舞踊を習ってみませんか？
美華,……いいでしょう。やってみる価値はありそうですね
喪黒,そうです！その調子！あなたにお勧めの教室を、私が紹介しますよ
美華,喪黒さんが言っていた日本舞踊教室は……、ここか……。うわぁ……、ずいぶん古風だなぁ……。私はファッションデザイナーなのに、着付けのやり方さえ知らなかった。恥ずかしい……。それにしても細かい……。本当にこんなことが、私の仕事の役に立つんだろうか？。あんまり動き回るもんだから、身体に暑ささえ感じる……
BAR,魔の巣
喪黒,先生のファッションショー、ずいぶん話題になっているようですねぇ
美華,ええ。予想以上の好評を得ることができて、本当にホッとしましたよ
喪黒,和風と洋風の融合をファッションショーのテーマにしたのは、正解でしたよ
美華,喪黒さんのおかげですよ。喪黒さんが、私に日本舞踊を習うよう勧めてくださったからです
喪黒,どういたしまして。ですがねぇ……、先生には忠告しておきたいことがあるんですよ
美華,どういうことですか？
喪黒,確かに私は、先生に日本舞踊を習うよう勧めました
美華,ええ、まあ……
喪黒,だから、実相寺先生には私と約束していただきたいことがあります
美華,約束！？
喪黒,そうです。着物文化と日本舞踊への関わりは、あくまでもほどほどにしておいてください
美華,はい。もちろん、承知していますよ……。ううん……！ダメ！私が求めているのは、こんなんじゃない！。私の手で、着物のデザインをしてみたいなぁ……。こんな風に……。何してるの、私！！。今では、日舞を踊るのが楽しく感じられるようになった……
広告代理店社員A,そ、それで先生……。話というのは！？
美華,今度の企画、変更して欲しいんですよ
広告代理店社員B,何ですって！？
美華,私から、あなたたちに提案があります。それは……。遂に、私は着物のファッションショーをやれたんだ
女性講師,実相寺さん。いっそのこと、名取を目指してみてはどうですか？
美華,えっ！？でも、名取になるには数年はかかりますよ
女性講師,大丈夫ですよ。あなたは見所がありますから……
美華,……分かりました。じゃあ私、名取を目指してみようと思います
女性デザイナーA,私、ここを去ろうと思っています！
女性デザイナーB,私もです！今の先生には、とてもじゃないがついていけません！
美華,何て、無機質な街なんだろう……。人間の温かさや、歴史や文化がまるで感じられない
喪黒,いやぁ、なかなかご立派な理念ですなぁ。実相寺先生……。あなた約束を破りましたね
美華,も、喪黒さん……！！
喪黒,私は言ったはずですよ。着物文化と日本舞踊への関わりは、あくまでもほどほどにしろ……と
美華,ええ……。私は喪黒さんとの約束をしっかり守って……
喪黒,ほう……。では、なぜお弟子さんたちが先生から一斉に逃げ出したのですかねぇ？それに、先生の今の服装……
美華,そ、それはその……
喪黒,やれやれ……。こうなったら、今の道を徹底的に突き進んで貰いましょう！！。ドーーーーーーーーーーーン！！！
美華,キャアアアアアアアアアアア！！！
テロップ,あれから数年後――
美華のモノローグ,洋服のデザイナーはもうやめた。なぜなら、現在の私は着物のデザイナーが本業だからだ。私は、霧林流日本舞踊の名取となった。だから、今の私は霧林美華の名前で舞台に出ている
喪黒,日本を語る上で欠かせないのが、着物文化の存在ですし……。着物の魅力は、今もなお人々の心をとらえて離しません
