明石サンタ(福山),メリークリスマース
神戸サンタ(櫻井),ふぉっふぉっふぉ
ありす,二人とも何柄にもない事やってるんですか？
明石,柄にもないじゃとー？
神戸,私たちはサンタさんじゃから柄にぴったりじゃよふぉっふぉっふぉ
ありす,…？
明石,誰も撮ってないぞぉ
ありす,…これはどういう風の吹き回しで？
明石,今日はありすちゃんに楽しんでもらおうと思ってな
神戸,わざわざとおーい所からやってきたんじゃふぉっふぉっふぉ
ありす,当ててみせます、フレデリカさんの入れ知恵ですね
明石,フレデリカさんは関わっておりません
神戸,誰も関わっておりません
ありす,え…それ返って不気味ですね
神戸,まぁまぁいいじゃないかふぉっふぉ
明石,ケーキを用意したぞふぉっふぉ。じゃじゃーん！！
ありす,ほぁぁ…………！！！！！！。ちょっと静かに。凄いですね、苺だらけですね！
神戸,わたくsわしが用意したんじゃふぉっふぉっふぉ
ありす,ありがとうございます、二人も食べますよね、ナイフ取ってきます
明石,はーい♪
神戸,お願いしますわ♪
ありす,では、いただきます
明石,召し上がれ～
ありす,っ～～～！！
明石,美味しいかねありすちゃん
ありす,！！
神戸,いや良かった良かった
明石,あ、神戸サンタさんそろそろお時間ですよ
神戸,おお、ではこの辺で
ありす,早くヒゲと帽子外してきて一緒に食べましょう
神戸,外すとかよく分からなふぉっふぉ
明石,分からなふぉっふぉってなんですか…
神戸,あっ、お、おほん、ではありすちゃんさようなら
明石,来年もいい子にしてるんじゃぞ～
桃華,あら橘さん、美味しそうなケーキですわねぇ
舞,今サンタさんとすれ違ったんですよ！
ありす,そういうのいいですから、座ってください
桃華,んもう、つれない人ですわね！
舞,ふふ、はい橘さん、どうぞ♪
桃華,わたくし達からのプレゼントですわ！
ありす,え、ありがとうございます…さっき一緒に渡せば良かったじゃないですか
桃華,あれはケーキのプレゼントのためですわ
舞,せっかくのプレゼントだから、私達の姿で贈りたかったんです！
ありす,…あんなことし始めたと思ったら、もう…。嬉しいです、二人の気持ち。ありがとうございます
舞,はい♪どういたしましてっ
ありす,私のも取ってきます
桃華,後でいいですわよ、今はこっちが優先ですわ
ありす,では、食べ終わってから
桃華,帰りがけにティーセットも持ってきました、お隣座りますわね
舞,よいしょ、いただきまーす
桃華,と、その前に。はい橘さん、あーん♪
ありす,うぇぇっ？！？！///
舞,あ、じゃあ私も～
桃華,橘さんへのプレゼントなんですから、ほら、イチゴですわよ、あーん♪
ありす,そんな恥ずかしい事っ、自分で食べますっ！///
桃華,今日はクリスマスなんですから、さぁ！
ありす,何ですかそれ！うぅぅ…///。あ、あー…///
桃華,お味はいかが？
ありす,別に変わらないですよ…美味しいです…///
桃華,良かったですわ♪
舞,橘さん、私のイチゴも食べてください！
ありす,うぅ…あむっ
舞,美味しいですか？
ありす,…はい///
舞,やったー♪
桃華,ではわたくし達も、あむっ
舞,あむっ。すごい美味しいです！
桃華,やはりここのお味が一番ですわ♪
ありす,どこのお店ですか？
桃華,都心の～～というお店でしてよ、当家がご贔屓にさせてもらってますの
ありす,値段は？
桃華,そんな、無粋ですわよ橘さん
ありす,消費者として当然です
舞,あの…私も知りたいです、えへへ
桃華,もう…ネットに載ってるでしょうから調べてくださいな
ありす,どれどれ…～～…。……えっ、えっ！？。舞さん舞さん！
舞,はい…ん？！！！！
桃華,まぁ、いやですわ、うふふ
舞,大事に食べましょう…！
ありす,上には上がいたようですね…！。これだけ美味しいとつい食べ進んでしまいますね
舞,別腹ですねー、あむ
結城晴,たちばn…あー！！ずりぃぞ橘！
ありす,む？
晴,お前らだけでこんな美味そうなタルト食いやがって！
桃華,はしたないですわね晴さん、皆さんの分も用意してありますわ
晴,え？なんだそうなのかぁ
ありす,まったく…この聖なる日にいやしい人ですね
晴,いやしいってどういう意味だ？
桃華,ガツガツとしてみっともないという意味ですわ
晴,なんだと橘ぁ！？
ありす,ふんっ
舞,まぁまぁ、晴さんだって食べたいですもんね
晴,おう、舞は優しいなぁ
舞,えへへ
桃華,怒ったり落ち着いたり忙しいですわね
ありす,舞さんあまり甘やかさないでください、このサッカー小僧つけあがりますから
晴,うるせータブレットバカ
ありす,バカはどっちですか！
晴,タブレットで調べてみろバーカ
桃華,もう、クリスマスでまで張り合うんですから…
舞,微笑ましいですね♪
ありす,というかドア開けっ放しです！閉めてください！
晴,えー？気づいたんなら自分で閉めろよー…
宮本フレデリカ,フレちゃんサンタ！
一ノ瀬志希,志希にゃんサンタ～！
塩見周子,シューコサンタもいまーす
フレデリカ,あれ？
晴,なんだお前ら？
ありす,………二番煎じですよ
周子,あちゃー
宮本フレデリカ,フレちゃんサンタ！
一ノ瀬志希,志希にゃんサンタ～！
塩見周子,シューコサンタもいまーす
フレデリカ,あれ？
晴,なんだお前ら？
ありす,………二番煎じですよ
しきフレ,なっ！？
周子,あちゃー
